,document_ref,company_name,filing_date,date_str,filing_type
0,0001193125-16-516891,APPLE,20160324,2016-03-24,8-K
1,0001193125-13-267629,APPLE,20130621,2013-06-21,8-K
2,0001628280-16-017762,APPLE,20160726,2016-07-26,8-K
3,0001193125-16-473562,APPLE,20160223,2016-02-23,8-K
4,0001193125-17-262261,APPLE,20170818,2017-08-18,8-K
5,0001628280-17-000663,APPLE,20170131,2017-01-31,8-K
6,0001193125-16-556520,APPLE,20160426,2016-04-26,8-K
7,0001193125-15-406279,APPLE,20151217,2015-12-17,8-K
8,0001193125-11-273826,APPLE,20111018,2011-10-18,8-K
9,0001193125-17-308859,APPLE,20171012,2017-10-12,8-K
10,0001181431-12-032458,APPLE,20120524,2012-05-24,8-K
11,0001193125-15-149607,APPLE,20150427,2015-04-27,8-K
12,0001181431-11-003847,APPLE,20110118,2011-01-18,8-K
13,0001193125-10-087786,APPLE,20100420,2010-04-20,8-K
14,0000320193-18-000005,APPLE,20180201,2018-02-01,8-K
15,0001181431-11-036782,APPLE,20110615,2011-06-15,8-K
16,0001193125-18-045761,APPLE,20180214,2018-02-14,8-K
17,0001628280-16-022047,APPLE,20161215,2016-12-15,8-K
18,0000320193-17-000067,APPLE,20171102,2017-11-02,8-K
19,0001193125-17-167400,APPLE,20170511,2017-05-11,8-K
20,0001193125-13-167469,APPLE,20130423,2013-04-23,8-K
21,0001193125-12-178928,APPLE,20120424,2012-04-24,8-K
22,0001181431-11-047179,APPLE,20110826,2011-08-26,8-K
23,0001193125-14-228798,APPLE,20140606,2014-06-06,8-K
24,0001193125-12-312355,APPLE,20120724,2012-07-24,8-K
25,0001193125-15-186064,APPLE,20150513,2015-05-13,8-K
26,0001193125-15-219298,APPLE,20150610,2015-06-10,8-K
27,0001181431-14-021923,APPLE,20140530,2014-05-30,8-K
28,0001193125-14-275598,APPLE,20140722,2014-07-22,8-K
29,0001193125-14-154883,APPLE,20140423,2014-04-23,8-K
30,0001193125-17-069853,APPLE,20170303,2017-03-03,8-K
31,0001193125-17-208226,APPLE,20170620,2017-06-20,8-K
32,0001181431-12-038301,APPLE,20120628,2012-06-28,8-K
33,0001193125-15-258464,APPLE,20150721,2015-07-21,8-K
34,0000320193-19-000026,APPLE,20190206,2019-02-06,8-K
35,0000320193-19-000032,APPLE,20190304,2019-03-04,8-K
36,0001193125-17-064019,APPLE,20170301,2017-03-01,8-K
37,0001181431-09-037492,APPLE,20090804,2009-08-04,8-K
38,0001193125-13-085842,APPLE,20130301,2013-03-01,8-K
39,0001193125-17-181867,APPLE,20170524,2017-05-24,8-K
40,0001193125-14-271698,APPLE,20140717,2014-07-17,8-K
41,0001181431-10-056327,APPLE,20101117,2010-11-17,8-K
42,0000320193-18-000067,APPLE,20180501,2018-05-01,8-K
43,0001193125-18-154948,APPLE,20180508,2018-05-08,8-K
44,0001193125-12-435506,APPLE,20121025,2012-10-25,8-K
45,0000320193-18-000098,APPLE,20180731,2018-07-31,8-K
46,0000320193-17-000006,APPLE,20170801,2017-08-01,8-K
47,0001193125-15-273023,APPLE,20150731,2015-07-31,8-K
48,0001193125-15-023732,APPLE,20150128,2015-01-28,8-K
49,0001193125-14-084697,APPLE,20140305,2014-03-05,8-K
50,0001181431-11-051976,APPLE,20111006,2011-10-06,8-K
51,0001193125-13-020783,APPLE,20130123,2013-01-23,8-K
52,0001193125-15-322466,APPLE,20150917,2015-09-17,8-K
53,0001193125-12-081892,APPLE,20120227,2012-02-27,8-K
54,0001193125-11-045411,APPLE,20110224,2011-02-24,8-K
55,0001193125-17-341015,APPLE,20171113,2017-11-13,8-K
56,0001193125-12-021833,APPLE,20120124,2012-01-24,8-K
57,0001193125-11-103732,APPLE,20110420,2011-04-20,8-K
58,0001193125-10-012096,APPLE,20100125,2010-01-25,8-K
59,0001193125-14-406296,APPLE,20141110,2014-11-10,8-K
60,0001193125-14-277193,APPLE,20140723,2014-07-23,8-K
61,0001193125-13-170623,APPLE,20130424,2013-04-24,8-K
62,0001181431-10-016054,APPLE,20100312,2010-03-12,8-K
63,0000320193-19-000007,APPLE,20190129,2019-01-29,8-K
64,0001193125-15-021857,APPLE,20150127,2015-01-27,8-K
65,0001193125-16-488223,APPLE,20160301,2016-03-01,8-K
66,0001193125-09-209633,APPLE,20091019,2009-10-19,8-K
67,0000320193-19-000002,APPLE,20190102,2019-01-02,8-K
68,0001193125-13-199324,APPLE,20130503,2013-05-03,8-K
69,0001193125-13-298914,APPLE,20130723,2013-07-23,8-K
70,0001181431-13-041847,APPLE,20130730,2013-07-30,8-K
71,0001193125-11-009392,APPLE,20110118,2011-01-18,8-K
72,0001193125-16-672044,APPLE,20160804,2016-08-04,8-K
73,0001193125-10-044765,APPLE,20100301,2010-03-01,8-K
74,0001193125-16-628957,APPLE,20160622,2016-06-22,8-K
75,0001181431-11-056354,APPLE,20111116,2011-11-16,8-K
76,0001193125-14-154871,APPLE,20140423,2014-04-23,8-K
77,0001193125-15-410853,APPLE,20151222,2015-12-22,8-K
78,0001193125-15-336615,APPLE,20151002,2015-10-02,8-K
79,0001181431-13-050140,APPLE,20130923,2013-09-23,8-K
80,0001193125-14-184969,APPLE,20140506,2014-05-06,8-K
81,0001193125-17-282809,APPLE,20170912,2017-09-12,8-K
82,0001193125-10-230992,APPLE,20101018,2010-10-18,8-K
83,0000320193-18-000142,APPLE,20181101,2018-11-01,8-K
84,0001193125-10-161807,APPLE,20100720,2010-07-20,8-K
85,0001193125-15-149590,APPLE,20150427,2015-04-27,8-K
86,0001193125-13-167458,APPLE,20130423,2013-04-23,8-K
87,0001193125-18-154515,APPLE,20180507,2018-05-07,8-K
88,0001193125-16-438421,APPLE,20160126,2016-01-26,8-K
89,0001628280-16-020258,APPLE,20161025,2016-10-25,8-K
90,0001193125-11-191368,APPLE,20110719,2011-07-19,8-K
91,0001193125-17-036283,APPLE,20170209,2017-02-09,8-K
92,0001193125-14-376361,APPLE,20141020,2014-10-20,8-K
93,0001104659-15-019336,APPLE,20150313,2015-03-13,8-K
94,0000320193-19-000063,APPLE,20190430,2019-04-30,8-K
95,0001193125-15-354756,APPLE,20151027,2015-10-27,8-K
96,0001193125-15-039270,APPLE,20150209,2015-02-09,8-K
97,0001193125-14-022238,APPLE,20140127,2014-01-27,8-K
98,0001193125-13-413498,APPLE,20131028,2013-10-28,8-K
