,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
0,0001193125-16-516891,APPLE,20160324,2016-03-24,8-K,adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases claims closed closure concern conflict conflicts contrary crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclaim disclose disclosed dispose dispute disrupt disruption downgrading encumbrance encumbrances erred fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible injunction insolvency insufficient interfere interference investigating investigation late lie limitation limitations lose losing loss losses lying misconduct mislead misleading misrepresent misrepresentation miss moratorium negative negligence objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone postponed preventing question questions quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailability unavailable unlawful unpaid violate violation,ambiguity appear appearing appears assume assumed assuming assumption assumptions believe believes conditional depend dependent hidden may might pending possible preliminary vague vaguely,able benefit best effective enable exclusive gain gained gains good great greater highest leading opportunity satisfaction satisfactory satisfy succeed succeeding success win
1,0001193125-13-267629,APPLE,20130621,2013-06-21,8-K,absence against break cut deter erred forfeit forfeited ill lie miss negative poses quit,assume assumed believe believed believes may risk,able achieve achievement enhance gain gains leadership leading opportunity positive satisfy strong win
2,0001628280-16-017762,APPLE,20160726,2016-07-26,8-K,break closure collapse cut defer disaster disasters disrupt erred error ill infringe infringed lapse late lie limitation lose loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,almost anticipate anticipated approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best better breakthrough empower favorable highest innovation innovations invent inventor pleased revolutionize revolutionized satisfy strong stronger success successful win
3,0001193125-16-473562,APPLE,20160223,2016-02-23,8-K,absence adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases claims closed closure concern conflict contrary crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclaim disclose disclosed dispose dispute disrupt disruption downgrading encumbrance encumbrances erred error fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible injunction insolvency insufficient interfere interference investigating investigation lapse lapsed late lie limitation limitations lose losing loss losses lying misconduct mislead misleading misrepresent misrepresentation miss moratorium negative negligence objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone postponed preventing question questions quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailability unavailable unlawful unpaid violate violation,ambiguity appear appearing appears approximate approximately assume assumed assuming assumption assumptions believe believes conditional depend dependent hidden may might pending possible preliminary vague vaguely,able benefit best effective enable exclusive gain gained gains good great greater highest leading opportunity satisfaction satisfactory satisfy succeed succeeding success win
4,0001193125-17-262261,APPLE,20170818,2017-08-18,8-K,adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases ceasing claims closed closing closure concern conflict contrary correcting crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclaim disclaimer disclose disclosed dispose dispute disregard disregarded disrupt disruption downgrading duress easing encumbrance encumbrances erred fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible insolvency insufficient interfere interference investigating investigation investigations late lie limitation limitations litigation lose losing loss losses lying mislead misleading misrepresent misrepresentation miss mistake misunderstand misunderstanding moratorium negative objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone postponed preventing quit reparation reparations restate restated sever solvency sue sued suspend suspending suspension terminate terminated termination threat threaten threatened threatening unable unavailable undue unpaid violate violation,ambiguity appear appears approximate approximates assume assumed assuming assumption assumptions believe believes conditional conditionally depend dependent depending hidden may pending possible preliminary revise revised vary,able beneficial benefit best effective enable gain gains good great greater leading opportunity satisfaction satisfactory satisfy succeed succeeding success win
5,0001628280-17-000663,APPLE,20170131,2017-01-31,8-K,break closure collapse cut defer disaster disasters disrupt erred error ill infringe infringed lapse late lie limitation lose loss miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may nearly risk risks uncertain uncertainties,able benefit best better breakthrough empower excited favorable highest innovation innovations invent inventor revolutionize revolutionized satisfy strong win
6,0001193125-16-556520,APPLE,20160426,2016-04-26,8-K,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose loss miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best better breakthrough empower favorable happy incredible innovation innovations invent inventor revolutionize revolutionized satisfy strength strong win
7,0001193125-15-406279,APPLE,20151217,2015-12-17,8-K,break closure cut ill lie miss,,able satisfy win
8,0001193125-11-273826,APPLE,20111018,2011-10-18,8-K,break closure cut decline disaster disasters disrupt erred error ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best enthusiastic fantastic favorable innovation innovations invent invented inventor pleased satisfy strong win
9,0001193125-17-308859,APPLE,20171012,2017-10-12,8-K,break cut fined ill lie lying miss,assume revise revised,able effective satisfy succeed succeeded win
