,ticker,date,neg_text,uncert_text,pos_text,date_1,date_3,date_7
0,aapl,2009-08-04,break cut lie miss resign resigned,,able effective satisfy win,2009-08-05,2009-08-07,2009-08-11
1,aapl,2009-10-19,break challenging closure conciliation cut decline defer deter disrupt erred erring error ill infringe infringed investigate investigated late lie limitation litigation loss lying miss poses problem problems quit restate restatement sue sued sues taint termination unfavorable,almost apparent appear appears approximate approximately assume assumes believe believes contingencies could depend dependency differ intangible may ordinarily risk risks uncertain uncertainties unspecified,able benefit delight delighted effective enable enhance favorable good great greater innovation innovations invent invented inventor satisfy strong superior transparency win winning,2009-10-20,2009-10-22,2009-10-26
2,aapl,2010-01-25,break closure cut decline defer disrupt erred error ill infringe infringed investigate investigated late lie limitation litigation lying miss plea pleas poses problem problems quit restate restatement sue sued sues taint unfavorable,approximate approximately assume assumes believe believes contingencies could depend dependency differ intangible may might revise revised risk risks uncertain uncertainties unspecified,able benefit better excited favorable innovation innovations invent invented inventor pleased satisfy strong win winning,2010-01-26,2010-01-28,2010-02-01
3,aapl,2010-03-01,absence adverse adversely against alienation breach break cancel cancellation cancelled cease ceases closing conflict conflicts contrary correcting cut damage damages defeat defeated defect defend defer delay deter dismiss dismissal dispose dissolution divest divestiture divestitures doubt encumbrance erred fail failure fined force forego forfeit forfeited forfeiture harm ill impair impairment impending inability inconsistency inconsistent invalid involuntary lapse lapsed late lie limitation limitations liquidation losing loss losses lying miss omission omit omitted oppose opposed pled poses question quit resign resignation restate restated restatement revoke sever sue sued suffer suffered suspend suspends suspension terminate terminated termination terminations unable unfunded unpaid writeoff writeoffs,anticipation approximate approximately assume assumed assumption contingent could depend dependent differ doubt may pending possible preliminary tending unusual varies,able achieve achievement assure attain attains beneficial beneficially benefit conclusive desirable distinction distinctions effective enable enables exclusive exclusively favorable gain gains good great greater highest invent inventor opportunity satisfaction satisfactory satisfied satisfies satisfy success superior win,2010-03-02,2010-03-04,2010-03-08
4,aapl,2010-03-12,absence break cut lie miss,assuming,able satisfy win,2010-03-13,2010-03-15,2010-03-19
5,aapl,2010-04-20,break closure cut decline disrupt erred error ill infringe infringed investigate investigated late lie limitation litigation miss poses problem problems quit restate restatement sever sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best favorable innovation innovations invent invented inventor satisfy win winning,2010-04-21,2010-04-23,2010-04-27
6,aapl,2010-07-20,break closure cut decline disrupt erred error ill infringe infringed investigate investigated late lie limitation litigation miss plea pleas poses problem problems quit restate restatement sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best favorable innovation innovations invent invented inventor pleased satisfy success successful win,2010-07-21,2010-07-23,2010-07-27
7,aapl,2010-10-18,break closure cut decline disaster disasters disrupt erred error ill infringe infringed investigate investigated late lie limitation litigation loss miss poses problem problems quit restate restatement sue sued sues taint unfavorable,almost approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best favorable innovation innovations invent inventing inventor satisfy strength win,2010-10-19,2010-10-21,2010-10-25
8,aapl,2010-11-17,absence acquit against allege alleged breach break cancel cancellation cancelled cease ceased challenge challenges claims closed closure contrary convict convicted cut defend defending destroy destroyed destruction deter disapproval disclose disclosed disinterested disqualification disregard disregarded dissolution enjoin enjoined erred fail fails felony fined fines force forego ill illegal inability incapacity incident inconsistent lack late lie limitation limitations lose loss losses lost miss neglect objection omission omissions oppose opposed plea pleas pled poses postpone postponement preclude prejudice protest protesting question questions quit refusal refuse refuses resign resignation restate restated revocation revoke revoked stolen sue sued terminate terminated termination unable unsound,appear appearing appears depend dependent differ indefinite may might pending possible tending variable,able beneficial beneficially desired effective empower empowered enjoy enjoyed exclusive exclusively gain gains great greater highest opportunity pleasure satisfies satisfy succeed succeeding success valuable win,2010-11-18,2010-11-20,2010-11-24
9,aapl,2011-01-18,break closure cut decline disaster disasters disrupt erred error firing ill infringe infringed late lie limitation loss miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best exciting favorable innovation innovations invent inventing inventor satisfy win,2011-01-19,2011-01-21,2011-01-25
10,aapl,2011-01-18,absence break closure cut ill late lie miss sue sued,,able exciting great satisfaction satisfy win,2011-01-19,2011-01-21,2011-01-25
11,aapl,2011-02-24,break cut deter ill lie lose miss,depend dependent,able gain gains satisfy win,2011-02-25,2011-02-27,2011-03-03
12,aapl,2011-04-20,break closure cut decline disaster disasters disrupt erred error firing ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best favorable innovate innovation innovations invent invented inventor pleased satisfy win,2011-04-21,2011-04-23,2011-04-27
13,aapl,2011-06-15,break cut late lie miss resign resigned,,able effective satisfy win,2011-06-16,2011-06-18,2011-06-22
14,aapl,2011-07-19,break closure cut decline disaster disasters disrupt erred error ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best excited favorable innovation innovations invent invented inventor pleased satisfy win,2011-07-20,2011-07-22,2011-07-26
15,aapl,2011-08-26,break closure cut ill late lie miss resign resigned,,able leadership satisfaction satisfy win,2011-08-27,2011-08-29,2011-09-02
16,aapl,2011-10-06,break cut ill lie miss sue sued,,able better great greatest improve innovation innovations satisfy win,2011-10-07,2011-10-09,2011-10-13
17,aapl,2011-10-18,break closure cut decline disaster disasters disrupt erred error ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best enthusiastic fantastic favorable innovation innovations invent invented inventor pleased satisfy strong win,2011-10-19,2011-10-21,2011-10-25
18,aapl,2011-11-16,break cut ill lie miss,,able satisfy win,2011-11-17,2011-11-19,2011-11-23
19,aapl,2012-01-24,break breaking closure cut decline defer disaster disasters disrupt erred error ill infringe infringed late lie limitation miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best favorable happy incredibly innovation innovations invent invented inventor satisfy strong win,2012-01-25,2012-01-27,2012-01-31
20,aapl,2012-02-27,break cut ill lie miss,appear appeared depend dependent,able gain gains satisfy win,2012-02-28,2012-03-01,2012-03-05
21,aapl,2012-04-24,break closure cut decline defer disaster disasters disrupt erred error ill infringe infringed late lie limitation miss poses problem problems quit sue sued sues taint unfavorable,almost approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best favorable great innovation innovations invent invented inventor satisfy win,2012-04-25,2012-04-27,2012-05-01
22,aapl,2012-05-24,break cut deter erred forego ill late lie miss quit,approximate approximately pending sometime,able satisfy win,2012-05-25,2012-05-27,2012-05-31
23,aapl,2012-06-28,break cut ill lie miss,,able effective satisfy win,2012-06-29,2012-07-01,2012-07-05
24,aapl,2012-07-24,break closure cut decline defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best favorable innovation innovations invent invented inventor pleased satisfy win,2012-07-25,2012-07-27,2012-07-31
25,aapl,2012-10-25,break closure cut decline defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best confident fantastic favorable innovation innovations invent invented inventor pleased satisfy win,2012-10-26,2012-10-28,2012-11-01
26,aapl,2013-01-23,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best confident favorable highest innovation innovations invent invented inventor pleased satisfy win,2013-01-24,2013-01-26,2013-01-30
27,aapl,2013-03-01,break cut ill lie miss,depend dependent hidden,able gain gains satisfy success win,2013-03-02,2013-03-04,2013-03-08
28,aapl,2013-04-23,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best excited favorable innovation innovations invent invented inventor pleased satisfy strong win,2013-04-24,2013-04-26,2013-04-30
29,aapl,2013-04-23,break closure cut disaster disasters disrupt error ill infringe infringed late lie limitation lose miss poses problem problems sue sued sues taint unfavorable,assume assumes believe could depend dependency differ may risk risks uncertain uncertainties,able advantage attractive best favorable innovation innovations invent invented inventor opportunities satisfy strong win,2013-04-24,2013-04-26,2013-04-30
30,aapl,2013-04-24,adverse adversely against break cancel cancellation cancellations cancelled claims closed closing closure closures collapse conciliation contested contraction critical cut damage damages decline declines default defer deficiency deficit delay delayed depletion deter deterioration disclose disclosed discloses discontinue discontinued dispose doubt doubtful downward easing erred expose exposed fail failed failure failures false fault fined fines force forego forfeit forfeited forfeiture forfeitures ill impair impaired impairment impairments inconsistent ineffective ineffectiveness infringe infringement infringes investigation lack lacking lag lapse lapses late lie limitation limitations litigation lose loses losing loss losses lying miss misstate misstatement negative negatively obsolescence obsolete omit omitted overage overpayment penalties poses problem quit reluctant reparation sacrifice sacrifices sever shortage shortages strain strained sue sued sues taint terminate terminated terminating termination unable unanticipated uncollectible undelivered underpayment unforeseen unpredictable unqualified unresolved unsold unwilling verdict volatility,anticipate anticipated anticipates anticipation apparent approximate approximately approximates assume assumed assumes assuming assumption assumptions believe believed believes conditional contingencies contingent contingently could depend dependent depending differ doubt doubtful exposure exposures fluctuate fluctuates fluctuation fluctuations hidden indefinite indefinitely intangible intangibles likelihood may might pending possibility possible predict predicted predicting predicts preliminary probability probable random revise risk risks sometime sometimes uncertain uncertainties uncertainty unobservable unpredictable unsettled unspecified variability variable variance variances vary volatility,able achieve achieved achievement achieving advantage advantageous advantages benefit best better easily effective enhance enhanced enhancement enhancements favorable favorably gain gained gains good great greater highest improve improved improvement improvements innovative innovator invent inventor leading positive positively resolve satisfaction satisfied satisfy satisfying strength strengthen strengthening strong stronger succeed succeeding superior win,2013-04-25,2013-04-27,2013-05-01
31,aapl,2013-05-03,absence adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases claims closed closure conflict contrary crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclose disclosed dispose dispute disrupt disruption downgrading duress encumbrance encumbrances erred error fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible insolvency insufficient interfere interference investigating investigation late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss mistake misunderstand misunderstanding moratorium negative objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone postponed preventing quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailable undue unpaid violate violation,ambiguity appear appearing appears approximate approximately assume assumed assuming believe conditional depend dependent may pending possible preliminary,able benefit best effective enable exclusive gain gains good great greater highest leading opportunity satisfaction satisfactory satisfy succeed succeeding success win,2013-05-04,2013-05-06,2013-05-10
32,aapl,2013-06-21,absence against break cut deter erred forfeit forfeited ill lie miss negative poses quit,assume assumed believe believed believes may risk,able achieve achievement enhance gain gains leadership leading opportunity positive satisfy strong win,2013-06-22,2013-06-24,2013-06-28
33,aapl,2013-07-23,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best excited favorable innovation innovations invent invented inventor pleased satisfy strong win,2013-07-24,2013-07-26,2013-07-30
34,aapl,2013-07-30,break cut ill lie miss,,able satisfy win,2013-07-31,2013-08-02,2013-08-06
35,aapl,2013-09-23,break cut forego ill lie limitation miss taint,assume assumes differ may risk risks uncertain uncertainties,able satisfy win,2013-09-24,2013-09-26,2013-09-30
36,aapl,2013-10-28,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,almost approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit excited favorable incredibly innovation innovations invent inventor pleased satisfy strong win,2013-10-29,2013-10-31,2013-11-04
37,aapl,2014-01-27,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose loss miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best better favorable happy innovation innovations invent invented inventor loyal satisfied satisfy strong win,2014-01-28,2014-01-30,2014-02-03
