,ticker,date,neg_text,uncert_text,pos_text,an_count,an_buy,an_hold,an_sell,an_rating,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0,period
0,aapl,2010-10-18,break closure cut decline disaster disasters disrupt erred error ill infringe infringed investigate investigated late lie limitation litigation loss miss poses problem problems quit restate restatement sue sued sues taint unfavorable,almost approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best favorable innovation innovations invent inventing inventor satisfy strength win,46.0,44.0,2.0,0.0,4.848,1,0,0,0,0,0,0,0,0,30.0
1,aapl,2010-11-17,absence acquit against allege alleged breach break cancel cancellation cancelled cease ceased challenge challenges claims closed closure contrary convict convicted cut defend defending destroy destroyed destruction deter disapproval disclose disclosed disinterested disqualification disregard disregarded dissolution enjoin enjoined erred fail fails felony fined fines force forego ill illegal inability incapacity incident inconsistent lack late lie limitation limitations lose loss losses lost miss neglect objection omission omissions oppose opposed plea pleas pled poses postpone postponement preclude prejudice protest protesting question questions quit refusal refuse refuses resign resignation restate restated revocation revoke revoked stolen sue sued terminate terminated termination unable unsound,appear appearing appears depend dependent differ indefinite may might pending possible tending variable,able beneficial beneficially desired effective empower empowered enjoy enjoyed exclusive exclusively gain gains great greater highest opportunity pleasure satisfies satisfy succeed succeeding success valuable win,48.0,44.0,4.0,0.0,4.771,0,1,1,1,1,1,1,0,0,62.0
2,aapl,2011-01-18,break closure cut decline disaster disasters disrupt erred error firing ill infringe infringed late lie limitation loss miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best exciting favorable innovation innovations invent inventing inventor satisfy win,51.0,47.0,4.0,0.0,4.784,0,0,0,1,1,1,0,0,0,0.0
3,aapl,2011-01-18,absence break closure cut ill late lie miss sue sued,,able exciting great satisfaction satisfy win,51.0,47.0,4.0,0.0,4.784,0,0,0,1,0,1,0,0,0,37.0
4,aapl,2011-02-24,break cut deter ill lie lose miss,depend dependent,able gain gains satisfy win,52.0,49.0,3.0,0.0,4.827,1,1,1,0,0,0,0,0,0,55.0
5,aapl,2011-04-20,break closure cut decline disaster disasters disrupt erred error firing ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best favorable innovate innovation innovations invent invented inventor pleased satisfy win,51.0,47.0,4.0,0.0,4.803999999999999,1,1,1,0,0,0,0,0,0,56.0
6,aapl,2011-06-15,break cut late lie miss resign resigned,,able effective satisfy win,51.0,47.0,4.0,0.0,4.803999999999999,0,0,0,1,1,1,1,0,0,34.0
7,aapl,2011-07-19,break closure cut decline disaster disasters disrupt erred error ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best excited favorable innovation innovations invent invented inventor pleased satisfy win,54.0,50.0,4.0,0.0,4.815,1,1,1,0,0,0,0,0,0,38.0
8,aapl,2011-08-26,break closure cut ill late lie miss resign resigned,,able leadership satisfaction satisfy win,51.0,48.0,3.0,0.0,4.843,1,1,1,0,0,0,0,0,0,41.0
9,aapl,2011-10-06,break cut ill lie miss sue sued,,able better great greatest improve innovation innovations satisfy win,52.0,49.0,3.0,0.0,4.846,0,0,0,1,0,1,1,0,0,12.0
10,aapl,2011-10-18,break closure cut decline disaster disasters disrupt erred error ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best enthusiastic fantastic favorable innovation innovations invent invented inventor pleased satisfy strong win,53.0,49.0,4.0,0.0,4.811,1,0,0,0,0,0,0,0,0,29.0
11,aapl,2011-11-16,break cut ill lie miss,,able satisfy win,55.0,49.0,5.0,1.0,4.709,0,0,0,1,1,1,1,0,0,69.0
12,aapl,2012-01-24,break breaking closure cut decline defer disaster disasters disrupt erred error ill infringe infringed late lie limitation miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best favorable happy incredibly innovation innovations invent invented inventor satisfy strong win,54.0,49.0,4.0,1.0,4.7780000000000005,0,1,1,1,1,1,1,0,0,34.0
