,date,ticker,neg_text,uncert_text,pos_text,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,period,an_buy,an_hold,an_sell,an_rating,an_d_p,an_d_0
0,2010-10-18,aapl,break closure cut decline disaster disasters disrupt erred error ill infringe infringed investigate investigated late lie limitation litigation loss miss poses problem problems quit restate restatement sue sued sues taint unfavorable,almost approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best favorable innovation innovations invent inventing inventor satisfy strength win,1,0,0,0,0,0,0,30.0,44.0,2.0,0.0,4.848,0,0
1,2010-11-17,aapl,absence acquit against allege alleged breach break cancel cancellation cancelled cease ceased challenge challenges claims closed closure contrary convict convicted cut defend defending destroy destroyed destruction deter disapproval disclose disclosed disinterested disqualification disregard disregarded dissolution enjoin enjoined erred fail fails felony fined fines force forego ill illegal inability incapacity incident inconsistent lack late lie limitation limitations lose loss losses lost miss neglect objection omission omissions oppose opposed plea pleas pled poses postpone postponement preclude prejudice protest protesting question questions quit refusal refuse refuses resign resignation restate restated revocation revoke revoked stolen sue sued terminate terminated termination unable unsound,appear appearing appears depend dependent differ indefinite may might pending possible tending variable,able beneficial beneficially desired effective empower empowered enjoy enjoyed exclusive exclusively gain gains great greater highest opportunity pleasure satisfies satisfy succeed succeeding success valuable win,0,1,1,1,1,1,1,62.0,44.0,4.0,0.0,4.771,0,0
2,2011-01-18,aapl,break closure cut decline disaster disasters disrupt erred error firing ill infringe infringed late lie limitation loss miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best exciting favorable innovation innovations invent inventing inventor satisfy win,0,0,0,1,1,1,0,0.0,47.0,4.0,0.0,4.784,0,0
3,2011-01-18,aapl,absence break closure cut ill late lie miss sue sued,,able exciting great satisfaction satisfy win,0,0,0,1,0,1,0,37.0,47.0,4.0,0.0,4.784,0,0
4,2011-02-24,aapl,break cut deter ill lie lose miss,depend dependent,able gain gains satisfy win,1,1,1,0,0,0,0,55.0,49.0,3.0,0.0,4.827,0,0
5,2011-04-20,aapl,break closure cut decline disaster disasters disrupt erred error firing ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best favorable innovate innovation innovations invent invented inventor pleased satisfy win,1,1,1,0,0,0,0,56.0,47.0,4.0,0.0,4.8039999999999985,0,0
6,2011-06-15,aapl,break cut late lie miss resign resigned,,able effective satisfy win,0,0,0,1,1,1,1,34.0,47.0,4.0,0.0,4.8039999999999985,0,0
7,2011-07-19,aapl,break closure cut decline disaster disasters disrupt erred error ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best excited favorable innovation innovations invent invented inventor pleased satisfy win,1,1,1,0,0,0,0,38.0,50.0,4.0,0.0,4.815,0,0
8,2011-08-26,aapl,break closure cut ill late lie miss resign resigned,,able leadership satisfaction satisfy win,1,1,1,0,0,0,0,41.0,48.0,3.0,0.0,4.843,0,0
9,2011-10-06,aapl,break cut ill lie miss sue sued,,able better great greatest improve innovation innovations satisfy win,0,0,0,1,0,1,1,12.0,49.0,3.0,0.0,4.846,0,0
10,2011-10-18,aapl,break closure cut decline disaster disasters disrupt erred error ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best enthusiastic fantastic favorable innovation innovations invent invented inventor pleased satisfy strong win,1,0,0,0,0,0,0,29.0,49.0,4.0,0.0,4.811,0,0
11,2011-11-16,aapl,break cut ill lie miss,,able satisfy win,0,0,0,1,1,1,1,69.0,49.0,5.0,1.0,4.709,0,0
12,2012-01-24,aapl,break breaking closure cut decline defer disaster disasters disrupt erred error ill infringe infringed late lie limitation miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best favorable happy incredibly innovation innovations invent invented inventor satisfy strong win,0,1,1,1,1,1,1,34.0,49.0,4.0,1.0,4.7780000000000005,0,0
13,2012-02-27,aapl,break cut ill lie miss,appear appeared depend dependent,able gain gains satisfy win,1,1,1,1,1,1,1,57.0,49.0,4.0,1.0,4.7780000000000005,0,0
14,2012-04-24,aapl,break closure cut decline defer disaster disasters disrupt erred error ill infringe infringed late lie limitation miss poses problem problems quit sue sued sues taint unfavorable,almost approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best favorable great innovation innovations invent invented inventor satisfy win,0,1,1,0,0,0,0,30.0,48.0,5.0,1.0,4.7410000000000005,0,0
15,2012-05-24,aapl,break cut deter erred forego ill late lie miss quit,approximate approximately pending sometime,able satisfy win,0,0,0,1,1,0,1,35.0,49.0,4.0,1.0,4.7780000000000005,0,0
16,2012-06-28,aapl,break cut ill lie miss,,able effective satisfy win,0,1,1,1,0,1,0,26.0,50.0,4.0,1.0,4.7639999999999985,0,0
17,2012-07-24,aapl,break closure cut decline defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best favorable innovation innovations invent invented inventor pleased satisfy win,0,0,0,1,1,1,1,93.0,49.0,4.0,1.0,4.759,0,0
18,2012-10-25,aapl,break closure cut decline defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best confident fantastic favorable innovation innovations invent invented inventor pleased satisfy win,0,0,0,0,0,0,0,90.0,53.0,7.0,1.0,4.705,0,0
19,2013-01-23,aapl,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best confident favorable highest innovation innovations invent invented inventor pleased satisfy win,1,0,0,1,1,0,0,37.0,49.0,9.0,2.0,4.567,0,0
20,2013-03-01,aapl,break cut ill lie miss,depend dependent hidden,able gain gains satisfy success win,0,0,0,0,0,0,0,53.0,49.0,10.0,2.0,4.541,0,0
21,2013-04-23,aapl,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best excited favorable innovation innovations invent invented inventor pleased satisfy strong win,1,1,0,0,0,0,0,0.0,50.0,8.0,3.0,4.525,0,0
