,document_ref,company_name,filing_date,date_str,filing_type
0,0001193125-09-081096,AMAZON,20090417,2009-04-17,8-K
1,0001018724-15-000085,AMAZON,20150723,2015-07-23,8-K
2,0001193125-12-518418,AMAZON,20121228,2012-12-28,8-K
3,0001018724-15-000124,AMAZON,20151022,2015-10-22,8-K
4,0001018724-14-000028,AMAZON,20140801,2014-08-01,8-K
5,0001018724-15-000079,AMAZON,20150612,2015-06-12,8-K
6,0001018724-19-000002,AMAZON,20190131,2019-01-31,8-K
7,0001193125-19-103013,AMAZON,20190411,2019-04-11,8-K
8,0001018724-17-000143,AMAZON,20171113,2017-11-13,8-K
9,0001193125-10-058521,AMAZON,20100316,2010-03-16,8-K
10,0001018724-14-000039,AMAZON,20140903,2014-09-03,8-K
11,0001193125-09-085786,AMAZON,20090423,2009-04-23,8-K
12,0001193125-17-269093,AMAZON,20170828,2017-08-28,8-K
13,0001018724-14-000004,AMAZON,20140130,2014-01-30,8-K
14,0001193125-17-120198,AMAZON,20170412,2017-04-12,8-K
15,0001193125-11-197473,AMAZON,20110726,2011-07-26,8-K
16,0001018724-16-000312,AMAZON,20160908,2016-09-08,8-K
17,0000950130-10-000283,AMAZON,20100528,2010-05-28,8-K
18,0001018724-14-000012,AMAZON,20140424,2014-04-24,8-K
19,0001193125-19-049914,AMAZON,20190225,2019-02-25,8-K
20,0001193125-10-015621,AMAZON,20100128,2010-01-28,8-K
21,0001193125-14-211657,AMAZON,20140523,2014-05-23,8-K
22,0001193125-17-266837,AMAZON,20170824,2017-08-24,8-K
23,0001193125-13-302763,AMAZON,20130725,2013-07-25,8-K
24,0001193125-10-233639,AMAZON,20101021,2010-10-21,8-K
25,0001018724-16-000176,AMAZON,20160210,2016-02-10,8-K
26,0001193125-18-139368,AMAZON,20180427,2018-04-27,8-K
27,0001018724-17-000084,AMAZON,20170525,2017-05-25,8-K
28,0001018724-17-000127,AMAZON,20170908,2017-09-08,8-K
29,0001193125-12-316828,AMAZON,20120726,2012-07-26,8-K
30,0001018724-17-000131,AMAZON,20171026,2017-10-26,8-K
31,0001193125-12-200668,AMAZON,20120501,2012-05-01,8-K
32,0001018724-17-000044,AMAZON,20170317,2017-03-17,8-K
33,0001193125-12-435477,AMAZON,20121025,2012-10-25,8-K
34,0001193125-12-485763,AMAZON,20121129,2012-11-29,8-K
35,0001193125-11-110797,AMAZON,20110427,2011-04-27,8-K
36,0001018724-15-000036,AMAZON,20150423,2015-04-23,8-K
37,0001018724-16-000206,AMAZON,20160225,2016-02-25,8-K
38,0001018724-16-000170,AMAZON,20160128,2016-01-28,8-K
39,0001193125-15-144741,AMAZON,20150424,2015-04-24,8-K
40,0001193125-09-154037,AMAZON,20090723,2009-07-23,8-K
41,0001193125-09-154182,AMAZON,20090724,2009-07-24,8-K
42,0001018724-18-000157,AMAZON,20181025,2018-10-25,8-K
43,0001193125-12-161812,AMAZON,20120413,2012-04-13,8-K
44,0001193125-10-163861,AMAZON,20100722,2010-07-22,8-K
45,0001193125-17-258814,AMAZON,20170816,2017-08-16,8-K
46,0001193125-13-151836,AMAZON,20130412,2013-04-12,8-K
47,0001193125-11-109578,AMAZON,20110426,2011-04-26,8-K
48,0001018724-17-000098,AMAZON,20170727,2017-07-27,8-K
49,0001193125-13-173923,AMAZON,20130425,2013-04-25,8-K
50,0001193125-10-251261,AMAZON,20101108,2010-11-08,8-K
51,0001193125-17-258008,AMAZON,20170815,2017-08-15,8-K
52,0001018724-15-000004,AMAZON,20150129,2015-01-29,8-K
53,0001193125-11-076634,AMAZON,20110324,2011-03-24,8-K
54,0001018724-19-000041,AMAZON,20190425,2019-04-25,8-K
55,0001018724-14-000042,AMAZON,20140905,2014-09-05,8-K
56,0001193125-12-122135,AMAZON,20120320,2012-03-20,8-K
57,0001193125-11-015972,AMAZON,20110127,2011-01-27,8-K
58,0001193125-10-082914,AMAZON,20100414,2010-04-14,8-K
59,0001193125-17-205287,AMAZON,20170616,2017-06-16,8-K
60,0001193125-13-409933,AMAZON,20131024,2013-10-24,8-K
61,0001193125-09-219781,AMAZON,20091102,2009-11-02,8-K
62,0001018724-17-000049,AMAZON,20170427,2017-04-27,8-K
63,0001018724-14-000053,AMAZON,20141023,2014-10-23,8-K
64,0001018724-14-000046,AMAZON,20140925,2014-09-25,8-K
65,0001193125-11-280254,AMAZON,20111025,2011-10-25,8-K
66,0001193125-17-264654,AMAZON,20170822,2017-08-22,8-K
67,0001193125-10-090093,AMAZON,20100422,2010-04-22,8-K
68,0001193125-13-235908,AMAZON,20130524,2013-05-24,8-K
69,0001018724-18-000002,AMAZON,20180201,2018-02-01,8-K
70,0001193125-12-032057,AMAZON,20120131,2012-01-31,8-K
71,0001018724-16-000225,AMAZON,20160428,2016-04-28,8-K
72,0001193125-12-050110,AMAZON,20120210,2012-02-10,8-K
73,0001018724-16-000322,AMAZON,20161027,2016-10-27,8-K
74,0001193125-17-374998,AMAZON,20171220,2017-12-20,8-K
75,0001018724-14-000023,AMAZON,20140724,2014-07-24,8-K
76,0001018724-18-000070,AMAZON,20180426,2018-04-26,8-K
77,0001193125-12-249407,AMAZON,20120525,2012-05-25,8-K
78,0001018724-18-000104,AMAZON,20180601,2018-06-01,8-K
79,0001193125-11-243454,AMAZON,20110908,2011-09-08,8-K
80,0001193125-18-121161,AMAZON,20180418,2018-04-18,8-K
81,0001018724-19-000008,AMAZON,20190204,2019-02-04,8-K
82,0001018724-18-000106,AMAZON,20180726,2018-07-26,8-K
83,0001018724-16-000282,AMAZON,20160728,2016-07-28,8-K
84,0001193125-10-282886,AMAZON,20101217,2010-12-17,8-K
85,0001193125-09-153130,AMAZON,20090722,2009-07-22,8-K
86,0001018724-14-000034,AMAZON,20140825,2014-08-25,8-K
87,0001193125-14-137753,AMAZON,20140410,2014-04-10,8-K
88,0001018724-16-000268,AMAZON,20160520,2016-05-20,8-K
89,0001193125-09-211972,AMAZON,20091022,2009-10-22,8-K
90,0001193125-13-028189,AMAZON,20130129,2013-01-29,8-K
91,0001193125-12-186222,AMAZON,20120426,2012-04-26,8-K
92,0001193125-14-434903,AMAZON,20141205,2014-12-05,8-K
93,0001193125-16-530910,AMAZON,20160405,2016-04-05,8-K
94,0001018724-17-000003,AMAZON,20170202,2017-02-02,8-K
95,0001193125-11-163100,AMAZON,20110610,2011-06-10,8-K
96,0001193125-12-416835,AMAZON,20121005,2012-10-05,8-K
97,0001193125-19-097640,AMAZON,20190404,2019-04-04,8-K
98,0001018724-15-000077,AMAZON,20150612,2015-06-12,8-K
99,0001193125-09-130282,AMAZON,20090612,2009-06-12,8-K
