,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
0,0001193125-09-081096,AMAZON,20090417,2009-04-17,8-K,against break challenge challenges closure convict conviction cut difficult easing fail failure failures force forced forcing ill late lie loss losses miss outmoded sacrifice sacrifices serious sever slow slower sue urgency,appear believe could differ may might pending possible probability risk risks variable,able achieving advantage advantages benefit best better despite easy effective efficient enabling encouragement enhance enhanced excited exclusive exclusively gain gaining gains good great greater greatly improve improvement improves improving incredible incredibly invent invention inventive inventor leadership opportunities opportunity optimistic popular profitability progress receptive reward rewarding satisfy stable strength strengthen strengthened strengthening strong stronger success successes valuable versatile win
1,0001018724-15-000085,AMAZON,20150723,2015-07-23,8-K,break breaking cancel cancellation cancellations claims closure closures collapse conciliation decline difficult erred fined force fraud ill interrupt interruption interruptions lack lapse late lie limitation limitations loss losses lying miss omit pled quit restructuring restructurings sue sued taint unfavorable unpredictable worry,approximate approximately approximates assume assumes believe contingencies could differ fluctuation fluctuations hidden intangible may nearly pending predict risk risks uncertain uncertainties uncertainty unpredictable,able alliance beautiful benefit benefited better easily easy efficient efficiently enable enables excellence exclusive favorable friendly gain gains good improve invent invention inventor opportunities positive satisfy win
2,0001193125-12-518418,AMAZON,20121228,2012-12-28,8-K,break resign resigning,,effective satisfy win
3,0001018724-15-000124,AMAZON,20151022,2015-10-22,8-K,break cancel cancellation cancellations claims closure closures collapse conciliation critical critically cut decline difficult erred exploit exploits fail failure fined fraud ill interrupt interruption interruptions lapse late lie limitation limitations loss losses lying miss omit pled quit restructuring restructurings sue sued sues taint unfavorable unpredictable vulnerabilities,anticipate anticipated approximate approximately approximates assume assumes believe contingencies could differ fluctuation fluctuations hidden intangible may nearly pending predict risk risks uncertain uncertainties uncertainty unpredictable,able acclaimed alliance benefit best easier easily easy effective enable enabled excellence exclusive exclusively favorable gain gains incredibly invent invention inventor opportunities popular positive progress satisfy strength win winning
4,0001018724-14-000028,AMAZON,20140801,2014-08-01,8-K,break collapse cut lapse,assuming hidden,able effective satisfy win
5,0001018724-15-000079,AMAZON,20150612,2015-06-12,8-K,break collapse concern ill inability lapse miss,depend dependent hidden risk risks,able gain gains satisfy success win
6,0001018724-19-000002,AMAZON,20190131,2019-01-31,8-K,against break cancel cancellation cancellations claims closure closures collapse conciliation cut decline defect defects difficult easing erred error errors fined force fraud ill interrupt interruption interruptions lag lapse late lie limitation limitations loss losses lying miss omit overage question questions quit restructuring restructurings sever sue sued suing taint unfavorable unpredictable worry,almost anticipate anticipates approximate approximately assume assumes believe contingencies could depend dependent differ fluctuation fluctuations hidden may nearly pending possible predict revise revised risk risks uncertain uncertainties uncertainty unknown unpredictable variant variants,able achieve advancement advancements advances alliance benefit best easier easily easy effective enable enables enjoy excellence favorable favorite gain gains good ideal improve improved improvement innovation invent invention inventor opportunities popular proactive proactively reward satisfy surpass surpassed surpassing win
7,0001193125-19-103013,AMAZON,20190411,2019-04-11,8-K,against break challenge challenges challenging closing closure convict conviction critical cut difficult easing fail failed failure failures fined force forced forcing ill impossible lack late lie lose losing loss losses lying miss oppose opposed pled punitive question questions sacrifice sacrifices serious sever strain strained sue taint urgency worst,appear believe could depend dependent differ may might nearly occasionally possible probability random revise revised risk risks,able achieving advances advantage advantages benefit benefitted best better delight despite easy effective efficiency efficient enable enabled enabling encouragement enhance enhanced excited gain gaining gains good great greater greatly happy ideal improve improved improving incredible incredibly innovative invent invented inventing inventor leadership leading opportunities opportunity optimistic profitability progress receptive reward satisfy strength strengthen strengthened strong stronger succeed success successes valuable versatile win winning
8,0001018724-17-000143,AMAZON,20171113,2017-11-13,8-K,break closing closure collapse cut defer deter disclose erred fined ill lapse late lie lose losing lying miss poses purport quit restate restated sue sued termination unfavorable,approximate approximately assume assumed assumption assumptions could depend dependent differ hidden intangible may predict predicting preliminary revise revised,able effective favorable good improve improvement improvements invent inventor satisfy win
9,0001193125-10-058521,AMAZON,20100316,2010-03-16,8-K,break,,satisfy win
