,ticker,date,neg_text,uncert_text,pos_text,price_prior,price_0,price_1,price_3,price_7,p_p_n,p_0_n,Total,Buys,Holds,Sells,Rating,Target Px,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0
0,amzn,2009-04-17,against break challenge challenges closure convict conviction cut difficult easing fail failure failures force forced forcing ill late lie loss losses miss outmoded sacrifice sacrifices serious sever slow slower sue urgency,appear believe could differ may might pending possible probability risk risks variable,able achieving advantage advantages benefit best better despite easy effective efficient enabling encouragement enhance enhanced excited exclusive exclusively gain gaining gains good great greater greatly improve improvement improves improving incredible incredibly invent invention inventive inventor leadership opportunities opportunity optimistic popular profitability progress receptive reward rewarding satisfy stable strength strengthen strengthened strengthening strong stronger success successes valuable versatile win,77.25,78.05000305175781,77.56999969482422,79.19999694824219,82.4000015258789,79.19999694824219,80.61000061035156,32.0,9.0,20.0,3.0,3.406,65.81,1.04,0.41,-0.61,0.0,-3.88,1.78,-2.17,20.35,22.49
1,amzn,2009-04-23,break cancel cancellation cancellations claims closure closures conciliation decline defer deficit difficult erred fraud ill interrupt interruption interruptions lack late lie limitation limitations loss lying miss poses quit sue sued taint unfavorable unpredictable,anticipate approximate approximately assume assumes believe contingencies could depend dependent differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable variable,able alliance benefit easily effective enable enables encourages enjoy excited favorable gain invent inventor opportunities opportunity optimistic popular satisfy strong win,79.19999694824219,80.61000061035156,84.45999908447266,82.4000015258789,79.7699966430664,85.69000244140625,84.08000183105469,33.0,11.0,19.0,3.0,3.515,70.62,1.78,6.64,4.78,3.99,7.42,2.04,5.4,21.34,19.06
2,amzn,2009-06-12,break claims closure counterclaim counterclaims dismiss dismissal fraud ill interrupt interruption late miss taint unanticipated,anticipate anticipated could differ fluctuation fluctuations may risk risks uncertain uncertainties,invent inventor satisfy win,85.69000244140625,84.08000183105469,83.18000030517578,82.6500015258789,77.68000030517578,89.01000213623047,88.79000091552734,32.0,11.0,21.0,0.0,3.688,85.75,-1.88,-2.93,-1.07,7.7,14.59,7.43,14.3,3.8,3.55
3,amzn,2009-07-22,annoy annoying break claims closing closure critical criticize criticized cut deter difficult difficulty disrupt disruptive error errors fail failure force fraud ill inability interrupt interruption late lie lose losing loss lying miss mistake mistakes misunderstood negative oppose opposed plea pleas problem question questions sever strain strained sue sued taint tolerate weak wrong,anticipate anticipates anticipating approximate approximately assume assumption assumptions believe believes could depend dependent differ fluctuation fluctuations may maybe might pending perhaps possibilities possibility possible probably risk risks sudden uncertain uncertainties unknown,able accomplish accomplished advantage benefit best better easy efficiencies efficiency enable enables excited excitement exciting exclusive favorite friendly gain good great greatly happiness happy highest incredible innovation invent inventing invention inventions inventive inventor leading opportunities opportunity pleased positive profitable progress satisfy strength strengths strong stronger success successful successfully win,89.01000213623047,88.79000091552734,93.87000274658205,84.23999786376953,85.76000213623047,88.79000091552734,93.87000274658205,33.0,13.0,20.0,0.0,3.758,86.2,-0.25,5.46,5.72,5.4,3.53,11.43,9.46,3.0,8.9
4,amzn,2009-07-23,break cancel cancellation cancellations claims closure closures conciliation decline defer deficit difficult erred fraud ill interrupt interruption interruptions late lie limitation limitations loss lying miss plea pleas pled quit sue sued taint unfavorable unpredictable,anticipate approximate approximately assume assumes believe contingencies could depend dependent differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable variable,able alliance benefit best easier enable encourages favorable gain invent inventor opportunities pleased satisfy strong win,88.79000091552734,93.87000274658205,86.48999786376953,84.9800033569336,87.44000244140625,93.87000274658205,86.48999786376953,33.0,13.0,20.0,0.0,3.758,87.23,5.72,-2.59,-7.86,10.46,7.35,1.78,-1.09,7.61,-0.85
5,amzn,2009-07-24,accident accidental adverse adversely against allege alleged allegedly alleging argument bankrupt bankruptcy breach breached breaches breaching break burden cancel canceled cancellation cancellations cancelled cease ceased challenge claiming claims closed closing closure closures complain complaint complaints concern conciliation conflict conflicts contested contesting contrary controversies convict convicted corrupt counterclaim criminal cut damage damaged damages danger dangerous deceptive decline default defect defective defects defend defending defer deficiencies delay delaying delays destroy destroyed deter difficult difficulty diminution disagree disagreement disagreements disaster disciplinary disclose disclosed discloses discontinuance dispose disproportion disproportionate dispute disputes disqualified disrupt disruption disruptive dissent dissenting dissolution divest divestiture doubt drag easing encumbrance encumbrances enjoin enjoining enjoins erred erring excessive exploit fail failed fails failure false fault fined fines force forced forego forfeit forfeited forfeiture fraud fraudulent grievance grievances harm hazard hazardous ill illegal illegality impair impairment improper improperly inability inaccuracies inaccuracy inaccurate incapable incapacity incident inconsistent inconvenient infringe infringed infringement infringements infringing injunction injunctions inquiry insolvency insufficient intentional interfere interfering interrupt interruption invalid invalidate invalidity investigating investigation irreparable knowingly lack lacks lapse late lie limitation limitations liquidate liquidation litigation lose loses losing loss losses lost lying manipulation misappropriate misappropriated misappropriating misappropriation misappropriations misconduct mislead misleading misrepresent misrepresentation miss misstate misstatement misuse noncompliance nondisclosure obsolete omission omissions omit omits overage overturn overturned penalties penalty plaintiff plea plead pleaded pled poses posing preclude precludes prejudice prejudiced preventing prevention prosecute protest purport purported purports quit redact redacted redaction redactions refusal refuse refused relinquish relinquished relinquishes renegotiation reparation resign resignation restate restated restructuring revoke revoked secrecy sever slow slowdown solvency standstill stolen stoppage strain strained straining strains subjected subjecting sue sued sues suffer suffered suing suspend suspending taint terminate terminated termination threat threaten threatened unable unauthorized understate understatement undocumented unemployment unfair unfunded unlawful unpaid unreasonably unremedied unsatisfied untruth violate violated violates violating violation violations weak weakness weaknesses wrong wrongdoing,ambiguities anticipate anticipated anticipates apparent approximate approximately assume assumed assumes assuming assumption assumptions believe believes conditional conditionally contingent could depend dependent differ doubt fluctuation fluctuations indefinite indefinitely intangible intangibles may might nonassessable pending possible preliminary risk risks tending uncertain uncertainties undocumented unknown unwritten,able accomplish advances alliance beneficial beneficially benefit benefiting best conclusive conclusively confident desirable effective efficiencies enable exclusive exclusively exclusivity favorable favored gain gaining gains good great greater honor honoring improve improvement improvements integrity invent invention inventions inventor leading meritorious opportunity perfect resolve satisfaction satisfactory satisfied satisfy success successful successfully valuable win,93.87000274658205,86.48999786376953,84.23999786376953,84.33999633789062,85.80000305175781,93.41999816894531,93.4499969482422,33.0,12.0,21.0,0.0,3.697,90.64,-7.86,-10.26,-2.6,10.77,8.88,10.8,8.92,3.07,3.1
6,amzn,2009-10-22,break bridge cancel cancellation cancellations claims closure closures conciliation defer deficit difficult erred fraud ill interrupt interruption interruptions late lie limitation limitations lose loses loss lying miss pled quit sue sued taint unfavorable unpredictable,anticipate approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible intangibles may might pending possible predict risk risks uncertain uncertainties unpredictable variable,able advantage alliance benefit best easy enable enabling encourages enhance favorable friendly gain gains invent inventor leading opportunities satisfy strong win,93.41999816894531,93.4499969482422,118.48999786376952,122.06999969482422,118.83999633789062,118.80999755859376,118.83999633789062,35.0,15.0,18.0,2.0,3.714,92.8,0.03,26.84,26.8,-2.67,-0.03,-2.65,0.0,28.03,28.06
7,amzn,2009-11-02,break claims closure fraud ill inability interrupt interruption late miss plea pleas taint,could depend dependent differ fluctuation fluctuations may might possible risk risks uncertain uncertainties unknown,able benefit best enable highest innovation invent inventor satisfy success successful successfully win,118.80999755859376,118.83999633789062,118.37000274658205,120.61000061035156,129.91000366210938,122.75,126.02999877929688,35.0,22.0,11.0,2.0,4.114,123.86,0.03,-0.37,-0.4,1.77,-5.51,4.49,-2.99,-0.9,1.75
8,amzn,2010-01-28,break cancel cancellation cancellations claims closure closures conciliation defer deficit difficult erred forego fraud ill interrupt interruption interruptions lack late lie limitation limitations loss lying miss opportunistic opportunistically quit sue sued taint unfavorable unpredictable,approximate approximately assume assumes believe believes contingencies could differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable,able alliance benefit best easy efficient efficiently enable enabling enhance exciting favorable gain invent inventor opportunities satisfy win,122.75,126.02999877929688,125.41000366210938,118.12000274658205,116.83000183105469,131.1300048828125,131.78999328613278,36.0,23.0,11.0,2.0,4.1389999999999985,148.9,2.67,2.17,-0.49,11.01,12.24,11.57,12.8,-11.93,-11.49
9,amzn,2010-03-16,break,,satisfy win,131.1300048828125,131.78999328613278,131.33999633789062,130.35000610351562,134.72999572753906,140.16000366210938,144.27999877929688,36.0,25.0,10.0,1.0,4.306,159.11,0.5,0.16,-0.34,7.53,4.03,10.69,7.09,-11.91,-9.32
10,amzn,2010-04-14,against break challenge challenges closure convict conviction cut easing fail failure failures force forced forcing ill late lie loss losses miss sacrifice sacrifices serious seriously sever sue urgency,appear believe could differ may possible probability risk risks,able achieve achieved achieving advantage advantages assure benefit best better despite easy effective enabling encouragement enhance enhanced excited gain gaining gains good great greater greatly improve improvement improvements improving incredible incredibly innovation invent invention leadership opportunities opportunity optimistic profitability progress receptive satisfy strength strengthen strengthened strong stronger success successes valuable versatile win,140.16000366210938,144.27999877929688,145.82000732421875,142.42999267578125,143.6300048828125,146.42999267578125,150.08999633789062,37.0,25.0,10.0,2.0,4.216,155.5,2.94,4.04,1.07,2.81,1.95,5.38,4.5,-5.83,-3.48
11,amzn,2010-04-22,break cancel cancellation cancellations claims closure closures conciliation difficult erred fraud ill interrupt interruption interruptions late lie limitation limitations loss lying miss quit sue sued taint unpredictable,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable,able advantage alliance benefit best easy effective efficient efficiently enable favorable gain gains improve invent inventor opportunities satisfy win,146.42999267578125,150.08999633789062,143.6300048828125,142.02000427246094,137.49000549316406,126.6999969482422,125.45999908447266,37.0,25.0,10.0,2.0,4.216,156.76,2.5,-1.91,-4.3,-10.79,-7.85,-11.66,-8.75,-19.18,-19.97
12,amzn,2010-05-28,break closure closures cut ill miss,depend dependent,gain gains satisfy success win,126.6999969482422,125.45999908447266,123.23999786376952,126.30999755859376,118.83999633789062,117.43000030517578,120.06999969482422,37.0,25.0,10.0,2.0,4.216,161.7,-0.98,-2.73,-1.77,-7.03,-1.19,-4.94,1.04,-27.38,-25.75
13,amzn,2010-07-22,break cancel cancellation cancellations claims closure closures conciliation critical decline deficit difficult erred fraud ill interrupt interruption interruptions lack late lie limitation limitations loss lying miss negative negatively quit sue sued taint unfavorable unpredictable,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible may might pending possible predict risk risks tending uncertain uncertainties unpredictable,able advantage alliance benefit best easy efficient efficiently enable enables encouraged excited favorable gain gains great invent inventor leading opportunities popular satisfy win,117.43000030517578,120.06999969482422,118.87000274658205,117.12999725341795,120.06999969482422,158.6699981689453,164.97000122070312,35.0,22.0,11.0,2.0,4.143,155.29,2.25,1.23,-1.0,35.46,32.15,40.84,37.39,2.18,6.23
14,amzn,2010-10-21,argue argued argument break cancel cancellation cancellations claims closure closures conciliation decline deficit difficult erred fraud ill interrupt interruption interruptions lack late lie limitation limitations loss lying miss negative negatively quit sue sued taint unfavorable unpredictable,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable,able advantage alliance beautiful beautifully benefit best better efficient efficiently enable enabling exclusive exclusively favorable gain gains highest improve invent inventor opportunities perfect popular satisfy win,158.6699981689453,164.97000122070312,169.1300048828125,169.9499969482422,162.5800018310547,170.77000427246094,171.99000549316406,34.0,19.0,14.0,1.0,4.059,158.92,3.97,6.59,2.52,0.48,5.04,1.2,5.79,7.46,8.22
15,amzn,2010-11-08,break claims closing closure cut force fraud ill interrupt interruption late lose losing miss plea pleas taint unexpected unexpectedly,approximate approximately assume assumption could depend dependent differ fluctuation fluctuations may might possible risk risks uncertain uncertainties unexpected unexpectedly,able best better easier efficiency enable excited great innovation invent inventor leadership pleasant prestige satisfy win,170.77000427246094,171.99000549316406,170.27000427246094,170.3699951171875,158.35000610351562,178.0399932861328,177.5800018310547,34.0,20.0,13.0,1.0,4.118,173.17,0.71,-0.29,-1.0,4.5,12.43,4.23,12.14,2.81,2.55
