,ticker,date,neg_text,uncert_text,pos_text,an_count,an_buy,an_hold,an_sell,an_rating,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0,period
0,amzn,2009-04-17,against break challenge challenges closure convict conviction cut difficult easing fail failure failures force forced forcing ill late lie loss losses miss outmoded sacrifice sacrifices serious sever slow slower sue urgency,appear believe could differ may might pending possible probability risk risks variable,able achieving advantage advantages benefit best better despite easy effective efficient enabling encouragement enhance enhanced excited exclusive exclusively gain gaining gains good great greater greatly improve improvement improves improving incredible incredibly invent invention inventive inventor leadership opportunities opportunity optimistic popular profitability progress receptive reward rewarding satisfy stable strength strengthen strengthened strengthening strong stronger success successes valuable versatile win,32.0,9.0,20.0,3.0,3.406,1,1,0,0,0,1,0,1,1,6.0
1,amzn,2009-04-23,break cancel cancellation cancellations claims closure closures conciliation decline defer deficit difficult erred fraud ill interrupt interruption interruptions lack late lie limitation limitations loss lying miss poses quit sue sued taint unfavorable unpredictable,anticipate approximate approximately assume assumes believe contingencies could depend dependent differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable variable,able alliance benefit easily effective enable enables encourages enjoy excited favorable gain invent inventor opportunities opportunity optimistic popular satisfy strong win,33.0,11.0,19.0,3.0,3.515,1,1,1,1,1,1,1,1,1,50.0
2,amzn,2009-06-12,break claims closure counterclaim counterclaims dismiss dismissal fraud ill interrupt interruption late miss taint unanticipated,anticipate anticipated could differ fluctuation fluctuations may risk risks uncertain uncertainties,invent inventor satisfy win,32.0,11.0,21.0,0.0,3.688,0,0,0,1,1,1,1,1,1,40.0
3,amzn,2009-07-22,annoy annoying break claims closing closure critical criticize criticized cut deter difficult difficulty disrupt disruptive error errors fail failure force fraud ill inability interrupt interruption late lie lose losing loss lying miss mistake mistakes misunderstood negative oppose opposed plea pleas problem question questions sever strain strained sue sued taint tolerate weak wrong,anticipate anticipates anticipating approximate approximately assume assumption assumptions believe believes could depend dependent differ fluctuation fluctuations may maybe might pending perhaps possibilities possibility possible probably risk risks sudden uncertain uncertainties unknown,able accomplish accomplished advantage benefit best better easy efficiencies efficiency enable enables excited excitement exciting exclusive favorite friendly gain good great greatly happiness happy highest incredible innovation invent inventing invention inventions inventive inventor leading opportunities opportunity pleased positive profitable progress satisfy strength strengths strong stronger success successful successfully win,33.0,13.0,20.0,0.0,3.758,0,1,1,1,1,1,1,1,1,1.0
4,amzn,2009-07-23,break cancel cancellation cancellations claims closure closures conciliation decline defer deficit difficult erred fraud ill interrupt interruption interruptions late lie limitation limitations loss lying miss plea pleas pled quit sue sued taint unfavorable unpredictable,anticipate approximate approximately assume assumes believe contingencies could depend dependent differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable variable,able alliance benefit best easier enable encourages favorable gain invent inventor opportunities pleased satisfy strong win,33.0,13.0,20.0,0.0,3.758,1,0,0,1,1,1,0,1,0,1.0
5,amzn,2009-07-24,accident accidental adverse adversely against allege alleged allegedly alleging argument bankrupt bankruptcy breach breached breaches breaching break burden cancel canceled cancellation cancellations cancelled cease ceased challenge claiming claims closed closing closure closures complain complaint complaints concern conciliation conflict conflicts contested contesting contrary controversies convict convicted corrupt counterclaim criminal cut damage damaged damages danger dangerous deceptive decline default defect defective defects defend defending defer deficiencies delay delaying delays destroy destroyed deter difficult difficulty diminution disagree disagreement disagreements disaster disciplinary disclose disclosed discloses discontinuance dispose disproportion disproportionate dispute disputes disqualified disrupt disruption disruptive dissent dissenting dissolution divest divestiture doubt drag easing encumbrance encumbrances enjoin enjoining enjoins erred erring excessive exploit fail failed fails failure false fault fined fines force forced forego forfeit forfeited forfeiture fraud fraudulent grievance grievances harm hazard hazardous ill illegal illegality impair impairment improper improperly inability inaccuracies inaccuracy inaccurate incapable incapacity incident inconsistent inconvenient infringe infringed infringement infringements infringing injunction injunctions inquiry insolvency insufficient intentional interfere interfering interrupt interruption invalid invalidate invalidity investigating investigation irreparable knowingly lack lacks lapse late lie limitation limitations liquidate liquidation litigation lose loses losing loss losses lost lying manipulation misappropriate misappropriated misappropriating misappropriation misappropriations misconduct mislead misleading misrepresent misrepresentation miss misstate misstatement misuse noncompliance nondisclosure obsolete omission omissions omit omits overage overturn overturned penalties penalty plaintiff plea plead pleaded pled poses posing preclude precludes prejudice prejudiced preventing prevention prosecute protest purport purported purports quit redact redacted redaction redactions refusal refuse refused relinquish relinquished relinquishes renegotiation reparation resign resignation restate restated restructuring revoke revoked secrecy sever slow slowdown solvency standstill stolen stoppage strain strained straining strains subjected subjecting sue sued sues suffer suffered suing suspend suspending taint terminate terminated termination threat threaten threatened unable unauthorized understate understatement undocumented unemployment unfair unfunded unlawful unpaid unreasonably unremedied unsatisfied untruth violate violated violates violating violation violations weak weakness weaknesses wrong wrongdoing,ambiguities anticipate anticipated anticipates apparent approximate approximately assume assumed assumes assuming assumption assumptions believe believes conditional conditionally contingent could depend dependent differ doubt fluctuation fluctuations indefinite indefinitely intangible intangibles may might nonassessable pending possible preliminary risk risks tending uncertain uncertainties undocumented unknown unwritten,able accomplish advances alliance beneficial beneficially benefit benefiting best conclusive conclusively confident desirable effective efficiencies enable exclusive exclusively exclusivity favorable favored gain gaining gains good great greater honor honoring improve improvement improvements integrity invent invention inventions inventor leading meritorious opportunity perfect resolve satisfaction satisfactory satisfied satisfy success successful successfully valuable win,33.0,12.0,21.0,0.0,3.697,0,0,0,1,1,1,1,1,1,90.0
6,amzn,2009-10-22,break bridge cancel cancellation cancellations claims closure closures conciliation defer deficit difficult erred fraud ill interrupt interruption interruptions late lie limitation limitations lose loses loss lying miss pled quit sue sued taint unfavorable unpredictable,anticipate approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible intangibles may might pending possible predict risk risks uncertain uncertainties unpredictable variable,able advantage alliance benefit best easy enable enabling encourages enhance favorable friendly gain gains invent inventor leading opportunities satisfy strong win,35.0,15.0,18.0,2.0,3.714,1,1,1,0,0,0,0,1,1,11.0
7,amzn,2009-11-02,break claims closure fraud ill inability interrupt interruption late miss plea pleas taint,could depend dependent differ fluctuation fluctuations may might possible risk risks uncertain uncertainties unknown,able benefit best enable highest innovation invent inventor satisfy success successful successfully win,35.0,22.0,11.0,2.0,4.114,1,0,0,1,0,1,0,0,1,87.0
8,amzn,2010-01-28,break cancel cancellation cancellations claims closure closures conciliation defer deficit difficult erred forego fraud ill interrupt interruption interruptions lack late lie limitation limitations loss lying miss opportunistic opportunistically quit sue sued taint unfavorable unpredictable,approximate approximately assume assumes believe believes contingencies could differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable,able alliance benefit best easy efficient efficiently enable enabling enhance exciting favorable gain invent inventor opportunities satisfy win,36.0,23.0,11.0,2.0,4.138999999999999,1,1,0,1,1,1,1,0,0,47.0
9,amzn,2010-03-16,break,,satisfy win,36.0,25.0,10.0,1.0,4.306,1,1,0,1,1,1,1,0,0,29.0
10,amzn,2010-04-14,against break challenge challenges closure convict conviction cut easing fail failure failures force forced forcing ill late lie loss losses miss sacrifice sacrifices serious seriously sever sue urgency,appear believe could differ may possible probability risk risks,able achieve achieved achieving advantage advantages assure benefit best better despite easy effective enabling encouragement enhance enhanced excited gain gaining gains good great greater greatly improve improvement improvements improving incredible incredibly innovation invent invention leadership opportunities opportunity optimistic profitability progress receptive satisfy strength strengthen strengthened strong stronger success successes valuable versatile win,37.0,25.0,10.0,2.0,4.216,1,1,1,1,1,1,1,0,0,8.0
