,document_ref,company_name,filing_date,date_str,filing_type
0,0001193125-13-335218,CISCO,20130815,2013-08-15,8-K
1,0001193125-13-334648,CISCO,20130814,2013-08-14,8-K
2,0001193125-17-101783,CISCO,20170329,2017-03-29,8-K
3,0001193125-16-594463,CISCO,20160518,2016-05-18,8-K
4,0001193125-18-202535,CISCO,20180625,2018-06-25,8-K
5,0001193125-14-448754,CISCO,20141219,2014-12-19,8-K
6,0001193125-13-222377,CISCO,20130515,2013-05-15,8-K
7,0001193125-16-630146,CISCO,20160623,2016-06-23,8-K
8,0001193125-16-712320,CISCO,20160916,2016-09-16,8-K
9,0001193125-16-739833,CISCO,20161017,2016-10-17,8-K
10,0001193125-17-045265,CISCO,20170215,2017-02-15,8-K
11,0001193125-17-344129,CISCO,20171115,2017-11-15,8-K
12,0001193125-15-319489,CISCO,20150914,2015-09-14,8-K
13,0001193125-18-165248,CISCO,20180516,2018-05-16,8-K
14,0001193125-16-769785,CISCO,20161116,2016-11-16,8-K
15,0001193125-16-441933,CISCO,20160128,2016-01-28,8-K
16,0001193125-18-301990,CISCO,20181018,2018-10-18,8-K
17,0001193125-13-440194,CISCO,20131113,2013-11-13,8-K
18,0001193125-14-413384,CISCO,20141114,2014-11-14,8-K
19,0001193125-13-256194,CISCO,20130612,2013-06-12,8-K
20,0001193125-15-375655,CISCO,20151112,2015-11-12,8-K
21,0001193125-14-423591,CISCO,20141124,2014-11-24,8-K
22,0001193125-17-368869,CISCO,20171214,2017-12-14,8-K
23,0001193125-14-340480,CISCO,20140912,2014-09-12,8-K
24,0001193125-17-211825,CISCO,20170623,2017-06-23,8-K
25,0001193125-18-271829,CISCO,20180912,2018-09-12,8-K
26,0001193125-15-098638,CISCO,20150319,2015-03-19,8-K
27,0001193125-14-353210,CISCO,20140925,2014-09-25,8-K
28,0001193125-17-173404,CISCO,20170517,2017-05-17,8-K
29,0001193125-16-684126,CISCO,20160817,2016-08-17,8-K
30,0001193125-14-289683,CISCO,20140731,2014-07-31,8-K
31,0001193125-16-702020,CISCO,20160906,2016-09-06,8-K
32,0001193125-16-516953,CISCO,20160324,2016-03-24,8-K
33,0001193125-15-103369,CISCO,20150324,2015-03-24,8-K
34,0001193125-13-127015,CISCO,20130326,2013-03-26,8-K
35,0001193125-16-478442,CISCO,20160225,2016-02-25,8-K
36,0001193125-15-185905,CISCO,20150513,2015-05-13,8-K
37,0001193125-13-298129,CISCO,20130723,2013-07-23,8-K
38,0001193125-14-447039,CISCO,20141218,2014-12-18,8-K
39,0001193125-14-069912,CISCO,20140226,2014-02-26,8-K
40,0001193125-18-115646,CISCO,20180412,2018-04-12,8-K
41,0001193125-16-483780,CISCO,20160229,2016-02-29,8-K
42,0001193125-18-045716,CISCO,20180214,2018-02-14,8-K
43,0001193125-15-268359,CISCO,20150729,2015-07-29,8-K
44,0001193125-16-711098,CISCO,20160915,2016-09-15,8-K
45,0001193125-13-269064,CISCO,20130624,2013-06-24,8-K
46,0001193125-15-322456,CISCO,20150917,2015-09-17,8-K
47,0001193125-15-218734,CISCO,20150610,2015-06-10,8-K
48,0001193125-14-308403,CISCO,20140813,2014-08-13,8-K
49,0001193125-17-204753,CISCO,20170615,2017-06-15,8-K
50,0001193125-18-249746,CISCO,20180815,2018-08-15,8-K
51,0001193125-19-067296,CISCO,20190307,2019-03-07,8-K
52,0001193125-18-348864,CISCO,20181213,2018-12-13,8-K
53,0001193125-15-044175,CISCO,20150211,2015-02-11,8-K
54,0001193125-16-474071,CISCO,20160224,2016-02-24,8-K
55,0001193125-16-664620,CISCO,20160729,2016-07-29,8-K
56,0001193125-15-169227,CISCO,20150504,2015-05-04,8-K
57,0001193125-15-306843,CISCO,20150828,2015-08-28,8-K
58,0001193125-18-146602,CISCO,20180501,2018-05-01,8-K
59,0001193125-16-758911,CISCO,20161103,2016-11-03,8-K
60,0001193125-16-802182,CISCO,20161222,2016-12-22,8-K
61,0001193125-16-633145,CISCO,20160627,2016-06-27,8-K
62,0001193125-15-288099,CISCO,20150812,2015-08-12,8-K
63,0001193125-15-397797,CISCO,20151208,2015-12-08,8-K
64,0001193125-16-791877,CISCO,20161213,2016-12-13,8-K
65,0001193125-15-209142,CISCO,20150601,2015-06-01,8-K
66,0001193125-13-462216,CISCO,20131204,2013-12-04,8-K
67,0001193125-14-308733,CISCO,20140814,2014-08-14,8-K
68,0001193125-17-080485,CISCO,20170313,2017-03-13,8-K
69,0001193125-14-093805,CISCO,20140311,2014-03-11,8-K
70,0001193125-16-470856,CISCO,20160222,2016-02-22,8-K
71,0001193125-15-324465,CISCO,20150921,2015-09-21,8-K
72,0001193125-14-116588,CISCO,20140326,2014-03-26,8-K
73,0001193125-15-227387,CISCO,20150618,2015-06-18,8-K
74,0001193125-17-106620,CISCO,20170331,2017-03-31,8-K
75,0001193125-14-249157,CISCO,20140625,2014-06-25,8-K
76,0001193125-18-239193,CISCO,20180806,2018-08-06,8-K
77,0001193125-18-326716,CISCO,20181114,2018-11-14,8-K
78,0001193125-14-409258,CISCO,20141112,2014-11-12,8-K
79,0001193125-17-367515,CISCO,20171212,2017-12-12,8-K
80,0001193125-14-048150,CISCO,20140212,2014-02-12,8-K
81,0001193125-13-483099,CISCO,20131223,2013-12-23,8-K
82,0001193125-17-316071,CISCO,20171023,2017-10-23,8-K
83,0001193125-13-250920,CISCO,20130607,2013-06-07,8-K
84,0001193125-17-286857,CISCO,20170918,2017-09-18,8-K
85,0001193125-16-708007,CISCO,20160913,2016-09-13,8-K
86,0001193125-16-714189,CISCO,20160920,2016-09-20,8-K
87,0001193125-17-259825,CISCO,20170816,2017-08-16,8-K
88,0001193125-15-221863,CISCO,20150612,2015-06-12,8-K
89,0001193125-16-716006,CISCO,20160921,2016-09-21,8-K
90,0001193125-16-457586,CISCO,20160210,2016-02-10,8-K
91,0001193125-15-383743,CISCO,20151120,2015-11-20,8-K
92,0001193125-18-186858,CISCO,20180607,2018-06-07,8-K
93,0001193125-16-615321,CISCO,20160607,2016-06-07,8-K
94,0001193125-14-199056,CISCO,20140514,2014-05-14,8-K
95,0001193125-14-079163,CISCO,20140303,2014-03-03,8-K
96,0001193125-13-055377,CISCO,20130213,2013-02-13,8-K
97,0001193125-19-037964,CISCO,20190213,2019-02-13,8-K
98,0001193125-17-275671,CISCO,20170901,2017-09-01,8-K
99,0001193125-13-448477,CISCO,20131120,2013-11-20,8-K
