,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
0,0001193125-13-335218,CISCO,20130815,2013-08-15,8-K,break caution cautioned cut force forego ill late lie miss plea pleas sever termination,anticipate anticipated approximate approximately could differ may possible predict prediction predictions revise risk risks vary,able achieve benefit satisfy win
1,0001193125-13-334648,CISCO,20130814,2013-08-14,8-K,adverse antitrust break catastrophic caution cautioned closed concern conciliation cut defect defects defer deter disclose disclosed divest divestiture divestitures doubt doubtful downturn downturns easing erred forego ill impair impairment impairments inconsistent insufficient investigation investigations late lie limitation limitations litigation lose loss losses miss obsolete pervasive plea pleas poses question quit restructuring restructurings seize sue sued taint termination threat volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may pending predict predicting prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able accomplish achieve benefit better collaborate collaboration effective enable gain gains good great greater improve improvement improvements innovation innovative invent inventor leadership leading opportunities profitable satisfy success successful successfully unmatched win
2,0001193125-17-101783,CISCO,20170329,2017-03-29,8-K,break closed cut disclose disclosed ill lie lose miss terminate,,able satisfy win
3,0001193125-16-594463,CISCO,20160518,2016-05-18,8-K,adverse antitrust breach breaches break catastrophic caution cautioned challenging concern conciliation cut defect defects defer deter divest divested divestiture divestitures doubt doubtful downturn downturns erred error fined fines forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation loss losses miss obsolete plea pleas poses problem problems question quit restructuring restructurings seize sue sued taint termination volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may pending predict prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able achieve benefit best collaboration despite effective enable gain gains good great greater improve improvement improvements invent inventor leadership opportunity pleased profitable progress satisfy strong success successful successfully win
4,0001193125-18-202535,CISCO,20180625,2018-06-25,8-K,break closed cut disclose disclosed fined ill lie lose lying miss terminate,revise revised,able satisfy win
5,0001193125-14-448754,CISCO,20141219,2014-12-19,8-K,break closed cut disclose disclosed ill lie lose miss terminate,,able satisfy win
6,0001193125-13-222377,CISCO,20130515,2013-05-15,8-K,adverse antitrust break catastrophic caution cautioned concern conciliation cut defect defects defer deter divest divestiture divestitures doubt doubtful downturn downturns easing erred forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation loss losses miss obsolete plea pleas poses problem problems question quit restructuring restructurings seize slow sue sued taint termination threat threats volatility,anticipate anticipated approximate approximately believe believed believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations hidden intangible may pending predict prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able achieve achieving benefit collaborate effective efficient enable enabling encouraging enhance excited gain gains good highest improve improvement improvements innovation innovations innovative invent inventor leading opportunities pleased profitability revolutionize satisfy success successful successfully win
7,0001193125-16-630146,CISCO,20160623,2016-06-23,8-K,break closed cut disclose disclosed ill lie lose miss terminate,,able satisfy win
8,0001193125-16-712320,CISCO,20160916,2016-09-16,8-K,break closed cut disclose disclosed ill late lie lose miss terminate,may,able satisfy win
9,0001193125-16-739833,CISCO,20161017,2016-10-17,8-K,against break cut defer deter fines forego harm ill lie limitation limitations miss quit threat threaten threatened,may pending,able gain gains satisfy win
10,0001193125-17-045265,CISCO,20170215,2017-02-15,8-K,adverse antitrust breach breaches break catastrophic caution cautioned concern conciliation conciliations cut decline defect defects defer deter divest divested divestiture divestitures doubt doubtful downturn downturns erred error fail failure failures fines forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation lose loss losses miss obsolete plea pleas poses problem problems question quit restructuring restructurings seize sever sue sued sues taint termination volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may pending possible predict prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able achieve benefit collaboration effective gain gains good improve improvement improvements innovation invent inventor leadership opportunity pleased progress satisfy success successful successfully win
11,0001193125-17-344129,CISCO,20171115,2017-11-15,8-K,adverse adversely antitrust breach breaches break catastrophic caution cautioned closed concern conciliation conciliations critical cut default defect defects defer deter divest divestiture divestitures doubt doubtful downturn downturns erred error fault fined forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation lose loss losses lying miss obsolete poses problem problems question quit restructuring restructurings seize sue sued taint termination volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may pending possible predict prediction predictions revise revised risk risks uncertain uncertainties variability variation variations volatility,able achieve benefit better effective enable enables enhance gain gains good improve improvement improvements innovation invent inventor leadership opportunity positive profitability profitable progress satisfy strong success successful successfully win
12,0001193125-15-319489,CISCO,20150914,2015-09-14,8-K,break closed cut disclose disclosed ill lie lose miss terminate,,able satisfy win
13,0001193125-18-165248,CISCO,20180516,2018-05-16,8-K,adverse against antitrust breach breaches break catastrophic caution cautioned closed closing concern conciliation conciliations critical cut defect defects defer deter divest divestiture divestitures doubt doubtful downturn downturns erred error fined forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation lose losing loss losses lying miss obsolete poses problem problems question quit restructuring restructurings seize sever sue sued taint termination volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may pending possible predict prediction predictions revise revised risk risks uncertain uncertainties variability variation variations volatility,able achieve benefit confident effective enable gain gains good great improve improved innovation invent inventor leadership opportunity profitable progress satisfy strength strong stronger success successful successfully win
14,0001193125-16-769785,CISCO,20161116,2016-11-16,8-K,adverse antitrust breach breaches break catastrophic caution cautioned challenging concern conciliation conciliations cut decline defect defects defer deter divest divested divestiture divestitures doubt doubtful downturn downturns erred error fines forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation loss losses miss obsolete poses problem problems question quit restructuring restructurings seize sever sue sued taint termination volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may pending possible predict prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able achieve benefit despite effective enhance gain gains good improve improvement improvements innovation invent inventor leadership leading opportunity profitable satisfy strong success successful successfully win
15,0001193125-16-441933,CISCO,20160128,2016-01-28,8-K,break cut lie miss,,able satisfy win
16,0001193125-18-301990,CISCO,20181018,2018-10-18,8-K,break cut fined ill lie lying miss,revise revised,able effective satisfy win
