,ticker,date,neg_text,uncert_text,pos_text,price_prior,price_0,price_1,price_3,price_7,p_p_n,p_0_n,Total,Buys,Holds,Sells,Rating,Target Px,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0
0,csco,2013-05-15,adverse antitrust break catastrophic caution cautioned concern conciliation cut defect defects defer deter divest divestiture divestitures doubt doubtful downturn downturns easing erred forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation loss losses miss obsolete plea pleas poses problem problems question quit restructuring restructurings seize slow sue sued taint termination threat threats volatility,anticipate anticipated approximate approximately believe believed believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations hidden intangible may pending predict prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able achieve achieving benefit collaborate effective efficient enable enabling encouraging enhance excited gain gains good highest improve improvement improvements innovation innovations innovative invent inventor leading opportunities pleased profitability revolutionize satisfy success successful successfully win,17.60614776611328,17.55648422241211,19.77483940124512,19.824506759643555,19.476852416992188,20.321155548095703,20.2714900970459,47.0,33.0,10.0,4.0,4.255,24.23,-0.28,12.32,12.64,2.51,4.33,2.25,4.08,-16.13,-16.34
1,csco,2013-06-07,break caution cautioned claims cut damage damages dismiss ill infringe infringement lie limitation limitations litigation miss sue taint volatility,approximate approximately believe differ may predict prediction predictions revise risk risks uncertain uncertainties volatility,able effective satisfy win,20.321155548095703,20.2714900970459,20.16388320922852,19.857614517211914,20.54464340209961,19.9238338470459,19.857614517211914,48.0,35.0,9.0,4.0,4.313,25.77,-0.24,-0.77,-0.53,0.33,-3.02,0.0,-3.34,-22.69,-22.94
2,csco,2013-06-12,break closed cut disclose disclosed ill late lie lose miss terminate terminates,may,able satisfy win,19.9238338470459,19.857614517211914,20.155601501464844,20.445316314697266,20.26321220397949,20.26321220397949,19.91556167602539,48.0,35.0,9.0,4.0,4.313,25.54,-0.33,1.16,1.5,-0.89,0.0,-2.59,-1.72,-20.66,-22.02
3,csco,2013-06-24,break closed cut disclose disclosed ill lie lose miss terminate,,able satisfy win,20.26321220397949,19.91556167602539,19.87417221069336,20.38737297058105,20.49742889404297,21.43935775756836,21.305988311767575,48.0,35.0,9.0,4.0,4.313,25.63,-1.72,-1.92,-0.21,5.16,4.6,4.51,3.94,-16.35,-16.87
4,csco,2013-07-23,adverse adversely break circumvent closing concern critical cut defend defending drastic drastically ill insufficient intrusion late lie lose loses losing miss pervasive plea pleas prevention quit seize stopping sue sued taint termination threat threats,approximate approximately assume believe could differ may preliminary revise risk risks uncertain uncertainty,able achieve benefit better effective excellence excited innovation innovative leading opportunities opportunity satisfied satisfy success successful successfully win,21.43935775756836,21.305988311767575,21.330995559692386,21.255970001220703,21.58106231689453,21.939495086669922,21.98951530456543,45.0,32.0,9.0,4.0,4.267,26.08,-0.62,-0.51,0.12,3.22,1.66,3.45,1.89,-15.88,-15.68
5,csco,2013-08-14,adverse antitrust break catastrophic caution cautioned closed concern conciliation cut defect defects defer deter disclose disclosed divest divestiture divestitures doubt doubtful downturn downturns easing erred forego ill impair impairment impairments inconsistent insufficient investigation investigations late lie limitation limitations litigation lose loss losses miss obsolete pervasive plea pleas poses question quit restructuring restructurings seize sue sued taint termination threat volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may pending predict predicting prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able accomplish achieve benefit better collaborate collaboration effective enable gain gains good great greater improve improvement improvements innovation innovative invent inventor leadership leading opportunities profitable satisfy success successful successfully unmatched win,21.939495086669922,21.98951530456543,20.40573501586914,20.23068618774414,19.88892364501953,21.98951530456543,20.40573501586914,44.0,31.0,11.0,2.0,4.3180000000000005,27.21,0.23,-6.99,-7.2,8.69,10.56,0.87,2.6,-19.19,-25.01
6,csco,2013-08-15,break caution cautioned cut force forego ill late lie miss plea pleas sever termination,anticipate anticipated approximate approximately could differ may possible predict prediction predictions revise risk risks vary,able achieve benefit satisfy win,21.98951530456543,20.40573501586914,20.23068618774414,20.27236557006836,19.86391258239746,19.925128936767575,20.151836395263672,44.0,30.0,12.0,2.0,4.273,27.06,-7.2,-8.0,-0.86,-1.71,0.31,-0.59,1.45,-26.37,-25.53
7,csco,2013-11-13,adverse antitrust break catastrophic caution cautioned concern conciliation cut defect defects defer deter divest divestiture divestitures doubt doubtful downturn downturns erred force forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation loss losses miss obsolete pervasive plea pleas poses problem problems question quit restructuring restructurings seize sue sued taint termination threat volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may pending predict prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able achieve benefit collaborate collaboration confident effective efficient efficiently enable enhance gain gains good great greater improve improvement improvements innovation innovations invent inventor leadership leading opportunities proactive proactively profitability satisfy strong success successful successfully superior win,19.925128936767575,20.151836395263672,17.943531036376953,17.876358032226562,18.019105911254886,17.985517501831055,17.825979232788086,45.0,28.0,14.0,3.0,4.1110000000000015,26.25,1.14,-9.95,-10.96,0.61,-0.19,-0.28,-1.07,-31.48,-32.09
8,csco,2013-11-20,absence adverse adversely against breach break broken cancel canceled cancellation cancelled cease ceases closed closing closure concern conflict contested contrary convict conviction correcting crime cut damage damages defect defend defer delay delayed deter disclose dishonest dishonesty dismiss dismissal dispute dissolution divest divestiture divestitures divorce easing erred fail fails failure felony fined force forego forfeit forfeited forfeiture fraud harm ill illegal impair impairment impractical inability inconsistency inconsistent intentional interfere interrupt interruption invalid investigation involuntarily lapse lapsed late lie limitation limitations liquidate liquidation litigating litigation lose losing loss lying misconduct miss omission plea pleas pled poses preclude prosecution question quit refusal refuse refusing resign resignation restate restated restatement revoke sever sue sued suspend suspended suspends suspension taint terminate terminated terminates terminating termination terminations unable unauthorized unfunded violation voided writeoff writeoffs,ambiguous anticipate anticipated approximate approximately assume assumed assumption conditional depend dependent depends differ fluctuation indeterminable may pending possible predict predicted tending unknown unsettled vary,able accomplish achieve achievement attain attained attains beneficial benefit best conclusive confident desirable distinction effective enable enables exclusive exclusively favorable gain gains good great greater highest honor honored invent inventor leadership opportunity satisfaction satisfactory satisfied satisfy success valuable win,17.985517501831055,17.825979232788086,18.027496337890625,17.85957145690918,17.8427734375,17.85116958618164,17.8427734375,45.0,26.0,17.0,2.0,4.067,24.0,-0.89,0.23,1.13,-0.05,0.05,-0.09,0.0,-25.62,-25.66
9,csco,2013-12-04,break closed cut disclose disclosed ill late lie lose miss terminate terminates,may,able satisfy win,17.85116958618164,17.8427734375,17.557289123535153,17.817581176757812,16.99471664428711,18.47821807861328,18.554367065429688,45.0,26.0,17.0,2.0,4.067,24.0,-0.05,-1.65,-1.6,3.71,8.73,4.14,9.18,-23.01,-22.69
