,ticker,date,neg_text,uncert_text,pos_text,an_count,an_buy,an_hold,an_sell,an_rating,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0,period
0,csco,2013-05-15,adverse antitrust break catastrophic caution cautioned concern conciliation cut defect defects defer deter divest divestiture divestitures doubt doubtful downturn downturns easing erred forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation loss losses miss obsolete plea pleas poses problem problems question quit restructuring restructurings seize slow sue sued taint termination threat threats volatility,anticipate anticipated approximate approximately believe believed believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations hidden intangible may pending predict prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able achieve achieving benefit collaborate effective efficient enable enabling encouraging enhance excited gain gains good highest improve improvement improvements innovation innovations innovative invent inventor leading opportunities pleased profitability revolutionize satisfy success successful successfully win,47.0,33.0,10.0,4.0,4.255,0,1,1,1,1,1,1,0,0,23.0
1,csco,2013-06-07,break caution cautioned claims cut damage damages dismiss ill infringe infringement lie limitation limitations litigation miss sue taint volatility,approximate approximately believe differ may predict prediction predictions revise risk risks uncertain uncertainties volatility,able effective satisfy win,48.0,35.0,9.0,4.0,4.313,0,0,0,1,0,0,0,0,0,5.0
2,csco,2013-06-12,break closed cut disclose disclosed ill late lie lose miss terminate terminates,may,able satisfy win,48.0,35.0,9.0,4.0,4.313,0,1,1,0,0,0,0,0,0,12.0
3,csco,2013-06-24,break closed cut disclose disclosed ill lie lose miss terminate,,able satisfy win,48.0,35.0,9.0,4.0,4.313,0,0,0,1,1,1,1,0,0,29.0
4,csco,2013-07-23,adverse adversely break circumvent closing concern critical cut defend defending drastic drastically ill insufficient intrusion late lie lose loses losing miss pervasive plea pleas prevention quit seize stopping sue sued taint termination threat threats,approximate approximately assume believe could differ may preliminary revise risk risks uncertain uncertainty,able achieve benefit better effective excellence excited innovation innovative leading opportunities opportunity satisfied satisfy success successful successfully win,45.0,32.0,9.0,4.0,4.2669999999999995,0,0,1,1,1,1,1,0,0,22.0
5,csco,2013-08-14,adverse antitrust break catastrophic caution cautioned closed concern conciliation cut defect defects defer deter disclose disclosed divest divestiture divestitures doubt doubtful downturn downturns easing erred forego ill impair impairment impairments inconsistent insufficient investigation investigations late lie limitation limitations litigation lose loss losses miss obsolete pervasive plea pleas poses question quit restructuring restructurings seize sue sued taint termination threat volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may pending predict predicting prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able accomplish achieve benefit better collaborate collaboration effective enable gain gains good great greater improve improvement improvements innovation innovative invent inventor leadership leading opportunities profitable satisfy success successful successfully unmatched win,44.0,31.0,11.0,2.0,4.3180000000000005,1,0,0,1,1,1,1,0,0,1.0
6,csco,2013-08-15,break caution cautioned cut force forego ill late lie miss plea pleas sever termination,anticipate anticipated approximate approximately could differ may possible predict prediction predictions revise risk risks vary,able achieve benefit satisfy win,44.0,30.0,12.0,2.0,4.273,0,0,0,0,1,0,1,0,0,90.0
7,csco,2013-11-13,adverse antitrust break catastrophic caution cautioned concern conciliation cut defect defects defer deter divest divestiture divestitures doubt doubtful downturn downturns erred force forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation loss losses miss obsolete pervasive plea pleas poses problem problems question quit restructuring restructurings seize sue sued taint termination threat volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may pending predict prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able achieve benefit collaborate collaboration confident effective efficient efficiently enable enhance gain gains good great greater improve improvement improvements innovation innovations invent inventor leadership leading opportunities proactive proactively profitability satisfy strong success successful successfully superior win,45.0,28.0,14.0,3.0,4.1110000000000015,1,0,0,1,0,0,0,0,0,7.0
8,csco,2013-11-20,absence adverse adversely against breach break broken cancel canceled cancellation cancelled cease ceases closed closing closure concern conflict contested contrary convict conviction correcting crime cut damage damages defect defend defer delay delayed deter disclose dishonest dishonesty dismiss dismissal dispute dissolution divest divestiture divestitures divorce easing erred fail fails failure felony fined force forego forfeit forfeited forfeiture fraud harm ill illegal impair impairment impractical inability inconsistency inconsistent intentional interfere interrupt interruption invalid investigation involuntarily lapse lapsed late lie limitation limitations liquidate liquidation litigating litigation lose losing loss lying misconduct miss omission plea pleas pled poses preclude prosecution question quit refusal refuse refusing resign resignation restate restated restatement revoke sever sue sued suspend suspended suspends suspension taint terminate terminated terminates terminating termination terminations unable unauthorized unfunded violation voided writeoff writeoffs,ambiguous anticipate anticipated approximate approximately assume assumed assumption conditional depend dependent depends differ fluctuation indeterminable may pending possible predict predicted tending unknown unsettled vary,able accomplish achieve achievement attain attained attains beneficial benefit best conclusive confident desirable distinction effective enable enables exclusive exclusively favorable gain gains good great greater highest honor honored invent inventor leadership opportunity satisfaction satisfactory satisfied satisfy success valuable win,45.0,26.0,17.0,2.0,4.067,0,1,1,0,1,0,0,0,0,14.0
9,csco,2013-12-04,break closed cut disclose disclosed ill late lie lose miss terminate terminates,may,able satisfy win,45.0,26.0,17.0,2.0,4.067,0,0,0,1,1,1,1,0,0,84.0
10,csco,2014-02-26,adverse adversely against allege alleged bankrupt bankruptcy breach break calamity claims closed closure concern conflict contrary crisis culpability cut damage damages default defaulting defaults defect defects deficiency deter disclose disclosed dispose dispute disturb disturbance downgrading encumbrance encumbrances erred erring fail failed fails failure fault faults fined force forego forfeit forfeiture fraud fraudulent guilty harm hazard hazardous ill imperfection imperfections impracticable inadvisable incident incorrect ineligible infringe infringement injunction insolvency insufficient interfere interference investigation investigations lapse late lie limitation limitations lose losing loss losses manipulation mislead misleading misrepresent misrepresentation miss moratorium objection omission omissions omit omits omitted overtly plaintiff plea pleas poses postpone prejudice prejudiced preventing quit reparation revocation sever solvency sue sued suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable unpaid unrest violate violation weak weakness weaknesses,appear appeared assume assuming assumption assumptions believe conditional contingent could depend dependent may pending possible preliminary varied,able benefit best confident effective enable exclusive gain gains good great greater leading opportunity perfect positive satisfaction satisfactory satisfied satisfies satisfy stabilization succeed succeeding success win,44.0,24.0,16.0,4.0,3.909,1,1,0,1,1,0,0,0,0,5.0
11,csco,2014-03-03,absence acquiesce adverse adversely against annul annulled arrears bad bankrupt bankruptcy breach break cancel cancellation cancelled cease ceased claims closed closing closure concern conflict conflicting conflicts contrary cut damage damages decline deface defaced default defaulted defaults defect defects defend defending delay delays delist delisting destroy destroyed destruction deter disadvantage disadvantageous disclose disclosed discontinue discontinued dispose disregard disregarded disturb easing embargo encumber encumbered encumbrance erred erring erroneous error errors fail failed failure fault faulted faults fined force forced forego fraud fraudulent harm hinder ill illegal impair impaired impede impracticable inability incapable inconsistency inconsistent inquiry insolvency insolvent insufficient intentional invalid investigate investigation involuntary lack lapse lapsed late lie limitation limitations liquidation liquidator litigant lose losing loss losses lost lying misconduct miss misuse moratorium negligence negligent nonpayment omission omissions omit omitted omitting overdue plea plead pled poses postpone postponed preclude prejudice prejudicial prosecute punitive question questions quit reparation resign resignation resigning sever solvency stolen sue sued sues suffer suffered suffering suing suspension terminate terminated termination unable unauthorized unavailability undisclosed unduly unpaid unreasonable unwilling usury violation,ambiguity appear appears approximate approximately assume assumed assumes assuming assumption believe believed conditional conditionally contingency depend dependent differ indeterminate likelihood may might ordinarily pending possible presume presumed risk risks sometime sometimes variation variations,able advances advantage advantageous beneficial beneficially benefit conclusive conclusively constructive desirable effective empower empowered enable exclusive exclusively gain gains good great greater improve improvement improvements improving leading progress satisfaction satisfactory satisfied satisfy succeed succeeding success win,42.0,24.0,14.0,4.0,3.952,0,1,1,0,0,0,0,0,0,8.0
12,csco,2014-03-11,break closed cut disclose disclosed ill lie lose miss terminate terminates,may,able satisfy win,43.0,25.0,14.0,4.0,3.977,0,1,1,1,1,1,1,0,0,15.0
13,csco,2014-03-26,break closed cut disclose disclosed ill lie lose miss terminate,,able satisfy win,43.0,24.0,15.0,4.0,3.93,0,0,0,1,1,1,1,0,0,49.0
14,csco,2014-05-14,adverse against antitrust barrier barriers break breaking catastrophic caution cautioned concern conciliation cut defect defects defer deter divest divestiture divestitures doubt doubtful downturn downturns erred fines forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation loss losses miss obsolete plea pleas poses question quit restructuring restructurings seize sue sued taint termination volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may nearly pending predict prediction predictions predictive risk risks uncertain uncertainties variability variation variations volatility,able achieve advantage benefit better collaborate confident effective excellence gain gains improve improved invent inventor opportunities pleased progress satisfy strength strong success successful successfully win,45.0,25.0,16.0,4.0,3.9330000000000003,0,1,1,1,1,1,1,0,0,78.0
15,csco,2014-07-31,break closed closing cut deter ill lie lose losing miss resign resignation,,able effective gain satisfy win,48.0,27.0,17.0,4.0,3.958,0,0,0,1,0,1,0,0,0,13.0
16,csco,2014-08-13,adverse against antitrust break breaks catastrophic caution cautioned concern conciliation cut defect defects defend defer deter disrupt disruptive divest divestiture divestitures doubt doubtful downturn downturns erred fined fines forego ill impair impairment impairments insufficient investigation investigations lag late lie limitation limitations litigation loss losses miss obsolete plea pleas poses problem problems question quit restructuring restructurings seize sever sue sued taint termination threat volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may nearly pending predict prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able achieve beneficial benefit best collaborate collaborated collaboration effective enable enhance gain gains good innovation innovations invent inventor leadership leading opportunities pleased proactive proactively satisfy strength strengthen strengthening strong success successful successfully win,47.0,27.0,16.0,4.0,3.9789999999999996,1,0,0,1,1,0,0,0,0,1.0
17,csco,2014-08-14,break caution cautioned cut force forego ill late lie miss plea pleas restructuring sever termination,anticipate anticipated approximate approximately could differ may possible predict prediction predictions revise risk risks vary,able achieve benefit satisfy win,47.0,26.0,17.0,4.0,3.9360000000000004,0,0,0,1,1,1,1,0,0,29.0
18,csco,2014-09-12,break cut force ill lie miss,,able effective satisfy win,46.0,26.0,16.0,4.0,3.957,0,0,0,0,1,0,0,0,0,13.0
19,csco,2014-09-25,break closed cut disclose disclosed ill lie lose miss terminate,,able satisfy win,47.0,26.0,17.0,4.0,3.9360000000000004,0,1,1,0,1,0,1,0,0,48.0
20,csco,2014-11-12,adverse antitrust break catastrophic caution cautioned concern conciliation cut defect defects defer deter divest divestiture divestitures doubt doubtful downturn downturns erred fines forego ill impair impairment impairments insufficient investigation investigations late lie limitation limitations litigation loss losses miss obsolete plea pleas poses question quit restructuring restructurings seize sue sued taint termination threat volatility,anticipate anticipated approximate approximately believe believes contingencies contingent could depend dependence differ doubt doubtful fluctuation fluctuations intangible may pending predict prediction predictions risk risks uncertain uncertainties variability variation variations volatility,able achieve benefit collaborate collaboration effective efficiency enable enabling encouraging gain gains good improving innovation innovations innovative invent inventor opportunities pleased positive progress satisfy strength strong strongest succeed success successful successfully win,46.0,28.0,14.0,4.0,4.043,0,1,1,0,0,0,0,0,0,2.0
21,csco,2014-11-14,break cut lie miss,,able effective satisfy succeed win,46.0,27.0,15.0,4.0,4.0,1,1,1,1,0,1,1,0,0,34.0
22,csco,2014-12-18,break closed cut disclose disclosed ill lie lose miss terminate,,able satisfy win,46.0,27.0,15.0,4.0,4.0,1,1,1,0,0,0,0,0,0,1.0
23,csco,2014-12-19,break closed cut disclose disclosed ill lie lose miss terminate,,able satisfy win,46.0,27.0,15.0,4.0,4.0,1,1,1,1,0,1,1,0,0,90.0
24,csco,2015-03-19,break closed cut disclose disclosed ill lie lose miss terminate,,able satisfy win,45.0,27.0,13.0,5.0,3.978,1,1,1,1,1,0,1,0,0,5.0
25,csco,2015-03-24,break closed cut disclose disclosed ill late lie lose miss terminate,may,able satisfy win,45.0,27.0,13.0,5.0,3.978,0,0,0,1,1,1,1,0,0,41.0
