,document_ref,company_name,filing_date,date_str,filing_type
0,0001065088-15-000126,EBAY,20150505,2015-05-05,8-K
1,0001065088-12-000141,EBAY,20121017,2012-10-17,8-K
2,0001065088-12-000035,EBAY,20120418,2012-04-18,8-K
3,0001065088-15-000052,EBAY,20150206,2015-02-06,8-K
4,0001065088-16-000262,EBAY,20160127,2016-01-27,8-K
5,0001193125-11-010136,EBAY,20110119,2011-01-19,8-K
6,0001065088-17-000031,EBAY,20170821,2017-08-21,8-K
7,0001065088-17-000019,EBAY,20170522,2017-05-22,8-K
8,0001193125-11-082907,EBAY,20110330,2011-03-30,8-K
9,0001065088-15-000247,EBAY,20151021,2015-10-21,8-K
10,0001065088-19-000017,EBAY,20190423,2019-04-23,8-K
11,0001065088-19-000003,EBAY,20190129,2019-01-29,8-K
12,0001065088-17-000026,EBAY,20170720,2017-07-20,8-K
13,0001065088-16-000328,EBAY,20161019,2016-10-19,8-K
14,0001065088-16-000314,EBAY,20160720,2016-07-20,8-K
15,0001065088-16-000300,EBAY,20160427,2016-04-27,8-K
16,0001193125-12-191579,EBAY,20120427,2012-04-27,8-K
17,0001065088-16-000338,EBAY,20161103,2016-11-03,8-K
18,0001065088-17-000022,EBAY,20170623,2017-06-23,8-K
19,0001065088-14-000004,EBAY,20140122,2014-01-22,8-K
20,0001065088-14-000164,EBAY,20141020,2014-10-20,8-K
21,0001193125-11-241305,EBAY,20110906,2011-09-06,8-K
22,0001065088-15-000083,EBAY,20150323,2015-03-23,8-K
23,0001193125-10-162870,EBAY,20100721,2010-07-21,8-K
24,0001065088-19-000012,EBAY,20190301,2019-03-01,8-K
25,0001065088-15-000257,EBAY,20151112,2015-11-12,8-K
26,0001193125-10-239760,EBAY,20101028,2010-10-28,8-K
27,0000898822-15-000035,EBAY,20150123,2015-01-23,8-K
28,0001065088-16-000311,EBAY,20160621,2016-06-21,8-K
29,0001065088-17-000037,EBAY,20170921,2017-09-21,8-K
30,0001193125-18-193051,EBAY,20180614,2018-06-14,8-K
31,0001065088-18-000042,EBAY,20181030,2018-10-30,8-K
32,0001193125-14-230539,EBAY,20140609,2014-06-09,8-K
33,0001193125-15-257121,EBAY,20150720,2015-07-20,8-K
34,0001181431-12-055361,EBAY,20121023,2012-10-23,8-K
35,0001065088-13-000114,EBAY,20130717,2013-07-17,8-K
36,0001065088-11-000017,EBAY,20110720,2011-07-20,8-K
37,0001193125-10-223868,EBAY,20101005,2010-10-05,8-K
38,0001065088-15-000227,EBAY,20150814,2015-08-14,8-K
39,0001193125-14-281395,EBAY,20140728,2014-07-28,8-K
40,0001193125-11-112032,EBAY,20110427,2011-04-27,8-K
41,0001065088-12-000083,EBAY,20120718,2012-07-18,8-K
42,0001181431-12-001620,EBAY,20120106,2012-01-06,8-K
43,0001065088-14-000117,EBAY,20140716,2014-07-16,8-K
44,0001065088-14-000077,EBAY,20140515,2014-05-15,8-K
45,0001065088-18-000030,EBAY,20180718,2018-07-18,8-K
46,0001193125-11-079090,EBAY,20110328,2011-03-28,8-K
47,0001065088-12-000087,EBAY,20120720,2012-07-20,8-K
48,0001193125-17-196062,EBAY,20170606,2017-06-06,8-K
49,0001065088-14-000058,EBAY,20140429,2014-04-29,8-K
50,0000898822-14-000400,EBAY,20141003,2014-10-03,8-K
51,0001065088-15-000236,EBAY,20150930,2015-09-30,8-K
52,0001193125-11-163418,EBAY,20110613,2011-06-13,8-K
53,0001193125-18-163274,EBAY,20180515,2018-05-15,8-K
54,0001065088-15-000182,EBAY,20150716,2015-07-16,8-K
55,0001193125-12-311398,EBAY,20120724,2012-07-24,8-K
56,0001065088-13-000002,EBAY,20130116,2013-01-16,8-K
57,0001193125-11-168404,EBAY,20110620,2011-06-20,8-K
