,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
0,0001065088-15-000126,EBAY,20150505,2015-05-05,8-K,alienation break clawback collapse conflict cut decline defect defer deter easing forego forfeit forfeiture ill impair inconsistency involuntary lapse late lie limitation limitations miss omission pled poses question questions quit restate restated restatement suspend suspension terminate terminated termination,depend dependent differ hidden may uncertain,able achieve achieved benefit effective enable enhance exclusive gain gains reward satisfaction satisfied satisfy satisfying success win
1,0001065088-12-000141,EBAY,20121017,2012-10-17,8-K,break closed collapse conciliation conciliations crisis cut delinquency deter difficult dispose divest divested divestiture divestitures downturn easing erred fined forego fraud ill impair impairment lapse late lie limitation limitations litigation lose loss losses miss missed poses quit restructuring sever sue sued taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations hidden intangible intangibles may nearly predict predicted recalculate risk risks uncertain uncertainties vary varying,able benefit boost easily effective enable enables enabling enhance favorable gain gains good great innovate innovative profitably satisfy stability strong success successful successfully surpass surpassed win winning
2,0001065088-12-000035,EBAY,20120418,2012-04-18,8-K,break closed collapse conciliation conciliations crisis cut delinquency deter difficult divest divested divestiture divestitures downturn easing erred fined forego fraud ill impair impairment lapse late lie limitation limitations litigation lose loss losses miss missed negative negatively poses quit restructuring sever taint,almost approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations hidden intangible intangibles may nearly predict predicted risk risks uncertain uncertainties vary varying,able achieve benefit better easier easily effective enable enables enabling enhance gain gains good improve improved improvement improvements innovation opportunity profitably satisfy stability strong success successful successfully surpass surpassed win
3,0001065088-15-000052,EBAY,20150206,2015-02-06,8-K,break collapse conciliation cut deter erred fined forego ill impair impairment lapse late lie limitation limitations loss losses miss poses quit restructuring sever,believe believes depend dependent differ hidden intangible intangibles may recalculate,able benefit effective enhance gain gains good satisfy win
4,0001065088-16-000262,EBAY,20160127,2016-01-27,8-K,against break closed closing closure collapse conciliation conciliations crisis cut deter difficult disclosing discontinue discontinued divest divestiture divestitures downturn easing erred fined forego ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses lying miss poses quit restructuring sever taint,appear appearing approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations hidden intangible may predict predicted recalculate risk risks uncertain uncertainties vary varying,able achieve achieved benefit effective empower empowering enable enabled enhance gain gains good great opportunity progress satisfy stability strength strong success successful successfully vibrant win
5,0001193125-11-010136,EBAY,20110119,2011-01-19,8-K,break closed conciliation conciliations cut delinquency deter difficult dispose divest divestiture divestitures downturn easing erred fined forego fraud ill impair impairment impairments late lie limitation limitations litigation lose loss losses miss missed negative negatively poses quit restructuring sever sue sued taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations intangible intangibles may nearly predict predicted risk risks uncertain uncertainties vary varying,able achieve benefit easily effective enable enables enabling enhance gain gains good great greater improve improved innovate innovating innovation leadership profitably satisfy stability strength strengthen strengthening strong stronger success successful successfully win
6,0001065088-17-000031,EBAY,20170821,2017-08-21,8-K,break collapse cut fined ill lapse lie lying miss resign resignation sever sue sued,hidden revise revised,able advantage advantages collaboration empower empowering enable enabled great leadership leading opportunity satisfy strong success tremendous vibrant win
7,0001065088-17-000019,EBAY,20170522,2017-05-22,8-K,break collapse cut lapse lie miss,depend dependent hidden,able gain gains satisfy success win
8,0001193125-11-082907,EBAY,20110330,2011-03-30,8-K,absence adverse adversely against allegation allegations allege alleged alleges alleging antitrust arrears bankrupt bankruptcy breach breached breaches break burden cancel canceled cancellation cancelled caution cautioned cease challenge challenged challenges challenging claims closed closing closure closures complain complaint complaints concern conflict conflicts contested contrary criminal cut damage damages default defeat defect defects defend defended defer deficiencies deficiency delay delaying delist delisting denies deny destroy destroyed destruction deter detract disaster disasters disclaim disclaimer disclose disclosed disclosing discontinue discourage disfavor disfavoring dispose disproportion disproportionate dispute disqualification disregard disregarded disrupt disruption disruptions dissent dissenter dissenters dissolution divest divested doubt easing encroach encroachment encumber encumbers encumbrance encumbrances enjoin enjoining erred erring error fail failed fails failure failures fault fictitious fined force forced foreclosure forego forfeit forfeiture fraud grievance harass harassment hardship harm hazard hazardous ill illegal impair impede imperfection inaccuracies inaccuracy inaccurate inconsistent infringe infringed infringement infringing injunction inquiry insolvency intentional interfere interference interfering interrupt interruption invalid investigation involuntarily irreparable jeopardize lapse lapsed lapses late layoff lie limitation liquidation litigation lockout lose loses losing loss lost lying misappropriate misappropriated misappropriating misappropriation mislead misleading miss moratorium nondisclosure offend offending omission omissions omit omitted opposition overdue penalty picket picketing pled poses posing postpone postponement postponements preclude prejudice pressing preventing problem prosecution purport purported purporting purports question questioning quit redact redacted refusal reject rejection reparation resign resignation restate restated retaliation revocation revoke revoked sabotage sever slow slowdown solvency standstill stolen stoppage strain straining sue sued sues suing summons suspect suspected suspend suspension taint terminate terminated terminates terminating termination threat threaten threatened unauthorized undisclosed undue unemployment unfair unintentional unlawful unreasonably unresolved unrest unsatisfied violate violated violating violation violations weak weakness weaknesses,ambiguities ambiguity apparent appear appears approximate approximately assume assumed assuming assumption assumptions believe believes conditional conditionally contingent could depend dependence dependent differ doubt exposure likelihood may might nonassessable pending possible predict prediction predictions predictive preliminary presumption reexamination revise risk risks tending uncertain uncertainties unknown variance variant variation variations,able achieve advancement advances advantage advantageous beneficial beneficially benefit best collaboration confident desirable effective empower empowered enable exclusive exclusively favorable favoring gain gaining gains good great greater invent invention inventions inventor inventors leading opportunity perfect perfected resolve satisfaction satisfactory satisfied satisfy satisfying succeed success successful successfully win
9,0001065088-15-000247,EBAY,20151021,2015-10-21,8-K,against break closed closing closure collapse conciliation conciliations crisis cut decline deter difficult disclosing discontinue discontinued divest divestiture divestitures downturn easing erred fined forego ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses lying miss poses quit restructuring sever taint,appear appearing approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations hidden intangible may predict predicted recalculate risk risks uncertain uncertainties vary varying,able achieve achieved benefit better effective empower empowering enable enabled enhance gain gains good great opportunity profitable progress reward satisfy stability stable strong success successful successfully vibrant win
