,ticker,date,neg_text,uncert_text,pos_text,date_1,date_3,date_7
0,ebay,2010-07-21,against break closed conciliation conciliations crisis cut declining delinquency deter difficult divest divestiture divestitures downturn easing erred fined forego fraud ill impair impairment impairments late lie limitation limitations litigation lose loss losses lying miss missed negative negatively poses quit restructuring sever slow slower taint worse worsen worsening,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able achieve advances benefit easily effective enable enables enhance gain gains good improve improvement improvements innovative positive positively profitably progress satisfy stability strength strong stronger success successful successfully win,2010-07-22,2010-07-24,2010-07-28
1,ebay,2010-09-21,break crisis cut divest divestiture divestitures downturn easing ill late lie litigation miss resign resigning sever taint termination worse worsen worsening,assume assumes assumption assumptions could differ fluctuation fluctuations may nearly predict predicted risk risks uncertain uncertainties vary varying,able achieve benefit best better easier easily easy efficiency enable enables enhance enhancement enhancements improve improvement improvements innovation profitably satisfy stability strength success win,2010-09-22,2010-09-24,2010-09-28
2,ebay,2010-10-05,absence against allege alleged alleging breach breached break cease ceased challenge challenges closed closing closure closures confine confined conflict contested contrary criminal cut defect defective defend defending destroy destroyed destruction deter disclose disclosed disinterested disqualification disqualified disregard disregarded erred fail fails failure fined fines force forced forego fraud harm ill illegal improper inability inadvertent incident intentional invalid invalidate lack late lie limitation limitations lose losing loss lost lying misconduct miss objecting omission penalties plea pleas pled poses posing postpone postponement prejudice question questions quit reject resign resignation resignations restate restated restatement revocation revocations revoke revoked stolen sue sued suffer suffered termination terminations threat threaten threatened unable violation volatility,appear appears believe believes could depend dependence dependent differ may might pending possible risk volatility,able advancement beneficial beneficially benefit best desired effective empower exclusive gain gains good great greater loyal opportunity pleasure satisfy succeed succeeding success win,2010-10-06,2010-10-08,2010-10-12
3,ebay,2010-10-20,break challenge challenges closed conciliation conciliations cut delinquency deter difficult divest divestiture divestitures downturn easing erred fined forego fraud ill impair impairment impairments late lie limitation limitations litigation lose loss losses miss missed negative negatively poses quit restructuring sever taint,almost approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able achieve advances benefit easily effective enable enables enhance gain gained gains good great improve improving innovation leadership opportunities positive positively profitably progress satisfy stability stable strength strengths strong stronger success successful successfully win,2010-10-21,2010-10-23,2010-10-27
4,ebay,2010-10-28,absence accident accidents acquiesce adverse adversely against allegation allegations allege alleged alleges alleging annul bad bankrupt bankruptcy breach breaches break calamity cancel canceled cancellation catastrophe catastrophes cease ceased ceases challenging claims closed closing closure concern concerns conciliation conflict conflicted conflicts contested contrary corrupt corruptly crisis culpability cut damage damages decline default defaulted defaulting defaults defect defend defending defer delay deliberate destroy destroyed destruction deter disclose disclosed discontinue discontinued dispose dispute disputes disqualification disregard disregarded disrupt disruption disturb disturbance disturbances divest divestiture divestitures doubt downgrading downturn easing encumbrance encumbrances enjoin enjoining erred error expose fail failed fails failure fault faulted faults fined fines force forced forego fraud fraudulent guilty harm hazard hazardous hinder idle ill illegal impair impaired impede impracticable impractical inability inadequacy inadvertent inadvisable incapable incident incidents inconsistency inconsistent ineligible infringe infringement infringes injuries inquiry insolvency insolvent insufficient interfere interference interrupt interruption interruptions invalid invalidity investigate investigating investigation involuntary lapse late laundering lie limitation limitations liquidation liquidator litigant litigation lose losing loss losses lost lying malfunction malfunctions manipulation misconduct mislead misleading misrepresent misrepresentation miss moratorium negligence negligent noncompliance nonperformance objecting objection omission omissions omit omits omitted overdue penalties penalty plaintiff plea plead pleaded pled poses postpone preclude prejudice prejudiced preventing prosecute prosecuted purport question quit refusal refuse refused reparation resign resignation resigned resigns revocation revoke sever solvency stolen stoppage stoppages strain straining sue sued sues suffer suffered suing suspend suspended suspending suspension taint terminate terminated termination terminations threat threaten threatened threatening unable unavailable unaware unfavorable unfunded unlawful unpaid unreasonable unreasonably unsold unwilling usury violate violates violation violations weak weakness worse worsen worsening,ambiguity anticipation appear appearing assume assumed assumes assuming assumption assumptions believe believed believes believing conditional conditionally contingency contingent could depend dependent differ doubt fluctuation fluctuations intangible may might nonassessable pending possible predict predicted preliminary risk risks uncertain uncertainties variable variation variations vary varying,able achieve adequately advances advantage assure assured beneficial benefit best conclusive conclusively confident constructive effective empower empowered enable enabling exclusive exclusively favorable gain gains good great greater highest improve improvement improvements improving invent invention inventions leading opportunity profitably progress satisfaction satisfactory satisfied satisfies satisfy stability stabilization succeed succeeding success win,2010-10-29,2010-10-31,2010-11-04
5,ebay,2011-01-19,break closed conciliation conciliations cut delinquency deter difficult dispose divest divestiture divestitures downturn easing erred fined forego fraud ill impair impairment impairments late lie limitation limitations litigation lose loss losses miss missed negative negatively poses quit restructuring sever sue sued taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations intangible intangibles may nearly predict predicted risk risks uncertain uncertainties vary varying,able achieve benefit easily effective enable enables enabling enhance gain gains good great greater improve improved innovate innovating innovation leadership profitably satisfy stability strength strengthen strengthening strong stronger success successful successfully win,2011-01-20,2011-01-22,2011-01-26
6,ebay,2011-01-20,break closed conciliation conciliations corrected cut delinquency deter difficult dispose divest divestiture divestitures downturn easing erred error fined forego fraud ill impair impairment impairments late lie limitation limitations litigation lose loss losses miss missed negative negatively poses quit restructuring sever sue sued taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations intangible intangibles may nearly predict predicted risk risks uncertain uncertainties vary varying,able achieve benefit easily effective enable enables enabling enhance gain gains good great greater improve improved innovate innovating innovation leadership profitably satisfy stability strength strengthen strengthening strong stronger success successful successfully win,2011-01-21,2011-01-23,2011-01-27
7,ebay,2011-02-10,break conciliation cut divest divestiture divestitures downturn easing fined ill late lie litigation miss taint,anticipate anticipated approximate approximately assume assumes assumption assumptions believe could differ fluctuation fluctuations may predict predicted risk risks uncertain uncertainties vary varying,able achieve best confident easily enable enabled enables innovation leading profitable profitably satisfy stability strong win,2011-02-11,2011-02-13,2011-02-17
8,ebay,2011-03-28,break closed closing closure cut difficult disclose disclosed divest divested divestiture divestitures downturn easing ill late lie litigation lose loses losing miss negative sue sued taint unanticipated,anticipate anticipated approximate approximately assume assumes assuming assumption assumptions believe believes could differ fluctuation fluctuations may possibility possible predict predicted risk risks uncertain uncertainties unknown vary varying,able achieve benefit creative easily enable enables enhance enhances innovation innovative leading profitably satisfy stability strength strengthen strengths superior win,2011-03-29,2011-03-31,2011-04-04
9,ebay,2011-03-30,absence adverse adversely against allegation allegations allege alleged alleges alleging antitrust arrears bankrupt bankruptcy breach breached breaches break burden cancel canceled cancellation cancelled caution cautioned cease challenge challenged challenges challenging claims closed closing closure closures complain complaint complaints concern conflict conflicts contested contrary criminal cut damage damages default defeat defect defects defend defended defer deficiencies deficiency delay delaying delist delisting denies deny destroy destroyed destruction deter detract disaster disasters disclaim disclaimer disclose disclosed disclosing discontinue discourage disfavor disfavoring dispose disproportion disproportionate dispute disqualification disregard disregarded disrupt disruption disruptions dissent dissenter dissenters dissolution divest divested doubt easing encroach encroachment encumber encumbers encumbrance encumbrances enjoin enjoining erred erring error fail failed fails failure failures fault fictitious fined force forced foreclosure forego forfeit forfeiture fraud grievance harass harassment hardship harm hazard hazardous ill illegal impair impede imperfection inaccuracies inaccuracy inaccurate inconsistent infringe infringed infringement infringing injunction inquiry insolvency intentional interfere interference interfering interrupt interruption invalid investigation involuntarily irreparable jeopardize lapse lapsed lapses late layoff lie limitation liquidation litigation lockout lose loses losing loss lost lying misappropriate misappropriated misappropriating misappropriation mislead misleading miss moratorium nondisclosure offend offending omission omissions omit omitted opposition overdue penalty picket picketing pled poses posing postpone postponement postponements preclude prejudice pressing preventing problem prosecution purport purported purporting purports question questioning quit redact redacted refusal reject rejection reparation resign resignation restate restated retaliation revocation revoke revoked sabotage sever slow slowdown solvency standstill stolen stoppage strain straining sue sued sues suing summons suspect suspected suspend suspension taint terminate terminated terminates terminating termination threat threaten threatened unauthorized undisclosed undue unemployment unfair unintentional unlawful unreasonably unresolved unrest unsatisfied violate violated violating violation violations weak weakness weaknesses,ambiguities ambiguity apparent appear appears approximate approximately assume assumed assuming assumption assumptions believe believes conditional conditionally contingent could depend dependence dependent differ doubt exposure likelihood may might nonassessable pending possible predict prediction predictions predictive preliminary presumption reexamination revise risk risks tending uncertain uncertainties unknown variance variant variation variations,able achieve advancement advances advantage advantageous beneficial beneficially benefit best collaboration confident desirable effective empower empowered enable exclusive exclusively favorable favoring gain gaining gains good great greater invent invention inventions inventor inventors leading opportunity perfect perfected resolve satisfaction satisfactory satisfied satisfy satisfying succeed success successful successfully win,2011-03-31,2011-04-02,2011-04-06
