Date,Total,Buys,Holds,Sells,Rating,Target Px
5/3/2019,38,15,22,1,3.711,39.74
5/2/2019,38,15,22,1,3.711,39.74
5/1/2019,38,15,22,1,3.711,40.07
4/30/2019,38,15,22,1,3.711,40.07
4/29/2019,38,15,22,1,3.711,40.07
4/28/2019,38,15,22,1,3.711,40.07
4/27/2019,38,15,22,1,3.711,40.07
4/26/2019,38,15,22,1,3.711,40.07
4/25/2019,38,15,22,1,3.711,39.66
4/24/2019,38,15,22,1,3.711,39.66
4/23/2019,38,15,22,1,3.711,38.19
4/22/2019,38,15,22,1,3.711,37.61
4/21/2019,38,15,22,1,3.711,37.61
4/20/2019,38,15,22,1,3.711,37.61
4/19/2019,38,15,22,1,3.711,37.61
4/18/2019,38,15,22,1,3.711,37.61
4/17/2019,38,15,22,1,3.711,37.61
4/16/2019,38,15,22,1,3.711,37.55
4/15/2019,38,15,22,1,3.711,37.55
4/14/2019,38,15,22,1,3.711,37.55
4/13/2019,38,15,22,1,3.711,37.55
4/12/2019,38,15,22,1,3.711,37.55
4/11/2019,38,15,22,1,3.711,37.55
4/10/2019,38,15,22,1,3.711,37.55
4/9/2019,38,15,22,1,3.711,37.55
4/8/2019,38,15,22,1,3.711,37.55
4/7/2019,38,15,22,1,3.711,37.55
4/6/2019,38,15,22,1,3.711,37.55
4/5/2019,38,15,22,1,3.711,37.55
4/4/2019,38,15,22,1,3.711,37.55
4/3/2019,38,15,22,1,3.711,37.55
4/2/2019,38,15,22,1,3.711,37.55
4/1/2019,38,15,22,1,3.711,37.55
3/31/2019,38,15,22,1,3.711,37.55
3/30/2019,38,15,22,1,3.711,37.55
3/29/2019,38,15,22,1,3.711,37.55
3/28/2019,38,15,22,1,3.711,37.55
3/27/2019,38,15,22,1,3.711,37.55
3/26/2019,38,15,22,1,3.711,37.55
3/25/2019,38,15,22,1,3.711,37.55
3/24/2019,38,15,22,1,3.711,37.55
3/23/2019,38,15,22,1,3.711,37.55
3/22/2019,38,15,22,1,3.711,37.55
3/21/2019,38,15,22,1,3.711,37.55
3/20/2019,38,15,22,1,3.711,37.55
3/19/2019,38,15,22,1,3.711,37.55
3/18/2019,38,15,22,1,3.711,37.55
3/17/2019,38,15,22,1,3.711,37.55
3/16/2019,38,15,22,1,3.711,37.55
3/15/2019,38,15,22,1,3.711,37.55
3/14/2019,38,15,22,1,3.711,37.55
3/13/2019,38,15,22,1,3.711,37.55
3/12/2019,38,15,22,1,3.711,37.55
3/11/2019,38,15,22,1,3.711,37.55
3/10/2019,38,15,22,1,3.711,37.55
3/9/2019,38,15,22,1,3.711,37.55
3/8/2019,38,15,22,1,3.711,37.55
3/7/2019,38,15,22,1,3.711,37.55
3/6/2019,38,15,22,1,3.711,37.55
3/5/2019,38,15,22,1,3.711,37.55
