,document_ref,company_name,filing_date,date_str,filing_type
0,0001193125-13-192397,Facebook,20130501,2013-05-01,8-K
1,0001326801-14-000044,Facebook,20141028,2014-10-28,8-K
2,0001326801-18-000003,Facebook,20180118,2018-01-18,8-K
3,0001326801-13-000022,Facebook,20130815,2013-08-15,8-K
4,0001326801-15-000003,Facebook,20150128,2015-01-28,8-K
5,0001326801-14-000047,Facebook,20141028,2014-10-28,8-K
6,0001326801-13-000008,Facebook,20130403,2013-04-03,8-K
7,0001326801-15-000012,Facebook,20150422,2015-04-22,8-K
8,0001326801-18-000039,Facebook,20180508,2018-05-08,8-K
9,0001326801-13-000025,Facebook,20131016,2013-10-16,8-K
10,0001193125-13-482943,Facebook,20131223,2013-12-23,8-K
11,0001326801-18-000006,Facebook,20180131,2018-01-31,8-K
12,0001326801-16-000079,Facebook,20160727,2016-07-27,8-K
13,0001326801-18-000060,Facebook,20181024,2018-10-24,8-K
14,0001326801-18-000049,Facebook,20180605,2018-06-05,8-K
15,0001326801-16-000093,Facebook,20161118,2016-11-18,8-K
16,0001193125-12-423438,Facebook,20121015,2012-10-15,8-K
17,0001193125-12-431558,Facebook,20121023,2012-10-23,8-K
18,0001193125-12-379221,Facebook,20120904,2012-09-04,8-K
19,0001193125-13-029993,Facebook,20130130,2013-01-30,8-K
20,0001326801-18-000063,Facebook,20181030,2018-10-30,8-K
21,0001326801-14-000025,Facebook,20140523,2014-05-23,8-K
22,0001326801-16-000084,Facebook,20161102,2016-11-02,8-K
23,0001326801-16-000094,Facebook,20161118,2016-11-18,8-K
24,0001326801-14-000020,Facebook,20140423,2014-04-23,8-K
25,0001326801-19-000035,Facebook,20190424,2019-04-24,8-K
26,0001326801-17-000004,Facebook,20170201,2017-02-01,8-K
27,0001326801-17-000011,Facebook,20170307,2017-03-07,8-K
28,0001326801-14-000037,Facebook,20141006,2014-10-06,8-K
29,0001326801-14-000012,Facebook,20140326,2014-03-26,8-K
30,0001193125-12-485803,Facebook,20121129,2012-11-29,8-K
31,0001326801-18-000069,Facebook,20181207,2018-12-07,8-K
32,0001326801-17-000035,Facebook,20170726,2017-07-26,8-K
33,0001326801-17-000021,Facebook,20170503,2017-05-03,8-K
34,0001326801-16-000071,Facebook,20160520,2016-05-20,8-K
35,0001326801-14-000010,Facebook,20140219,2014-02-19,8-K
36,0001326801-19-000003,Facebook,20190130,2019-01-30,8-K
37,0001326801-18-000053,Facebook,20180725,2018-07-25,8-K
38,0001326801-17-000033,Facebook,20170606,2017-06-06,8-K
39,0001326801-14-000029,Facebook,20140723,2014-07-23,8-K
40,0001326801-19-000016,Facebook,20190314,2019-03-14,8-K
41,0001326801-16-000077,Facebook,20160621,2016-06-21,8-K
42,0001326801-14-000003,Facebook,20140129,2014-01-29,8-K
43,0001193125-13-177980,Facebook,20130426,2013-04-26,8-K
44,0001326801-19-000029,Facebook,20190415,2019-04-15,8-K
45,0001326801-16-000060,Facebook,20160427,2016-04-27,8-K
46,0001326801-15-000035,Facebook,20151201,2015-12-01,8-K
47,0001326801-13-000016,Facebook,20130724,2013-07-24,8-K
48,0001326801-18-000037,Facebook,20180508,2018-05-08,8-K
49,0001326801-17-000042,Facebook,20170922,2017-09-22,8-K
50,0001326801-14-000064,Facebook,20141029,2014-10-29,8-K
51,0001193125-12-316895,Facebook,20120726,2012-07-26,8-K
52,0001326801-16-000038,Facebook,20160127,2016-01-27,8-K
53,0001193125-18-145181,Facebook,20180501,2018-05-01,8-K
54,0001326801-13-000029,Facebook,20131030,2013-10-30,8-K
55,0001193125-12-439795,Facebook,20121029,2012-10-29,8-K
56,0001326801-15-000023,Facebook,20150615,2015-06-15,8-K
57,0001193125-12-282349,Facebook,20120625,2012-06-25,8-K
58,0001326801-15-000026,Facebook,20150729,2015-07-29,8-K
59,0001326801-15-000030,Facebook,20151104,2015-11-04,8-K
60,0001326801-17-000046,Facebook,20171101,2017-11-01,8-K
61,0001326801-13-000013,Facebook,20130613,2013-06-13,8-K
62,0001326801-18-000026,Facebook,20180425,2018-04-25,8-K
63,0001326801-13-000006,Facebook,20130306,2013-03-06,8-K
