,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
0,0001193125-13-192397,Facebook,20130501,2013-05-01,8-K,breach breaches break caution cautioned closing closure concern concerns conciliation cut disclosing erred ill late lie limitation limitations losing loss lying miss plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit effective enable exciting great greater improve progress satisfy strong superior transparency win
1,0001326801-14-000044,Facebook,20141028,2014-10-28,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing erred ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe could depend dependent differ hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective enable good great greater satisfy strong superior transparency win
2,0001326801-18-000003,Facebook,20180118,2018-01-18,8-K,break collapse cut deter fined ill lapse late lie lose lying miss quit termination,believe hidden revise revised,able delight delighted effective improve satisfy strong win
3,0001326801-13-000022,Facebook,20130815,2013-08-15,8-K,acquiesce adverse adversely against allege alleged arrears bankrupt bankruptcy breach break bribe bribery cancel cancellation cancelled caution cautions cease ceased ceases ceasing claiming claims closed closing closure closures collapse concern conflict conflicting conflicts contested contrary correction corrupt corruption counterclaim cut damage damages default defect defects defer deficit delay delayed deleterious delinquent denied deny deter detract disclaim disclaims disclose disclosed discontinuance discrepancy dismiss dismissal dismissed dispose dispute disregard disregarded dissolution distress doubt easing embargo embargoes encumbrance encumbrances erred erring error errors exculpatory expose fail failed fails failure failures fault faults fined fines force forced forcing foreclose foreclosure forego fraud fraudulent harm hazard hazardous ill illegal illegality impair impaired impairing impairment impossibility impracticable inability inaccuracy inaccurate incapable incident incompetency inconsistency inconsistent incorrect indefeasible indefeasibly ineffective infringe infringement infringements injury inquiry insolvency insufficient intentional interfere invalid invalidate invalidated invalidity investigation investigations involuntary irreparable lapse lapsed late laundering lie limitation limitations liquidate liquidation liquidator lose losing loss losses lying misconduct mislead misleading miss missed moratorium negative negatively negligence nonpayment obsolescence obsolete omission omissions omit omits omitted onerous oppose opposed overdue penalties penalty pled poses postpone preclude prejudice protest punitive purport purported question quit reject rejected rejects relinquish renegotiation reparation repudiate resign resignation restate restated restructuring revoke revoked sever solvency standstill stress sue sued sues suing suspect suspected suspend suspended terminate terminated terminates termination terminations threat threaten threatened unable unemployment unlawful unpaid unqualified unreasonably usurious usury violate violation violative,alteration ambiguity appear approximate approximately assume assumed assumes assumption assumptions believe believed believes conditional conditionally contingencies contingency contingent could depend dependence dependent depending differ doubt exposure exposures hidden intangible likelihood may might pending possibility possible precaution precautions preliminary risk risks speculative tending unusual vary varying,able achieve achieved adequately advances assuring beneficial beneficially benefit benefitting best charitable conclusive confident diligent effective enable exclusive exclusively favorable gain gains good great greater greatest improve improved improvement improvements improving invent invention inventions leading opportunities satisfaction satisfactory satisfied satisfies satisfy succeed succeeded succeeding success win
4,0001326801-15-000003,Facebook,20150128,2015-01-28,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing doubt doubtful erred ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe could depend dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective enable great greater progress satisfy superior transparency win
5,0001326801-14-000047,Facebook,20141028,2014-10-28,8-K,absence adverse against breach break cancel cancelled claims closed closing closure closures collapse cut defend defer deficit deter dissolution doubt doubtful erred error fined forfeit forfeited forfeiture forfeitures fraud harm ill impair impaired impairment incident infringe infringement lack lapse late lie limitation limitations liquidation litigation lose losing loss losses lying misconduct miss misstate misstatement negative penalties poses pressing purport quit reparation restructuring restructurings sever sue sued sues suffer suffered termination threat threaten threatened unpaid volatility,anticipate anticipated apparent approximate approximately approximates assume assumed assumption assumptions believe believes contingencies could depend dependent differ doubt doubtful hidden intangible likelihood may nonassessable possibility preliminary probable revise revised risk risks sometime uncertain variable variables volatility,able achieve achieved achieving advances advantage advantages assure assured benefit best effective efficiencies exclusive gain gains good great greater improve improvement improving opportunities positive progress satisfy win
6,0001326801-13-000008,Facebook,20130403,2013-04-03,8-K,break closing collapse cut disclosing ill lapse lie losing miss,hidden,able effective satisfy win
7,0001326801-15-000012,Facebook,20150422,2015-04-22,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing doubt doubtful erred ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe could depend dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective enable great greater satisfy strong superior transparency win
8,0001326801-18-000039,Facebook,20180508,2018-05-08,8-K,break closing collapse cut deter disclosing fined ill lapse lie losing lying miss termination,hidden revise revised,able effective satisfy win
9,0001326801-13-000025,Facebook,20131016,2013-10-16,8-K,break collapse cut deter ill lapse lie miss,hidden,able satisfy win
