,ticker,date,neg_text,uncert_text,pos_text,price_prior,price_0,price_1,price_3,price_7,p_p_n,p_0_n,Total,Buys,Holds,Sells,Rating,Target Px,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0
0,fcbk,2012-06-25,break closure cut ill late lie miss quit,,satisfaction satisfy win,33.049999237060554,32.060001373291016,33.09999847412109,31.36000061035156,30.770000457763672,29.34000015258789,26.85000038146973,19.0,10.0,7.0,2.0,3.737,38.35,-3.0,0.15,3.24,-6.44,-4.65,-14.38,-12.74,-23.49,-29.99
1,fcbk,2012-07-26,breach breaches break caution cautioned claims concern concerns conciliation cut erred ill late lie limitation limitations loss lying miss negative plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may pending predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better despite effective enable enabled great greater improve improved popular satisfy superior transparency win,29.34000015258789,26.85000038146973,23.709999084472656,21.709999084472656,21.920000076293945,18.059999465942386,17.729999542236328,38.0,19.0,16.0,3.0,3.789,37.58,-8.49,-19.19,-11.69,-16.81,-17.61,-18.33,-19.11,-51.94,-52.82
2,fcbk,2012-09-04,break closed closing cut disclose disclosed erring ill late lie lose losing lying miss plea pleas poses quit sue sued,anticipate approximate approximately assuming assumption assumptions believe depend depending differ may pending predict prediction predictions vary,able satisfaction satisfied satisfy win,18.059999465942386,17.729999542236328,18.57999992370605,18.979999542236328,20.709999084472656,19.520000457763672,19.520000457763672,40.0,21.0,17.0,2.0,3.9,32.9,-1.83,2.88,4.79,2.85,-5.75,2.85,-5.75,-40.67,-40.67
3,fcbk,2012-10-15,acquiesce adverse adversely against allege alleged arrears bankrupt bankruptcy breach break bridge cancel cancellation cancelled caution cautions cease ceased ceases ceasing claiming claims closed closing closure closures concern conflict conflicting conflicts contested contrary correction counterclaim cut damage damages default defect defects defer deficit delay delayed deleterious delinquent denied deny deter detract disclaim disclaims disclose disclosed discontinuance discrepancy dismiss dismissal dismissed dispose dispute disregard disregarded dissolution distress doubt easing encumbrance encumbrances erred erring error errors exculpatory expose fail failed fails failure failures fault faults fined fines force forcing forego fraud fraudulent harm hazard hazardous ill illegal impair impaired impracticable inability inaccuracy inaccurate incapable incident incompetency inconsistency inconsistent incorrect ineffective infringe infringement infringements injury inquiry insolvency insufficient intentional interfere invalid invalidate invalidated investigation investigations involuntary irreparable lapse lapsed late laundering lie limitation limitations liquidate liquidation liquidator lose losing loss losses lying misconduct mislead misleading miss missed moratorium negative negatively negligence obsolescence obsolete omission omissions omit omits omitted onerous oppose opposed overdue penalties penalty pled poses postpone preclude prejudice protest punitive purport purported question quit reject rejected rejects relinquish renegotiation repudiate resign resignation restate restated restatement restructuring revoke revoked sever solvency standstill stress sue sued sues suing suspect suspected suspend suspended terminate terminated terminates termination terminations threat threaten threatened unable unemployment unlawful unpaid unqualified unreasonably usurious usury violate violation violative,ambiguity appear appears approximate approximately assume assumed assumes assumption assumptions believe believed believes conditional contingencies contingency contingent could depend dependence dependent depending differ doubt exposure exposures intangible likelihood may might pending possibility possible precaution precautions risk risks speculative tending unusual vary varying,able achieve achieved adequately advances assuring beneficial beneficially benefit best charitable conclusive confident diligent effective enable exclusive exclusively favorable gain gains good great greater greatest improve improved improvement improvements improving invent invention inventions leading opportunities satisfaction satisfactory satisfied satisfies satisfy succeed succeeded succeeding success win,19.520000457763672,19.520000457763672,19.479999542236328,18.979999542236328,23.229999542236328,19.31999969482422,19.5,42.0,22.0,17.0,3.0,3.857,28.74,0.0,-0.2,-0.2,1.79,-16.83,2.74,-16.06,-32.78,-32.15
4,fcbk,2012-10-23,breach breaches break caution cautioned concern concerns conciliation cut decline erred ill late lie limitation limitations lose loss lying miss plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit despite easy effective enable great greater happy improve satisfy strong stronger superior transparency valuable win,19.31999969482422,19.5,23.229999542236328,21.940000534057614,21.209999084472656,21.940000534057614,21.209999084472656,42.0,22.0,17.0,3.0,3.857,27.62,0.93,20.24,19.13,0.0,3.44,-3.33,0.0,-20.56,-23.21
5,fcbk,2012-10-29,break cut default fault ill late lie miss restate restated,,able satisfy win,21.940000534057614,21.209999084472656,22.270000457763672,21.209999084472656,20.46999931335449,26.36000061035156,27.31999969482422,41.0,25.0,14.0,2.0,4.073,28.71,-3.33,1.5,5.0,24.28,28.77,28.81,33.46,-8.19,-4.84
6,fcbk,2012-11-29,break cut ill lie miss,may,exclusive satisfy win,26.36000061035156,27.31999969482422,28.0,27.459999084472656,27.84000015258789,30.790000915527344,31.239999771118164,40.0,25.0,14.0,1.0,4.175,29.86,3.64,6.22,2.49,12.13,10.6,13.77,12.21,3.11,4.62
7,fcbk,2013-01-30,breach breaches break caution cautioned closing closure concern concerns conciliation cut disclosing erred ill late lie limitation limitations losing loss lying miss plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able achieve benefit despite effective enable enables good great greater improve improved satisfy stability strong stronger superior transparency valuable win,30.790000915527344,31.239999771118164,30.979999542236328,28.11000061035156,28.54999923706055,27.520000457763672,27.45000076293945,39.0,26.0,12.0,1.0,4.282,33.86,1.46,0.62,-0.83,-2.1,-3.61,-2.35,-3.85,-18.72,-18.93
8,fcbk,2013-03-06,break collapse cut deter fines ill lapse lie lying miss penalties termination,approximate approximately hidden,able satisfy win,27.520000457763672,27.45000076293945,28.57999992370605,28.13999938964844,26.649999618530273,25.420000076293945,26.25,39.0,22.0,15.0,2.0,4.026,33.61,-0.25,3.85,4.12,-9.67,-4.62,-6.72,-1.5,-24.37,-21.9
9,fcbk,2013-04-03,break closing collapse cut disclosing ill lapse lie losing miss,hidden,able effective satisfy win,25.420000076293945,26.25,27.06999969482422,26.85000038146973,27.399999618530273,26.13999938964844,26.85000038146973,43.0,24.0,17.0,2.0,4.023,33.23,3.27,6.49,3.12,-2.64,-4.6,0.0,-2.01,-21.34,-19.2
