,ticker,date,neg_text,uncert_text,pos_text,an_count,an_buy,an_hold,an_sell,an_rating,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0,period
0,fcbk,2012-06-25,break closure cut ill late lie miss quit,,satisfaction satisfy win,19.0,10.0,7.0,2.0,3.737,0,1,1,0,0,0,0,0,0,31.0
1,fcbk,2012-07-26,breach breaches break caution cautioned claims concern concerns conciliation cut erred ill late lie limitation limitations loss lying miss negative plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may pending predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better despite effective enable enabled great greater improve improved popular satisfy superior transparency win,38.0,19.0,16.0,3.0,3.7889999999999997,0,0,0,0,0,0,0,0,0,40.0
2,fcbk,2012-09-04,break closed closing cut disclose disclosed erring ill late lie lose losing lying miss plea pleas poses quit sue sued,anticipate approximate approximately assuming assumption assumptions believe depend depending differ may pending predict prediction predictions vary,able satisfaction satisfied satisfy win,40.0,21.0,17.0,2.0,3.9,0,1,1,1,0,1,0,0,0,41.0
3,fcbk,2012-10-15,acquiesce adverse adversely against allege alleged arrears bankrupt bankruptcy breach break bridge cancel cancellation cancelled caution cautions cease ceased ceases ceasing claiming claims closed closing closure closures concern conflict conflicting conflicts contested contrary correction counterclaim cut damage damages default defect defects defer deficit delay delayed deleterious delinquent denied deny deter detract disclaim disclaims disclose disclosed discontinuance discrepancy dismiss dismissal dismissed dispose dispute disregard disregarded dissolution distress doubt easing encumbrance encumbrances erred erring error errors exculpatory expose fail failed fails failure failures fault faults fined fines force forcing forego fraud fraudulent harm hazard hazardous ill illegal impair impaired impracticable inability inaccuracy inaccurate incapable incident incompetency inconsistency inconsistent incorrect ineffective infringe infringement infringements injury inquiry insolvency insufficient intentional interfere invalid invalidate invalidated investigation investigations involuntary irreparable lapse lapsed late laundering lie limitation limitations liquidate liquidation liquidator lose losing loss losses lying misconduct mislead misleading miss missed moratorium negative negatively negligence obsolescence obsolete omission omissions omit omits omitted onerous oppose opposed overdue penalties penalty pled poses postpone preclude prejudice protest punitive purport purported question quit reject rejected rejects relinquish renegotiation repudiate resign resignation restate restated restatement restructuring revoke revoked sever solvency standstill stress sue sued sues suing suspect suspected suspend suspended terminate terminated terminates termination terminations threat threaten threatened unable unemployment unlawful unpaid unqualified unreasonably usurious usury violate violation violative,ambiguity appear appears approximate approximately assume assumed assumes assumption assumptions believe believed believes conditional contingencies contingency contingent could depend dependence dependent depending differ doubt exposure exposures intangible likelihood may might pending possibility possible precaution precautions risk risks speculative tending unusual vary varying,able achieve achieved adequately advances assuring beneficial beneficially benefit best charitable conclusive confident diligent effective enable exclusive exclusively favorable gain gains good great greater greatest improve improved improvement improvements improving invent invention inventions leading opportunities satisfaction satisfactory satisfied satisfies satisfy succeed succeeded succeeding success win,42.0,22.0,17.0,3.0,3.8569999999999998,0,0,0,1,0,1,0,0,0,8.0
4,fcbk,2012-10-23,breach breaches break caution cautioned concern concerns conciliation cut decline erred ill late lie limitation limitations lose loss lying miss plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit despite easy effective enable great greater happy improve satisfy strong stronger superior transparency valuable win,42.0,22.0,17.0,3.0,3.8569999999999998,1,1,1,0,1,0,0,0,0,6.0
5,fcbk,2012-10-29,break cut default fault ill late lie miss restate restated,,able satisfy win,41.0,25.0,14.0,2.0,4.073,0,1,1,1,1,1,1,0,0,31.0
6,fcbk,2012-11-29,break cut ill lie miss,may,exclusive satisfy win,40.0,25.0,14.0,1.0,4.175,1,1,1,1,1,1,1,1,1,62.0
7,fcbk,2013-01-30,breach breaches break caution cautioned closing closure concern concerns conciliation cut disclosing erred ill late lie limitation limitations losing loss lying miss plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able achieve benefit despite effective enable enables good great greater improve improved satisfy stability strong stronger superior transparency valuable win,39.0,26.0,12.0,1.0,4.282,1,1,0,0,0,0,0,0,0,35.0
8,fcbk,2013-03-06,break collapse cut deter fines ill lapse lie lying miss penalties termination,approximate approximately hidden,able satisfy win,39.0,22.0,15.0,2.0,4.026,0,1,1,0,0,0,0,0,0,28.0
9,fcbk,2013-04-03,break closing collapse cut disclosing ill lapse lie losing miss,hidden,able effective satisfy win,43.0,24.0,17.0,2.0,4.023,1,1,1,0,0,0,0,0,0,23.0
