,ticker,date,neg_text,uncert_text,pos_text,price_prior,price_0,price_1,price_3,price_7
0,,2012-06-25,break closure cut ill late lie miss quit,,satisfaction satisfy win,25.92515563964844,25.2242431640625,25.350908279418945,25.25802421569824,
1,,2012-07-26,breach breaches break caution cautioned claims concern concerns conciliation cut erred ill late lie limitation limitations loss lying miss negative plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may pending predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better despite effective enable enabled great greater improve improved popular satisfy superior transparency win,24.34600067138672,24.62466049194336,25.13134574890137,24.88645362854004,25.29180335998535
2,,2012-09-04,break closed closing cut disclose disclosed erring ill late lie lose losing lying miss plea pleas poses quit sue sued,anticipate approximate approximately assuming assumption assumptions believe depend depending differ may pending predict prediction predictions vary,able satisfaction satisfied satisfy win,,25.83337783813477,25.83337783813477,26.30941772460937,26.3009090423584
3,,2012-10-15,acquiesce adverse adversely against allege alleged arrears bankrupt bankruptcy breach break bridge cancel cancellation cancelled caution cautions cease ceased ceases ceasing claiming claims closed closing closure closures concern conflict conflicting conflicts contested contrary correction counterclaim cut damage damages default defect defects defer deficit delay delayed deleterious delinquent denied deny deter detract disclaim disclaims disclose disclosed discontinuance discrepancy dismiss dismissal dismissed dispose dispute disregard disregarded dissolution distress doubt easing encumbrance encumbrances erred erring error errors exculpatory expose fail failed fails failure failures fault faults fined fines force forcing forego fraud fraudulent harm hazard hazardous ill illegal impair impaired impracticable inability inaccuracy inaccurate incapable incident incompetency inconsistency inconsistent incorrect ineffective infringe infringement infringements injury inquiry insolvency insufficient intentional interfere invalid invalidate invalidated investigation investigations involuntary irreparable lapse lapsed late laundering lie limitation limitations liquidate liquidation liquidator lose losing loss losses lying misconduct mislead misleading miss missed moratorium negative negatively negligence obsolescence obsolete omission omissions omit omits omitted onerous oppose opposed overdue penalties penalty pled poses postpone preclude prejudice protest punitive purport purported question quit reject rejected rejects relinquish renegotiation repudiate resign resignation restate restated restatement restructuring revoke revoked sever solvency standstill stress sue sued sues suing suspect suspected suspend suspended terminate terminated terminates termination terminations threat threaten threatened unable unemployment unlawful unpaid unqualified unreasonably usurious usury violate violation violative,ambiguity appear appears approximate approximately assume assumed assumes assumption assumptions believe believed believes conditional contingencies contingency contingent could depend dependence dependent depending differ doubt exposure exposures intangible likelihood may might pending possibility possible precaution precautions risk risks speculative tending unusual vary varying,able achieve achieved adequately advances assuring beneficial beneficially benefit best charitable conclusive confident diligent effective enable exclusive exclusively favorable gain gains good great greater greatest improve improved improvement improvements improving invent invention inventions leading opportunities satisfaction satisfactory satisfied satisfies satisfy succeed succeeded succeeding success win,24.82180404663086,25.0853271484375,25.068317413330078,25.076818466186523,23.716724395751953
4,,2012-10-23,breach breaches break caution cautioned concern concerns conciliation cut decline erred ill late lie limitation limitations lose loss lying miss plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit despite easy effective enable great greater happy improve satisfy strong stronger superior transparency valuable win,23.801727294921875,23.84423637390137,23.716724395751953,23.98024177551269,25.09382438659668
5,,2012-10-29,break cut default fault ill late lie miss restate restated,,able satisfy win,23.98024177551269,,,25.09382438659668,24.71979904174805
6,,2012-11-29,break cut ill lie miss,may,exclusive satisfy win,23.44880485534668,23.097415924072266,22.81459617614746,22.60032844543457,23.08884239196777
7,,2013-01-30,breach breaches break caution cautioned closing closure concern concerns conciliation cut disclosing erred ill late lie limitation limitations losing loss lying miss plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able achieve benefit despite effective enable enables good great greater improve improved satisfy stability strong stronger superior transparency valuable win,24.00588607788086,23.868757247924805,23.525938034057614,23.51736640930176,23.61164665222168
8,,2013-03-06,break collapse cut deter fines ill lapse lie lying miss penalties termination,approximate approximately hidden,able satisfy win,24.498445510864254,24.273771286010746,24.31697654724121,24.083660125732425,21.687030792236328
9,,2013-04-03,break closing collapse cut disclosing ill lapse lie losing miss,hidden,able effective satisfy win,24.88730812072754,24.679916381835934,24.71448135375977,24.70584297180176,24.878671646118164
10,,2013-04-26,break cut ill lie miss,,satisfy win,26.21757888793945,27.47109603881836,28.1796932220459,28.27474975585937,28.784595489501953
11,,2013-05-01,breach breaches break caution cautioned closing closure concern concerns conciliation cut disclosing erred ill late lie limitation limitations losing loss lying miss plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit effective enable exciting great greater improve progress satisfy strong superior transparency win,28.60312843322754,28.27474975585937,28.654977798461914,29.16481971740723,28.24882698059082
12,,2013-06-13,break closed collapse cut disclose disclosed ill lapse lie lose miss resign resignation,depend dependent hidden,able gain gains satisfy success win,30.45708274841309,30.21342468261719,29.93496322631836,30.43967628479004,29.343217849731445
13,,2013-07-24,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing erred ill lapse late lie limitation limitations losing loss lying miss negative plea pleas poses quit sue sued taint,approximate approximately assume assumed assuming assumption assumptions believe could depend dependent differ hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit best better effective enable good great greater progress satisfy strong success successful successfully superior transparency win,27.689836502075195,27.811664581298828,27.31565093994141,27.446176528930664,27.750747680664066
14,,2013-08-15,acquiesce adverse adversely against allege alleged arrears bankrupt bankruptcy breach break bribe bribery cancel cancellation cancelled caution cautions cease ceased ceases ceasing claiming claims closed closing closure closures collapse concern conflict conflicting conflicts contested contrary correction corrupt corruption counterclaim cut damage damages default defect defects defer deficit delay delayed deleterious delinquent denied deny deter detract disclaim disclaims disclose disclosed discontinuance discrepancy dismiss dismissal dismissed dispose dispute disregard disregarded dissolution distress doubt easing embargo embargoes encumbrance encumbrances erred erring error errors exculpatory expose fail failed fails failure failures fault faults fined fines force forced forcing foreclose foreclosure forego fraud fraudulent harm hazard hazardous ill illegal illegality impair impaired impairing impairment impossibility impracticable inability inaccuracy inaccurate incapable incident incompetency inconsistency inconsistent incorrect indefeasible indefeasibly ineffective infringe infringement infringements injury inquiry insolvency insufficient intentional interfere invalid invalidate invalidated invalidity investigation investigations involuntary irreparable lapse lapsed late laundering lie limitation limitations liquidate liquidation liquidator lose losing loss losses lying misconduct mislead misleading miss missed moratorium negative negatively negligence nonpayment obsolescence obsolete omission omissions omit omits omitted onerous oppose opposed overdue penalties penalty pled poses postpone preclude prejudice protest punitive purport purported question quit reject rejected rejects relinquish renegotiation reparation repudiate resign resignation restate restated restructuring revoke revoked sever solvency standstill stress sue sued sues suing suspect suspected suspend suspended terminate terminated terminates termination terminations threat threaten threatened unable unemployment unlawful unpaid unqualified unreasonably usurious usury violate violation violative,alteration ambiguity appear approximate approximately assume assumed assumes assumption assumptions believe believed believes conditional conditionally contingencies contingency contingent could depend dependence dependent depending differ doubt exposure exposures hidden intangible likelihood may might pending possibility possible precaution precautions preliminary risk risks speculative tending unusual vary varying,able achieve achieved adequately advances assuring beneficial beneficially benefit benefitting best charitable conclusive confident diligent effective enable exclusive exclusively favorable gain gains good great greater greatest improve improved improvement improvements improving invent invention inventions leading opportunities satisfaction satisfactory satisfied satisfies satisfy succeed succeeded succeeding success win,28.34941101074219,27.858661651611328,27.8674259185791,27.70969009399414,29.92681121826172
15,,2013-10-16,break collapse cut deter ill lapse lie miss,hidden,able satisfy win,30.22477149963379,30.35621833801269,30.60159683227539,30.66292953491211,31.31142234802246
