,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
0,0001193125-13-216952,MICROSOFT,20130513,2013-05-13,8-K,break cut lie miss,,leading satisfy win
1,0001193125-17-232047,MICROSOFT,20170720,2017-07-20,8-K,adverse against break bridge catastrophic claims closure conciliation confusion corrupt corruption cut decline declines defer dispute disputes disrupt disruption disruptions doubt doubtful easing erred fail fined fines harm ill impair impairment impairments impede infringe infringed late lie litigation lose loss losses lying miss negative negatively outage outages plea pleas poses problem problems quit restate restructuring sever sue sued taint tense termination unanticipated unauthorized unfavorable vulnerabilities,anticipate anticipated assumption assumptions believe confusion contingencies could depend differ doubt doubtful exposure fluctuation fluctuations intangible may possibility revise revised risk risks uncertain uncertainties vary,able achieve alliance alliances benefit better effective efficiencies empower favorable gain gains good improve improvement improvements leading opportunity outperform outperforming profitable satisfy strength strong superior win
2,0001193125-15-247530,MICROSOFT,20150708,2015-07-08,8-K,break closure cut ill impair impairment late lie miss plea pleas poses restructure restructuring sue sued taint,anticipate approximate approximately assumption assumptions believe could differ may revise risk risks uncertain uncertainties,able achieve better effective empower enable good invent inventing invention leadership leading opportunity satisfy vibrant win
3,0001193125-16-619689,MICROSOFT,20160613,2016-06-13,8-K,adverse adversely against break cancel cancelled caution cautioned closing closure closures concern cut difficult difficulties disrupt disrupts divert diverting fail failure force forego ill incomplete late lie limitation limitations lose losing miss outdated plea pleas poses purport seizing sue sued taint termination undue,anticipate anticipated approximate approximately assume assumption assumptions believe could depend dependence differ likelihood may predict prediction predictions predictive preliminary revise risk risks uncertain uncertainties,able achieve benefit best better collaborate confident despite effective empower empowering enable enabling enhance enhanced exclusive fantastic gain gains incredible innovation innovations invent leading opportunities opportunity perfect perfected satisfaction satisfy strong success successful successfully valuable win
4,0001193125-12-292236,MICROSOFT,20120702,2012-07-02,8-K,break cut deter easing ill impair impairment late lie miss plea pleas sue sued taint,anticipate anticipated approximate approximately assumption assumptions could differ may risk risks uncertain uncertainties,able good improving profitability satisfy win
5,0001193125-11-026916,MICROSOFT,20110208,2011-02-08,8-K,adverse against allege alleged arrears bankrupt bankruptcy breach break calamity cease claims closure concern conflict contrary crisis culpability cut damage damages default defaulting defaults defend defending deter disapprove disapproved dispose downgrading erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill illegal illegality impair impracticable impractical inadvisable inappropriate incident inconsistent ineligible injunction insolvency insufficient invalid invalidity investigating investigation investigations late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative objection omission omissions omit omits omitted overdue overtly plea plead pleaded pleas poses postpone preventing question questions quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailable violate,appear appeared assume assumed assumes assuming assumption assumptions believe conditional depend dependent differ differing may pending possible preliminary,able benefit best conclusive effective enable gain gains good leading opportunity satisfaction satisfactory satisfy success win
6,0001193125-15-045564,MICROSOFT,20150212,2015-02-12,8-K,adverse against allege alleged arrears bankrupt bankruptcy breach break calamity cease claims closure concern conflict contrary crisis culpability cut damage damages default defaulting defaults defend defending deter disapprove disapproved dispose downgrading erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill illegal illegality impair impracticable impractical inadvisable inappropriate incident inconsistent ineligible insolvency insufficient invalid invalidity investigating investigation investigations late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative objection omission omissions omit omits omitted overdue plea plead pleaded pleas poses postpone preventing purport question questions quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailable unpaid violate,appear appeared appearing appears assume assumed assumes assuming assumption assumptions believe conditional depend dependent differ differing may pending possible preliminary,able benefit best conclusive effective enable exclusive gain gains good great greater highest leading opportunity satisfactory satisfy success win
7,0001193125-12-448011,MICROSOFT,20121102,2012-11-02,8-K,break closed closure closures cut disclose disclosed ill lie lose loss losses miss poses quit restate,,gain gains satisfy win
8,0001193125-11-350423,MICROSOFT,20111222,2011-12-22,8-K,break cut deter disclose ill late lie lose miss,,satisfy win
9,0001193125-19-022553,MICROSOFT,20190130,2019-01-30,8-K,abuse adverse against break catastrophic claims closure conciliation corrupt corruption cut cyberattack cyberattacks damage decline declined dispute disputes disrupt disruption disruptions doubt doubtful easing erred excessive fail fined fines harm ill impair impairment impede infringe infringed late lie litigation lose loss losses lying miss misuse outage outages plea pleas poses problem problems quit sue sued sues suing taint tense vulnerabilities,assumption assumptions believe contingencies could depend dependence differ doubt doubtful exposure fluctuation fluctuations intangible may possibility revise revised risk risks uncertain uncertainties,able achieve alliance alliances better empower enable enables enhance enhancement enhancements gain gains good innovation leading opportunities satisfy strong superior win
