,ticker,date,neg_text,uncert_text,pos_text,date_1,date_3,date_7
0,msft,2010-11-19,break cut ill inability lie miss reject rejected,depend dependent,gain gains satisfy win,2010-11-20,2010-11-22,2010-11-26
1,msft,2011-01-27,adverse adversely break catastrophic challenge challenges claims closure conciliation cut cyberattack defer deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,anticipate anticipated assumption assumptions contingencies could differ doubt doubtful exposure intangible may pending possibility risk risks uncertain uncertainties,able attractive benefit better boost boosted enthusiastic favorable gain gains good satisfy strong success superior win,2011-01-28,2011-01-30,2011-02-03
2,msft,2011-02-08,adverse against allege alleged arrears bankrupt bankruptcy breach break calamity cease claims closure concern conflict contrary crisis culpability cut damage damages default defaulting defaults defend defending deter disapprove disapproved dispose downgrading erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill illegal illegality impair impracticable impractical inadvisable inappropriate incident inconsistent ineligible injunction insolvency insufficient invalid invalidity investigating investigation investigations late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative objection omission omissions omit omits omitted overdue overtly plea plead pleaded pleas poses postpone preventing question questions quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailable violate,appear appeared assume assumed assumes assuming assumption assumptions believe conditional depend dependent differ differing may pending possible preliminary,able benefit best conclusive effective enable gain gains good leading opportunity satisfaction satisfactory satisfy success win,2011-02-09,2011-02-11,2011-02-15
3,msft,2011-04-28,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful easing erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,anticipate anticipated assumption assumptions contingencies could differ doubt doubtful exposure intangible may possibility preliminary risk risks uncertain uncertainties,able benefit despite favorable gain gains good innovation satisfy strength strong tremendous win,2011-04-29,2011-05-01,2011-05-05
4,msft,2011-05-10,adverse adversely barrier barriers break catastrophic closing closure cut cyberattack disaster dispute disputes disrupt disrupting disruption disruptions easing fail fails force harm ill infringe infringed late lie litigation losing miss plea pleas problem problems sue sued taint tense unauthorized vulnerabilities,anticipate anticipated assume assumption assumptions could differ intangible may possibility risk risks uncertain uncertainties,able benefit collaborate easily enhancing excited favorable gain good great impress impressive innovation leadership leading opportunities opportunity progress satisfy strength strengthen win,2011-05-11,2011-05-13,2011-05-17
5,msft,2011-07-21,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack decline declined defer deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss losses miss negative negatively outage outages overage plea pleas poses problem problems quit sever sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,anticipate anticipated approximate approximately assumption assumptions contingencies could differ doubt doubtful exposure hidden intangible may possibility risk risks uncertain uncertainties unspecified,able alliance alliances benefit better collaboration collaborative effective efficient enable enhance enhanced enhancement enhancements favorable gain gains good invent inventor satisfy strong win,2011-07-22,2011-07-24,2011-07-28
6,msft,2011-10-20,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful easing erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,anticipate anticipated approximate approximately assumption assumptions contingencies could differ doubt doubtful exposure intangible may nearly possibility risk risks uncertain uncertainties,able alliance alliances benefit excited favorable gain gains good great impress impressive satisfy strong win,2011-10-21,2011-10-23,2011-10-27
7,msft,2011-11-17,break cut ill inability lie miss reject rejected,depend dependent,gain gains satisfy win,2011-11-18,2011-11-20,2011-11-24
8,msft,2011-12-22,break cut deter disclose ill late lie lose miss,,satisfy win,2011-12-23,2011-12-25,2011-12-29
9,msft,2012-01-19,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack decline defer deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful downward erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,anticipate anticipated anticipation approximate approximately assumption assumptions contingencies could differ doubt doubtful exposure intangible may possibility risk risks uncertain uncertainties uncertainty,able alliance alliances benefit despite excitement favorable gain gains good positive satisfy strength strong strongest win,2012-01-20,2012-01-22,2012-01-26
