,ticker,date,neg_text,uncert_text,pos_text,an_count,an_buy,an_hold,an_sell,an_rating,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0,period
0,msft,2010-11-19,break cut ill inability lie miss reject rejected,depend dependent,gain gains satisfy win,39.0,29.0,10.0,0.0,4.487,0,0,1,1,1,1,1,0,0,69.0
1,msft,2011-01-27,adverse adversely break catastrophic challenge challenges claims closure conciliation cut cyberattack defer deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,anticipate anticipated assumption assumptions contingencies could differ doubt doubtful exposure intangible may pending possibility risk risks uncertain uncertainties,able attractive benefit better boost boosted enthusiastic favorable gain gains good satisfy strong success superior win,35.0,26.0,8.0,1.0,4.457,1,0,0,1,0,1,1,0,0,12.0
2,msft,2011-02-08,adverse against allege alleged arrears bankrupt bankruptcy breach break calamity cease claims closure concern conflict contrary crisis culpability cut damage damages default defaulting defaults defend defending deter disapprove disapproved dispose downgrading erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill illegal illegality impair impracticable impractical inadvisable inappropriate incident inconsistent ineligible injunction insolvency insufficient invalid invalidity investigating investigation investigations late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative objection omission omissions omit omits omitted overdue overtly plea plead pleaded pleas poses postpone preventing question questions quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailable violate,appear appeared assume assumed assumes assuming assumption assumptions believe conditional depend dependent differ differing may pending possible preliminary,able benefit best conclusive effective enable gain gains good leading opportunity satisfaction satisfactory satisfy success win,36.0,27.0,8.0,1.0,4.4719999999999995,1,0,0,0,0,0,0,0,0,79.0
3,msft,2011-04-28,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful easing erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,anticipate anticipated assumption assumptions contingencies could differ doubt doubtful exposure intangible may possibility preliminary risk risks uncertain uncertainties,able benefit despite favorable gain gains good innovation satisfy strength strong tremendous win,34.0,25.0,8.0,1.0,4.441,1,0,0,1,0,0,0,0,0,12.0
4,msft,2011-05-10,adverse adversely barrier barriers break catastrophic closing closure cut cyberattack disaster dispute disputes disrupt disrupting disruption disruptions easing fail fails force harm ill infringe infringed late lie litigation losing miss plea pleas problem problems sue sued taint tense unauthorized vulnerabilities,anticipate anticipated assume assumption assumptions could differ intangible may possibility risk risks uncertain uncertainties,able benefit collaborate easily enhancing excited favorable gain good great impress impressive innovation leadership leading opportunities opportunity progress satisfy strength strengthen win,34.0,24.0,9.0,1.0,4.353,0,0,0,1,1,1,1,0,0,72.0
5,msft,2011-07-21,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack decline declined defer deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss losses miss negative negatively outage outages overage plea pleas poses problem problems quit sever sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,anticipate anticipated approximate approximately assumption assumptions contingencies could differ doubt doubtful exposure hidden intangible may possibility risk risks uncertain uncertainties unspecified,able alliance alliances benefit better collaboration collaborative effective efficient enable enhance enhanced enhancement enhancements favorable gain gains good invent inventor satisfy strong win,33.0,21.0,11.0,1.0,4.212,1,1,1,0,1,0,0,0,0,91.0
6,msft,2011-10-20,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful easing erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,anticipate anticipated approximate approximately assumption assumptions contingencies could differ doubt doubtful exposure intangible may nearly possibility risk risks uncertain uncertainties,able alliance alliances benefit excited favorable gain gains good great impress impressive satisfy strong win,34.0,23.0,10.0,1.0,4.294,0,1,1,0,0,0,0,0,0,28.0
7,msft,2011-11-17,break cut ill inability lie miss reject rejected,depend dependent,gain gains satisfy win,35.0,24.0,10.0,1.0,4.314,0,0,0,1,1,1,1,0,0,35.0
8,msft,2011-12-22,break cut deter disclose ill late lie lose miss,,satisfy win,38.0,24.0,13.0,1.0,4.211,1,1,1,1,1,1,1,0,0,28.0
9,msft,2012-01-19,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack decline defer deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful downward erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,anticipate anticipated anticipation approximate approximately assumption assumptions contingencies could differ doubt doubtful exposure intangible may possibility risk risks uncertain uncertainties uncertainty,able alliance alliances benefit despite excitement favorable gain gains good positive satisfy strength strong strongest win,39.0,25.0,13.0,1.0,4.231,0,1,1,1,1,1,1,0,0,33.0
