,document_ref,company_name,filing_date,date_str,filing_type
0,0000796343-15-000215,ADOBE,20151210,2015-12-10,8-K
1,0001104659-10-020782,ADOBE,20100420,2010-04-20,8-K
2,0000796343-17-000075,ADOBE,20170316,2017-03-16,8-K
3,0000796343-16-000409,ADOBE,20161215,2016-12-15,8-K
4,0000796343-16-000391,ADOBE,20160920,2016-09-20,8-K
5,0000796343-16-000346,ADOBE,20160621,2016-06-21,8-K
6,0001104659-12-072312,ADOBE,20121030,2012-10-30,8-K
7,0000796343-18-000177,ADOBE,20181105,2018-11-05,8-K
8,0001104659-09-005061,ADOBE,20090129,2009-01-29,8-K
9,0000796343-17-000062,ADOBE,20170201,2017-02-01,8-K
10,0000796343-13-000036,ADOBE,20130412,2013-04-12,8-K
11,0000796343-16-000386,ADOBE,20160902,2016-09-02,8-K
12,0001104659-09-002041,ADOBE,20090113,2009-01-13,8-K
13,0000796343-19-000091,ADOBE,20190412,2019-04-12,8-K
14,0001104659-12-025271,ADOBE,20120413,2012-04-13,8-K
15,0000796343-17-000113,ADOBE,20170413,2017-04-13,8-K
16,0000796343-18-000172,ADOBE,20181019,2018-10-19,8-K
17,0001104659-10-003968,ADOBE,20100129,2010-01-29,8-K
18,0000796343-15-000171,ADOBE,20150730,2015-07-30,8-K
19,0000796343-14-000082,ADOBE,20140916,2014-09-16,8-K
20,0001104659-12-019204,ADOBE,20120319,2012-03-19,8-K
21,0000796343-17-000058,ADOBE,20170127,2017-01-27,8-K
22,0000796343-18-000039,ADOBE,20180126,2018-01-26,8-K
23,0001104659-11-015778,ADOBE,20110322,2011-03-22,8-K
24,0001104659-09-054611,ADOBE,20090915,2009-09-15,8-K
25,0000796343-13-000030,ADOBE,20130319,2013-03-19,8-K
26,0001104659-11-022472,ADOBE,20110426,2011-04-26,8-K
27,0000796343-18-000088,ADOBE,20180413,2018-04-13,8-K
28,0001104659-09-014246,ADOBE,20090304,2009-03-04,8-K
29,0000796343-14-000018,ADOBE,20140318,2014-03-18,8-K
30,0000796343-14-000025,ADOBE,20140414,2014-04-14,8-K
31,0000796343-16-000331,ADOBE,20160414,2016-04-14,8-K
32,0000796343-17-000188,ADOBE,20171214,2017-12-14,8-K
33,0001104659-11-052536,ADOBE,20110920,2011-09-20,8-K
34,0000796343-19-000024,ADOBE,20190128,2019-01-28,8-K
35,0000796343-15-000077,ADOBE,20150317,2015-03-17,8-K
