,ticker,date,neg_text,uncert_text,pos_text,date_1,date_3,date_7
0,adbe,2008-06-16,adverse against break cancel cancellation catastrophic closed closure collapse conciliation cut defer delay delays deter deterioration difficult difficulty disclose dispute disputes disrupt disruption doubt doubtful erred fail failure ill impair impairment inability incomplete infringe interrupt interruption interruptions lack lapse late lie limitation limitations litigation lose loss losses malicious miss poses quit restructuring sue sued taint termination terminations unanticipated,anticipate anticipated approximate approximately assume assumed believe believes could differ doubt doubtful fluctuation fluctuations intangible intangibles may might predict predicting revise revised risk risks suggest uncertain uncertainties,able achieve achieved benefit better effective encouraged gain gains good great greater opportunities profitability revolutionize revolutionizes satisfy strong success successful successfully transparency win,2008-06-17,2008-06-19,2008-06-23
1,adbe,2008-09-16,adverse against break cancel cancellation catastrophic closure collapse conciliation cut defer delay delays deter deterioration difficult difficulty disclose dispute disputes disrupt disruption doubt doubtful erred fail failure ill impair impairment inability incomplete infringe interrupt interruption interruptions lack lag lags lapse late lie limitation limitations litigation lose loss losses malicious miss poses quit restructuring sue sued taint termination terminations unanticipated,anticipate anticipated approximate approximately assume assumed believe believes could differ doubt doubtful fluctuation fluctuations intangible intangibles may might predict predicting revise revised risk risks suggest uncertain uncertainties,able achieve achieved benefit better effective encouraged exceptional exceptionally gain gains good great greater opportunities profitability revolutionize revolutionizes satisfy strong success successful successfully transparency win,2008-09-17,2008-09-19,2008-09-23
2,adbe,2008-12-03,adverse break cancel cancellation catastrophic closure collapse conciliation crisis cut decline declines defer delay delays deter deterioration difficult difficulty disclose dispute disputes disrupt disruption erred fail failure force ill impair impairment inability incomplete infringe interrupt interruption interruptions lack lapse late lie limitation limitations litigation lose loss losses malicious miss poses quit restructuring sever shortfall sue sued taint termination terminations unanticipated weak weaker,anticipate anticipated approximate approximately assume assumed believe believes could differ fluctuation fluctuations intangible intangibles may might predict predicting preliminary revise revised risk risks suggest uncertain uncertainties,able achieve benefit better effective encouraged favorable gain gains good great greater opportunities profitability revolutionize revolutionizes satisfy success successful successfully transparency win,2008-12-04,2008-12-06,2008-12-10
3,adbe,2008-12-16,adverse break cancel cancellation catastrophic challenging closure collapse conciliation cut decline declines defer deter deterioration difficult difficulty disclose dispute disputes disrupt disruption doubt doubtful erred fail failure ill impair impairment inability incomplete infringe interrupt interruption interruptions lack lapse late lie limitation limitations litigation lose loss losses malicious miss poses quit recession restructuring sue sued taint termination terminations unanticipated,anticipate anticipated approximate approximately assume assumed believe believes could differ doubt doubtful fluctuation fluctuations intangible intangibles may might predict predicting preliminary revise revised risk risks suggest uncertain uncertainties,able achieve achieved benefit better confident effective enable enabled encouraged excited gain gains good great greater opportunities profitability revolutionize revolutionizes satisfy strong stronger success successful successfully transparency win,2008-12-17,2008-12-19,2008-12-23
4,adbe,2009-01-13,absence against allege alleged bad break burden cease ceased claiming closed closing closure closures collapse concern conflict contrary criminal critical cut defect defective delay delayed denied destroy destroyed deter disagree disagreement disclose disclosed disinterested disqualification disqualified disregard disregarded dissolution erred fail fails failure fined fines force forego fraud ill incident interfere invalid invalidate invalidated investigation lack lapse late lie limitation limitations lose losing loss lost miss objecting omission oppose opposed plea pleas pled poses posing postpone postponement preclude prejudice prosecuting prosecution question questions quit reparation resign resignation resignations resigned resigning revocation stolen sue sued terminate termination threat threaten threatened undeliverable unlawful,anticipate anticipated appear appears assume believe believed contingencies could depend dependence dependent differ may might pending presumption risk tending,able advancement advances beneficial beneficially benefit best conducive confident desired effective empower empowered enjoy exclusive gain gains good great greater highest impress impressed leadership opportunity pleased pleasure revolutionize revolutionizes satisfy succeed succeeding success successful superior valuable win,2009-01-14,2009-01-16,2009-01-20
5,adbe,2009-01-29,absence against break closure collapse cut deter erred fail fails fined force forego forfeit ill lack lapse late lie lying miss poses purport quit sever terminate terminates termination,approximate approximately contingent may,able achieve achieved achievement achieves achieving attain attained attains benefit desirable enhance exclusive gain gains great greater satisfy success win,2009-01-30,2009-02-01,2009-02-05
6,adbe,2009-02-09,adverse adversely against allege alleged alleging bad barrier barriers cancel cancellation cancelled challenge challenged claims closed closing closure closures coercive conciliation corrected crisis critical cut decline declines default defer degradation delay delayed delays deter disclose disclosed doubt doubtful downgrade downgrades easing erred error errors expose exposed false fault fined fines force forego foregone forfeit forfeiture forfeitures fraud ill impair impairment impairments improper inaccurate incomplete inconsistencies ineffective ineffectiveness infringe infringement intentional investigation investigations lack lag lapse lapsed late lie limitation litigation lose loses losing loss losses lying miss negative negatively obsolescence obsolete overage penalties pled poses quit relinquish relinquishing renegotiate reparation restructure restructured restructuring sever shortfall sue sued sues taint terminate termination unable unanticipated uncollectible uncorrected uncover uncovered undelivered understate understatement undue unfair unfavorable unfulfilled unfunded unpredictable unsold violation volatility weak weaken weakening wrong wrongdoing,anticipate anticipated anticipates approximate approximately assume assumed assuming assumption assumptions believe believes contingent could depend dependent depending differ differed differs doubt doubtful exposure exposures fluctuate fluctuated fluctuating fluctuation indefinite indefinitely intangible intangibles may might pending possible predict prediction predictions probable revise revised risk risks speculative suggest suggested uncertain uncertainties unobservable unpredictable variable variables vary varying volatility,able achieve achieved achievement achieving advances advantage attain attainment beneficial benefit best better charitable collaborate collaboration creative effective enable enables enhance enhanced enhancement enhancements exclusive favorable favorably gain gains good great greater greatest improve improvement improvements invent inventor leadership opportunities positive resolve satisfied satisfy stable strength strong stronger success win,2009-02-10,2009-02-12,2009-02-16
7,adbe,2009-03-04,adverse break cancel cancellation catastrophic closure collapse conciliation cut decline declines defer deter deterioration difficult difficulty disclose dispute disputes disrupt disruption erred fail failure ill impair impairment inability infringe interrupt interruption interruptions lack lapse late lie limitation limitations litigation lose loss losses malicious miss poses quit restructuring shortfall sue sued taint termination terminations unanticipated weak weakness worse worsen worsening,anticipate anticipated approximate approximately assume assumed believe believes could differ fluctuation fluctuations intangible intangibles may might predict predicting preliminary revise revised risk risks suggest uncertain uncertainties,able achieve benefit better creative effective encouraged gain gains good great greater opportunities profitability revolutionize revolutionizes satisfy strength success successful successfully transparency win,2009-03-05,2009-03-07,2009-03-11
8,adbe,2009-03-17,adverse break cancel cancellation catastrophic closure collapse conciliation cut decline declines defer deter deterioration difficult difficulty disclose dispute disputes disrupt disruption doubt doubtful erred fail failure ill impair impairment inability infringe interrupt interruption interruptions lack lapse late lie limitation limitations litigation lose loss losses malicious miss plea pleas poses quit restructuring sue sued taint termination terminations unanticipated,anticipate anticipated approximate approximately assume assumed believe believes could differ doubt doubtful fluctuation fluctuations intangible intangibles may might predict predicting revise revised risk risks suggest uncertain uncertainties,able achieve achieved benefit better effective encouraged gain gains good great greater innovation opportunities pleased profitability revolutionize revolutionizes satisfy success successful successfully transparency win,2009-03-18,2009-03-20,2009-03-24
9,adbe,2009-06-16,adverse break cancel cancellation catastrophic closure collapse conciliation cut decline declines defer deter deterioration difficult difficulty disclose dispute disputes disrupt disruption doubt doubtful erred fail failure ill impair impairment inability infringe interrupt interruption interruptions lack lapse late lie limitation limitations litigation lose loss losses malicious miss plea pleas poses quit restructuring sue sued taint termination terminations unanticipated unauthorized,anticipate anticipated approximate approximately assume assumed believe believes could differ doubt doubtful fluctuation fluctuations intangible intangibles may might predict predicting revise revised risk risks suggest uncertain uncertainties,able achieve achieved benefit better effective encouraged gain gains good great greater improve improves opportunities pleased profitability revolutionize revolutionizes satisfy success successful successfully transparency win,2009-06-17,2009-06-19,2009-06-23
