,document_ref,company_name,filing_date,date_str,filing_type
0,0001266432-14-000133,AKAMAI,20141024,2014-10-24,8-K
1,0001086222-18-000201,AKAMAI,20181029,2018-10-29,8-K
2,0001086222-15-000028,AKAMAI,20150210,2015-02-10,8-K
3,0001086222-19-000126,AKAMAI,20190430,2019-04-30,8-K
4,0001086222-16-000347,AKAMAI,20160815,2016-08-15,8-K
5,0001266432-14-000086,AKAMAI,20140516,2014-05-16,8-K
6,0001193125-10-032887,AKAMAI,20100217,2010-02-17,8-K
7,0001086222-18-000011,AKAMAI,20180206,2018-02-06,8-K
8,0001086222-18-000158,AKAMAI,20180606,2018-06-06,8-K
9,0001266432-12-000088,AKAMAI,20121217,2012-12-17,8-K
10,0001086222-18-000010,AKAMAI,20180206,2018-02-06,8-K
11,0001086222-15-000173,AKAMAI,20151027,2015-10-27,8-K
12,0001193125-11-282007,AKAMAI,20111026,2011-10-26,8-K
13,0001086222-16-000396,AKAMAI,20161110,2016-11-10,8-K
14,0001193125-09-158136,AKAMAI,20090729,2009-07-29,8-K
15,0001193125-08-161346,AKAMAI,20080730,2008-07-30,8-K
16,0001193125-10-169028,AKAMAI,20100728,2010-07-28,8-K
17,0001542567-14-000024,AKAMAI,20141029,2014-10-29,8-K
18,0001086222-19-000030,AKAMAI,20190212,2019-02-12,8-K
19,0001542567-14-000018,AKAMAI,20140730,2014-07-30,8-K
20,0001266432-14-000018,AKAMAI,20140206,2014-02-06,8-K
21,0001193125-12-314409,AKAMAI,20120725,2012-07-25,8-K
22,0001086222-17-000014,AKAMAI,20170207,2017-02-07,8-K
23,0001086222-18-000061,AKAMAI,20180309,2018-03-09,8-K
24,0001193125-11-010221,AKAMAI,20110119,2011-01-19,8-K
25,0001266432-12-000038,AKAMAI,20120518,2012-05-18,8-K
26,0001266432-13-000108,AKAMAI,20131113,2013-11-13,8-K
27,0001193125-14-060700,AKAMAI,20140220,2014-02-20,8-K
28,0001266432-13-000040,AKAMAI,20130416,2013-04-16,8-K
29,0001086222-18-000103,AKAMAI,20180515,2018-05-15,8-K
30,0001086222-18-000117,AKAMAI,20180522,2018-05-22,8-K
31,0001266432-13-000096,AKAMAI,20131023,2013-10-23,8-K
32,0001086222-19-000032,AKAMAI,20190213,2019-02-13,8-K
33,0001266432-13-000121,AKAMAI,20131202,2013-12-02,8-K
34,0001266432-12-000005,AKAMAI,20120124,2012-01-24,8-K
35,0001086222-17-000239,AKAMAI,20171024,2017-10-24,8-K
36,0001266432-13-000086,AKAMAI,20130624,2013-06-24,8-K
37,0001193125-09-118374,AKAMAI,20090526,2009-05-26,8-K
38,0001086222-16-000282,AKAMAI,20160426,2016-04-26,8-K
39,0001086222-18-000107,AKAMAI,20180517,2018-05-17,8-K
40,0001193125-09-010488,AKAMAI,20090123,2009-01-23,8-K
41,0001086222-17-000012,AKAMAI,20170203,2017-02-03,8-K
42,0001193125-10-020771,AKAMAI,20100203,2010-02-03,8-K
43,0001086222-18-000073,AKAMAI,20180409,2018-04-09,8-K
44,0001086222-18-000065,AKAMAI,20180328,2018-03-28,8-K
45,0001193125-12-182039,AKAMAI,20120425,2012-04-25,8-K
46,0001193125-10-011009,AKAMAI,20100122,2010-01-22,8-K
47,0001193125-09-091977,AKAMAI,20090429,2009-04-29,8-K
48,0001086222-18-000104,AKAMAI,20180515,2018-05-15,8-K
49,0001193125-13-100241,AKAMAI,20130311,2013-03-11,8-K
