Date,Total,Buys,Holds,Sells,Rating,Target Px
5/3/2019,38,12,21,5,3.395,53.57
5/2/2019,38,12,21,5,3.395,53.57
5/1/2019,38,12,21,5,3.395,53.57
4/30/2019,38,12,21,5,3.395,53.57
4/29/2019,38,12,21,5,3.395,53.45
4/28/2019,38,12,21,5,3.395,53.45
4/27/2019,38,12,21,5,3.395,53.45
4/26/2019,38,12,21,5,3.395,53.45
4/25/2019,38,12,21,5,3.395,53.45
4/24/2019,39,12,22,5,3.385,53.37
4/23/2019,39,12,22,5,3.385,53.37
4/22/2019,39,12,22,5,3.385,53.37
4/21/2019,39,12,22,5,3.385,53.37
4/20/2019,39,12,22,5,3.385,53.37
4/19/2019,39,12,22,5,3.385,53.37
4/18/2019,39,12,22,5,3.385,53.37
4/17/2019,40,12,23,5,3.375,53.37
4/16/2019,40,12,23,5,3.375,53.37
4/15/2019,40,12,23,5,3.375,53.37
4/14/2019,40,12,23,5,3.375,53.37
4/13/2019,40,12,23,5,3.375,53.37
4/12/2019,40,12,23,5,3.375,53.37
4/11/2019,40,12,23,5,3.375,53.37
4/10/2019,40,12,23,5,3.375,53.37
4/9/2019,40,12,23,5,3.375,53.37
4/8/2019,40,12,23,5,3.375,53.37
4/7/2019,40,12,23,5,3.375,53.37
4/6/2019,40,12,23,5,3.375,53.37
4/5/2019,40,12,23,5,3.375,53.37
4/4/2019,40,12,23,5,3.375,53.37
4/3/2019,40,12,23,5,3.375,53.37
4/2/2019,40,12,23,5,3.375,53.37
4/1/2019,40,12,23,5,3.375,53.37
3/31/2019,40,12,23,5,3.375,53.37
3/30/2019,40,12,23,5,3.375,53.3
3/29/2019,40,12,23,5,3.375,53.3
3/28/2019,40,12,23,5,3.375,53.3
3/27/2019,39,12,22,5,3.385,53.41
3/26/2019,39,12,22,5,3.385,53.41
3/25/2019,39,12,22,5,3.385,53.41
3/24/2019,39,12,22,5,3.385,53.41
3/23/2019,39,12,22,5,3.385,53.41
3/22/2019,39,12,22,5,3.385,53.41
3/21/2019,39,12,22,5,3.385,53.41
3/20/2019,39,12,22,5,3.385,53.41
3/19/2019,39,12,22,5,3.385,53.41
3/18/2019,39,13,22,4,3.487,53.59
3/17/2019,39,13,22,4,3.487,53.59
3/16/2019,39,13,22,4,3.487,53.59
3/15/2019,39,13,22,4,3.487,53.59
3/14/2019,39,14,21,4,3.538,52.48
3/13/2019,39,14,21,4,3.538,52.44
3/12/2019,39,14,21,4,3.538,52.46
3/11/2019,39,14,21,4,3.538,52.38
3/10/2019,39,14,21,4,3.538,52.38
3/9/2019,39,15,21,3,3.615,52.76
3/8/2019,39,15,21,3,3.615,52.76
3/7/2019,39,15,21,3,3.615,52.76
3/6/2019,39,15,21,3,3.615,52.76
3/5/2019,39,15,21,3,3.615,52.76
3/4/2019,39,15,21,3,3.615,52.76
3/3/2019,39,15,21,3,3.615,52.76
3/2/2019,39,15,21,3,3.615,52.76
3/1/2019,39,15,21,3,3.615,52.76
2/28/2019,39,15,21,3,3.615,52.76
2/27/2019,39,15,21,3,3.615,52.76
2/26/2019,39,15,21,3,3.615,52.76
2/25/2019,39,15,21,3,3.615,52.76
2/24/2019,39,15,21,3,3.615,52.76
2/23/2019,39,15,21,3,3.615,52.76
2/22/2019,39,15,21,3,3.615,52.76
2/21/2019,39,15,21,3,3.615,52.76
2/20/2019,39,15,21,3,3.615,52.76
2/19/2019,39,15,21,3,3.615,52.76
2/18/2019,39,15,22,2,3.667,52.76
2/17/2019,39,15,22,2,3.667,52.76
2/16/2019,39,15,22,2,3.667,52.76
2/15/2019,39,15,22,2,3.667,52.76
2/14/2019,39,15,22,2,3.667,52.76
2/13/2019,39,15,22,2,3.667,52.76
2/12/2019,39,15,22,2,3.667,52.76
2/11/2019,39,15,22,2,3.667,52.76
2/10/2019,39,15,22,2,3.667,52.76
2/9/2019,39,15,22,2,3.667,52.76
2/8/2019,39,15,22,2,3.667,52.76
2/7/2019,39,15,22,2,3.667,52.76
2/6/2019,39,15,22,2,3.667,52.76
2/5/2019,39,15,22,2,3.667,52.76
2/4/2019,39,15,22,2,3.667,52.76
2/3/2019,39,15,22,2,3.667,52.76
2/2/2019,39,15,22,2,3.667,52.76
2/1/2019,39,15,22,2,3.667,52.76
1/31/2019,39,15,22,2,3.667,52.76
1/30/2019,39,15,22,2,3.667,52.76
1/29/2019,39,15,22,2,3.667,52.76
1/28/2019,39,15,22,2,3.667,52.76
1/27/2019,39,15,22,2,3.667,52.76
1/26/2019,39,15,22,2,3.667,52.76
1/25/2019,39,15,22,2,3.667,52.76
1/24/2019,39,15,22,2,3.667,52.76
1/23/2019,39,15,22,2,3.667,52.76
1/22/2019,39,15,22,2,3.667,52.76
1/21/2019,39,15,22,2,3.667,52.76
1/20/2019,39,15,22,2,3.667,52.76
1/19/2019,39,15,22,2,3.667,52.76
