,document_ref,company_name,filing_date,date_str,filing_type
0,0000712515-14-000053,ELECTRONIC,20141028,2014-10-28,8-K
1,0000712515-16-000151,ELECTRONIC,20161109,2016-11-09,8-K
2,0000712515-16-000145,ELECTRONIC,20161101,2016-11-01,8-K
3,0000712515-17-000075,ELECTRONIC,20171031,2017-10-31,8-K
4,0000712515-15-000003,ELECTRONIC,20150112,2015-01-12,8-K
5,0000712515-17-000048,ELECTRONIC,20170711,2017-07-11,8-K
6,0000712515-18-000029,ELECTRONIC,20180530,2018-05-30,8-K
7,0001193125-13-406272,ELECTRONIC,20131022,2013-10-22,8-K
8,0000712515-15-000015,ELECTRONIC,20150320,2015-03-20,8-K
9,0000712515-15-000029,ELECTRONIC,20150521,2015-05-21,8-K
10,0000712515-18-000016,ELECTRONIC,20180508,2018-05-08,8-K
11,0001193125-16-475850,ELECTRONIC,20160224,2016-02-24,8-K
12,0000712515-16-000153,ELECTRONIC,20161122,2016-11-22,8-K
13,0000712515-13-000027,ELECTRONIC,20130724,2013-07-24,8-K
14,0000712515-17-000099,ELECTRONIC,20171204,2017-12-04,8-K
15,0001193125-19-028291,ELECTRONIC,20190205,2019-02-05,8-K
16,0000712515-18-000005,ELECTRONIC,20180130,2018-01-30,8-K
17,0000712515-13-000025,ELECTRONIC,20130723,2013-07-23,8-K
18,0000712515-13-000031,ELECTRONIC,20130801,2013-08-01,8-K
19,0001193125-12-406608,ELECTRONIC,20120927,2012-09-27,8-K
20,0000712515-15-000006,ELECTRONIC,20150127,2015-01-27,8-K
21,0000712515-17-000059,ELECTRONIC,20170807,2017-08-07,8-K
22,0000712515-17-000071,ELECTRONIC,20170918,2017-09-18,8-K
23,0000712515-17-000065,ELECTRONIC,20170831,2017-08-31,8-K
24,0000712515-18-000038,ELECTRONIC,20180726,2018-07-26,8-K
25,0000712515-18-000010,ELECTRONIC,20180412,2018-04-12,8-K
26,0000712515-13-000018,ELECTRONIC,20130516,2013-05-16,8-K
27,0000712515-16-000141,ELECTRONIC,20160829,2016-08-29,8-K
28,0000712515-14-000043,ELECTRONIC,20140808,2014-08-08,8-K
29,0001193125-13-415905,ELECTRONIC,20131029,2013-10-29,8-K
30,0000712515-16-000126,ELECTRONIC,20160801,2016-08-01,8-K
31,0000712515-15-000048,ELECTRONIC,20150803,2015-08-03,8-K
32,0001193125-12-441451,ELECTRONIC,20121030,2012-10-30,8-K
33,0000712515-16-000090,ELECTRONIC,20160217,2016-02-17,8-K
34,0000712515-17-000017,ELECTRONIC,20170215,2017-02-15,8-K
35,0000712515-14-000031,ELECTRONIC,20140722,2014-07-22,8-K
36,0000712515-14-000033,ELECTRONIC,20140801,2014-08-01,8-K
37,0000712515-14-000027,ELECTRONIC,20140604,2014-06-04,8-K
38,0000712515-16-000093,ELECTRONIC,20160219,2016-02-19,8-K
39,0000712515-15-000062,ELECTRONIC,20151106,2015-11-06,8-K
40,0000712515-17-000028,ELECTRONIC,20170516,2017-05-16,8-K
41,0000712515-18-000049,ELECTRONIC,20180814,2018-08-14,8-K
42,0001193125-12-375630,ELECTRONIC,20120830,2012-08-30,8-K
43,0000712515-16-000120,ELECTRONIC,20160609,2016-06-09,8-K
44,0001193125-13-387237,ELECTRONIC,20131001,2013-10-01,8-K
45,0000712515-16-000097,ELECTRONIC,20160510,2016-05-10,8-K
46,0000712515-19-000008,ELECTRONIC,20190507,2019-05-07,8-K
47,0000712515-15-000073,ELECTRONIC,20151201,2015-12-01,8-K
48,0000712515-17-000039,ELECTRONIC,20170607,2017-06-07,8-K
49,0000712515-15-000059,ELECTRONIC,20151029,2015-10-29,8-K
50,0000712515-16-000080,ELECTRONIC,20160128,2016-01-28,8-K
51,0000712515-16-000095,ELECTRONIC,20160324,2016-03-24,8-K
52,0000712515-17-000006,ELECTRONIC,20170131,2017-01-31,8-K
53,0000712515-16-000122,ELECTRONIC,20160628,2016-06-28,8-K
54,0000712515-18-000056,ELECTRONIC,20180907,2018-09-07,8-K
55,0000712515-17-000037,ELECTRONIC,20170531,2017-05-31,8-K
56,0000712515-15-000069,ELECTRONIC,20151110,2015-11-10,8-K
57,0000712515-15-000055,ELECTRONIC,20150817,2015-08-17,8-K
58,0001193125-12-325805,ELECTRONIC,20120731,2012-07-31,8-K
59,0000712515-16-000099,ELECTRONIC,20160518,2016-05-18,8-K
60,0001193125-18-312174,ELECTRONIC,20181030,2018-10-30,8-K
61,0000712515-15-000040,ELECTRONIC,20150529,2015-05-29,8-K
62,0000712515-14-000012,ELECTRONIC,20140206,2014-02-06,8-K
63,0001193125-13-112515,ELECTRONIC,20130318,2013-03-18,8-K
64,0000712515-17-000020,ELECTRONIC,20170228,2017-02-28,8-K
65,0000712515-15-000042,ELECTRONIC,20150707,2015-07-07,8-K
66,0001193125-12-319457,ELECTRONIC,20120727,2012-07-27,8-K
67,0000712515-18-000040,ELECTRONIC,20180803,2018-08-03,8-K
68,0000712515-14-000017,ELECTRONIC,20140506,2014-05-06,8-K
69,0000712515-14-000003,ELECTRONIC,20140128,2014-01-28,8-K
70,0000712515-16-000129,ELECTRONIC,20160802,2016-08-02,8-K
71,0000712515-16-000115,ELECTRONIC,20160527,2016-05-27,8-K
72,0000712515-17-000025,ELECTRONIC,20170509,2017-05-09,8-K
73,0000712515-15-000046,ELECTRONIC,20150730,2015-07-30,8-K
74,0001193125-12-266697,ELECTRONIC,20120611,2012-06-11,8-K
75,0001193125-19-031025,ELECTRONIC,20190207,2019-02-07,8-K
76,0000712515-15-000078,ELECTRONIC,20151210,2015-12-10,8-K
77,0000712515-17-000033,ELECTRONIC,20170522,2017-05-22,8-K
78,0000712515-18-000052,ELECTRONIC,20180830,2018-08-30,8-K
79,0000712515-16-000103,ELECTRONIC,20160523,2016-05-23,8-K
80,0000712515-16-000117,ELECTRONIC,20160531,2016-05-31,8-K
81,0000712515-14-000015,ELECTRONIC,20140319,2014-03-19,8-K
82,0000712515-17-000097,ELECTRONIC,20171121,2017-11-21,8-K
83,0000712515-15-000037,ELECTRONIC,20150522,2015-05-22,8-K
84,0000712515-15-000023,ELECTRONIC,20150519,2015-05-19,8-K
85,0000712515-17-000055,ELECTRONIC,20170804,2017-08-04,8-K
86,0000712515-13-000014,ELECTRONIC,20130507,2013-05-07,8-K
87,0000712515-14-000071,ELECTRONIC,20141208,2014-12-08,8-K
88,0001193125-12-324414,ELECTRONIC,20120731,2012-07-31,8-K
89,0000712515-17-000095,ELECTRONIC,20171117,2017-11-17,8-K
90,0000712515-13-000003,ELECTRONIC,20130130,2013-01-30,8-K
91,0000712515-14-000058,ELECTRONIC,20141031,2014-10-31,8-K
92,0000712515-15-000018,ELECTRONIC,20150505,2015-05-05,8-K
93,0001193125-19-019641,ELECTRONIC,20190129,2019-01-29,8-K
94,0000712515-17-000053,ELECTRONIC,20170727,2017-07-27,8-K
95,0000712515-17-000090,ELECTRONIC,20171109,2017-11-09,8-K
96,0000712515-18-000026,ELECTRONIC,20180524,2018-05-24,8-K
97,0000712515-18-000018,ELECTRONIC,20180518,2018-05-18,8-K
98,0001193125-13-369231,ELECTRONIC,20130917,2013-09-17,8-K
99,0000712515-13-000011,ELECTRONIC,20130328,2013-03-28,8-K
