,ticker,date,neg_text,uncert_text,pos_text,date_1,date_3,date_7
0,goog,2007-08-28,break challenge challenges cut deter ill lie miss,,able achieve achievement achievements assure best effective enhancing excellent good great honor honored innovative satisfy success successful successfully tremendous win,2007-08-29,2007-08-31,2007-09-04
1,goog,2007-10-18,break conciliation conciliations cut erred erring fined ill late lie limitation limitations miss plea pleas poses quit sue suing taint unduly unforeseen,anticipate approximate approximately assumption assumptions believe believes could differ intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able benefit effective enabling great greater impress impressive innovation opportunities pleased satisfy strength strengthen strengthening superior transparency win,2007-10-19,2007-10-21,2007-10-25
2,goog,2007-11-16,break cut investigation lie lose miss,,able satisfy win,2007-11-17,2007-11-19,2007-11-23
3,goog,2007-11-30,anticompetitive break closed collusion cut disclose easing ill late lie lose lying miss sue sued unfortunate unfortunately,assuming believe could depend depending pending,able best better confident efficient enhancing enjoy great greater highest innovation innovative leadership opportunities opportunity progress satisfy win winner winners winning,2007-12-01,2007-12-03,2007-12-07
4,goog,2008-01-31,break conciliation conciliations cut erred erring fined ill late lie limitation limitations miss plea pleas poses quit sue suing taint unduly unforeseen,anticipate approximate approximately assumption assumptions believe believes could differ intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able benefit effective favorably great greater improve improved opportunities pleased satisfy strength strengthen strengthening strong superior transparency win,2008-02-01,2008-02-03,2008-02-07
5,goog,2008-03-14,break cancel cancelled closed cut forego ill late lie lose loses lying miss sue sued taint unpaid,approximate approximately could differ may predict predicted risk risks uncertain uncertainties,able achieve advances effective enable enhancing improve improving innovative leading premier satisfy superior win,2008-03-15,2008-03-17,2008-03-21
6,goog,2008-04-17,break conciliation conciliations cut difficult difficulties erred erring fined force ill late lie limitation limitations lose miss plea pleas poses quit sue suing taint unduly unforeseen,anticipate approximate approximately assumption assumptions believe believes could differ intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able benefit effective exciting great greater improve innovation opportunities satisfy strength strengthen strengthening strong success superior transparency win,2008-04-18,2008-04-20,2008-04-24
7,goog,2008-06-25,against breach break closed closing conflict conflicts contrary cut defer disclose dispute disputes force ill late lie limitation limitations lose losing lying miss plea pleas purport question questions quit reject resign resignation sue sued terminate terminated terminates termination,assume contingencies contingent could fluctuate may nearly,able benefit confident effective enhancing excited gain gains great innovative leading pleased satisfactory satisfy strong success successful win,2008-06-26,2008-06-28,2008-07-02
8,goog,2008-07-17,break challenging conciliation conciliations cut difficult difficulties erred erring fined ill late lie limitation limitations miss plea pleas poses quit sue suing taint unforeseen,anticipate approximate approximately assumption assumptions believe believes could differ intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able benefit despite effective enhance enhancing gain gains great greater innovate innovating opportunities satisfy strength strengthen strengthening strong success superior transparency win,2008-07-18,2008-07-20,2008-07-24
9,goog,2008-10-16,break conciliation conciliations cut divest divestiture erred erring fined ill late lie limitation limitations lying miss plea pleas poor poses quit suing taint unforeseen volatility,approximate approximately assumption assumptions believe believes could differ intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying volatility,able benefit effective good great greater improve improvement improvements opportunities satisfy strength strengthen strengthening strong superior transparency win,2008-10-17,2008-10-19,2008-10-23
