,ticker,date,neg_text,uncert_text,pos_text,an_count,an_buy,an_hold,an_sell,an_rating,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0,period
0,goog,2014-04-16,break collapse conciliation conciliations cut defer discontinue discontinued dispose erred erring fined ill lapse late lie limitation limitations loss lying miss plea pleas poses quit restate restated sue sued suing taint unforeseen,approximate approximately assumption assumptions believe believes could differ hidden intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able benefit effective excited gain gains great greater improve improvement improvements invent inventor opportunities progress satisfy strength strengthen strengthening superior transparency win,4.0,4.0,0.0,0.0,5.0,1,0,0,0,1,0,1,0,0,29.0
1,goog,2014-05-15,against break closed cut disclose disclosed forego ill lie lose miss,depend dependent,able gain gains satisfy success win,10.0,9.0,1.0,0.0,4.8,0,0,1,1,1,1,1,0,0,61.0
2,goog,2014-07-15,break closed closing collapse cut ill interfere lapse late lie lose losing miss plea pleas quit resign resigned,believe contingent hidden may possible,able effective enhancing honor honored improving innovation innovations leadership pleased satisfy win,13.0,10.0,3.0,0.0,4.462,0,0,0,0,0,0,0,0,0,2.0
3,goog,2014-07-17,break collapse conciliation conciliations cut defer discontinue discontinued dispose divest divestiture erred erring fined ill lapse late lie limitation limitations loss lying miss plea pleas poses quit restate restated sue sued suing taint unforeseen,almost approximate approximately assumption assumptions believe believes could differ hidden intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able benefit effective excited gain gains great greater invent inventor opportunities satisfy strength strengthen strengthening superior transparency win,13.0,10.0,3.0,0.0,4.462,0,1,1,0,0,0,0,0,0,91.0
4,goog,2014-10-16,bad break collapse conciliation conciliations cut defer discontinue discontinued dispose divest divestiture erred erring fined ill impair impairment lapse late lie limitation limitations loss lying miss plea pleas poses quit restate restated sue sued suing taint unforeseen,approximate approximately assumption assumptions believe believes could differ hidden intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able benefit effective excited gain gains great greater invent inventor opportunities satisfy strength strengthen strengthening strong superior transparency win,15.0,12.0,3.0,0.0,4.533,0,0,0,1,1,1,0,0,0,32.0
5,goog,2014-11-17,abuse abuses against allegation allegations allege alleged allegedly alleging argue argued argument bankrupt bankruptcy barred breach breached break cancel canceled cancellation cancelled challenge challenges claims closure closures collapse complain complaint concealed concern contend contention contentions contested contradict convict convicted counterclaim criminal cut damage damages danger dangerous defect defective defend defendant defendants delay delays denied deny denying deter difficult difficulties dismiss dismissal dismissed dismissing dispute disputes disrupt disrupting easing egregious enjoin enjoined erred erring evade evasion fail failed fails failure failures fault felony fined force forced forcing forego frustrate frustrating harm harmed ill illegal impair improper improperly inaccurate incident intentional investigate investigation lapse late lie limitation litigation lose lying malice miss missed negligent objecting objection objections omission omissions opposing opposition overturn overturned plaintiff plaintiffs plea plead pleaded poses posing preclude prejudice prevention problem problems prosecute prosecuting prosecution purport purported question questions quit refuse refused relinquish relinquished sever sue sued suffer suffered suspect suspected taint terminate terminated termination testify threat unjust unlicensed unreasonably unsuspected violate violated violation violations wrong wrongdoing wrongful,appear appeared approximate approximately assume assumes believe believed believes contingent could depend dependent differ hidden may might pending possible preliminarily preliminary presumption reconsider risk risks uncertain uncertainty unknown,able accomplish achieve achieved adequately beneficial benefit best better collaborating confident desirable despite effective gain gained gains good improve loyal opportunity proactive proactively progress resolve satisfy success successes successful win,15.0,12.0,3.0,0.0,4.533,0,0,0,0,0,0,0,0,0,73.0
6,goog,2015-01-29,break closed collapse conciliation conciliations cut discontinue discontinued divest divestiture erred erring fined ill impair impairment lapse late lie limitation limitations lose loss lying miss plea pleas poses quit restate restated sue sued suing taint unforeseen,approximate approximately assumption assumptions believe believes could differ hidden intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able benefit despite effective gain gains great greater invent inventor opportunities satisfy strength strengthen strengthening strong superior transparency win,14.0,11.0,3.0,0.0,4.5,1,1,1,1,1,1,1,0,0,15.0
7,goog,2015-02-13,break closed collapse concern concerns cut disclose disclosed ill lapse lie lose miss,approximate approximately assuming hidden,able satisfy win,13.0,10.0,3.0,0.0,4.462,1,0,0,1,1,1,1,0,0,25.0
8,goog,2015-03-10,break cut deter ill lie miss,,able effective satisfy win,13.0,11.0,2.0,0.0,4.615,0,0,0,1,1,1,1,0,0,13.0
9,goog,2015-03-23,break collapse cut ill lapse late lie litigation miss plea pleas,hidden,able satisfy win,13.0,12.0,1.0,0.0,4.769,0,1,1,1,1,1,1,0,0,1.0
10,goog,2015-03-24,break crisis cut ill lack lacks lie miss sever,differ,able better creative delight delighted distinction effective improve innovate opportunity satisfy strong success successful tremendous tremendously win,13.0,12.0,1.0,0.0,4.769,1,0,0,1,1,1,1,0,0,2.0
11,goog,2015-03-26,against break closed closing closure closures collapse concern concerns contrary cut defer deter disclose dispute disputes doubt ill lapse late lie lose losing miss plea pleas purport question questions quit sue sued terminate terminated terminates,contingent could doubt hidden may,able benefit confident effective gain gains pleased satisfactory satisfy smooth win,13.0,12.0,1.0,0.0,4.769,0,0,0,0,1,0,1,0,0,28.0
12,goog,2015-04-23,break collapse conciliation conciliations cut deter discontinue discontinued erred erring fined ill impair impairment lapse late lie limitation limitations litigation lose loss lying miss plea pleas poses quit sue sued suing taint unforeseen volatility,assumption assumptions believe believes contingencies could differ fluctuation fluctuations hidden intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying volatility,able benefit gain gains great greater opportunities satisfy strength strengthen strengthening superior transparency win,13.0,12.0,1.0,0.0,4.769,1,1,1,0,0,0,0,0,0,42.0
13,goog,2015-06-04,absence against break cancel cancellation cancelled cancelling cease ceases claims closing conflict contrary cut defer deter discontinue discontinued dispose disqualifies disregard disregarding dissolution doubt erred fail fails forego forfeit forfeited ill impair impairment incident interfere lapse lapsed late lie limitation limitations liquidation litigation losing loss lying miss pled poses preclude quit restructuring restructurings revoke sue sued suing suspend suspended terminate terminated termination unpaid,clarification depend dependent depends doubt intangible may pending revise risk tending unusual,able achieve achievement collaboration collaborations conclusive desirable effective efficiency exclusive exclusively gain gains great greater innovation invent inventor opportunities opportunity profitability reward rewards satisfaction satisfies satisfy satisfying success win,13.0,12.0,1.0,0.0,4.769,0,0,0,1,1,1,1,0,0,42.0
14,goog,2015-07-16,break collapse conciliation conciliations cut deter discontinue discontinued erred erring fined ill impair impairment incorrect lapse late lie limitation limitations litigation loss lying miss plea pleas poses quit sue sued suing taint volatility,approximate approximately assumption assumptions believe believes contingencies could differ fluctuation fluctuations hidden intangible intangibles may predict predicted revise revised risk risks uncertain uncertainties vary varying volatility,able benefit gain gains great greater opportunities satisfy strength strengthen strengthening strong superior transparency win,13.0,12.0,1.0,0.0,4.769,1,1,1,0,1,0,1,0,0,25.0
15,goog,2015-08-10,break closure collapse cut deter fined ill lapse late lie limitation limitations litigation loss miss poses quit restate restated serious seriously stopped sue sued taint worry,anticipate anticipated anticipates believe believed could depend dependence dependent differ hidden might pending risk risks sometime sometimes speculative tending uncertain uncertainties,able better enjoy enjoying excited exciting gain great greater improving incredible innovation innovations opportunities progress prospering satisfy strong transparency tremendous tremendously win,13.0,11.0,2.0,0.0,4.615,0,1,1,0,0,0,0,0,0,32.0
16,goog,2015-09-11,break cancel cancellation collapse cut ill lapse lie miss quit,hidden,able satisfy smooth win,13.0,11.0,2.0,0.0,4.615,1,1,0,0,0,0,1,0,0,21.0
17,goog,2015-10-02,against break cancel canceled cancelled cease claiming claims conflict conflicts cut delist destroy destroyed deter erred fined force forego forfeit ill interrupt interrupted invalid invalidity late lie limitation limitations lose loss lost lying miss pled poses purport quit relinquish resign resignation sever stolen sue sued suspend suspended terminate terminated termination unfunded unrest,assume assumed assumption may might nonassessable tending,able best desirable effective gain gains good great greater perfect resolve satisfactory satisfy success valuable win,13.0,12.0,1.0,0.0,4.769,1,1,1,1,0,1,0,0,0,20.0
18,goog,2015-10-22,break closing collapse conciliation conciliations cut deter disclosing discontinue discontinued erred erring fined ill impair impairment incorrect lapse late lie limitation limitations losing loss lying miss plea pleas poses quit sue sued suing taint volatility,assumption assumptions believe believes contingencies could differ fluctuation fluctuations hidden intangible intangibles may predict predicted revise revised risk risks uncertain uncertainties vary varying volatility,able benefit effective excited gain gains great greater opportunities satisfy strength strengthen strengthening success superior transparency win,13.0,12.0,1.0,0.0,4.769,1,1,1,1,1,1,1,0,0,28.0
