Date,Total,Buys,Holds,Sells,Rating,Target Px
5/3/2019,15,13,2,0,4.733,1336.17
5/2/2019,15,13,2,0,4.733,1336.17
5/1/2019,15,13,2,0,4.733,1336.17
4/30/2019,15,13,2,0,4.733,1336.17
4/29/2019,15,14,1,0,4.867,1367
4/28/2019,15,14,1,0,4.867,1368.82
4/27/2019,15,14,1,0,4.867,1368.82
4/26/2019,15,14,1,0,4.867,1368.82
4/25/2019,15,14,1,0,4.867,1368.82
4/24/2019,15,14,1,0,4.867,1368.82
4/23/2019,16,14,2,0,4.75,1368.82
4/22/2019,16,14,2,0,4.75,1368.82
4/21/2019,16,14,2,0,4.75,1368.82
4/20/2019,16,14,2,0,4.75,1368.82
4/19/2019,16,14,2,0,4.75,1368.82
4/18/2019,16,14,2,0,4.75,1368.82
4/17/2019,16,14,2,0,4.75,1368.82
4/16/2019,16,14,2,0,4.75,1368.82
4/15/2019,16,14,2,0,4.75,1368.82
4/14/2019,16,14,2,0,4.75,1368.82
4/13/2019,16,14,2,0,4.75,1368.82
4/12/2019,16,14,2,0,4.75,1368.82
4/11/2019,16,14,2,0,4.75,1368.82
4/10/2019,16,14,2,0,4.75,1366.09
4/9/2019,16,14,2,0,4.75,1353.36
4/8/2019,16,14,2,0,4.75,1353.36
4/7/2019,16,14,2,0,4.75,1353.36
4/6/2019,16,14,2,0,4.75,1353.36
4/5/2019,16,14,2,0,4.75,1353.36
4/4/2019,16,14,2,0,4.75,1353.36
4/3/2019,16,14,2,0,4.75,1353.36
4/2/2019,16,14,2,0,4.75,1353.36
4/1/2019,16,14,2,0,4.75,1353.36
3/31/2019,16,14,2,0,4.75,1353.36
3/30/2019,16,14,2,0,4.75,1353.36
3/29/2019,16,14,2,0,4.75,1353.36
3/28/2019,16,14,2,0,4.75,1353.36
3/27/2019,16,14,2,0,4.75,1353.36
3/26/2019,16,14,2,0,4.75,1353.36
3/25/2019,16,14,2,0,4.75,1353.36
3/24/2019,16,14,2,0,4.75,1353.36
3/23/2019,16,14,2,0,4.75,1353.36
3/22/2019,16,14,2,0,4.75,1353.36
3/21/2019,16,14,2,0,4.75,1353.36
3/20/2019,16,14,2,0,4.75,1346.09
3/19/2019,16,14,2,0,4.75,1346.09
3/18/2019,16,14,2,0,4.75,1346.09
3/17/2019,16,14,2,0,4.75,1346.09
3/16/2019,16,14,2,0,4.75,1346.09
3/15/2019,16,14,2,0,4.75,1346.09
3/14/2019,16,14,2,0,4.75,1346.09
3/13/2019,16,14,2,0,4.75,1346.09
3/12/2019,16,14,2,0,4.75,1346.09
3/11/2019,16,14,2,0,4.75,1346.09
3/10/2019,16,14,2,0,4.75,1346.09
3/9/2019,16,14,2,0,4.75,1346.09
3/8/2019,16,14,2,0,4.75,1346.09
3/7/2019,16,14,2,0,4.75,1346.42
3/6/2019,16,14,2,0,4.75,1346.42
3/5/2019,16,14,2,0,4.75,1346.42
3/4/2019,16,14,2,0,4.75,1346.42
3/3/2019,16,14,2,0,4.75,1346.42
