,document_ref,company_name,filing_date,date_str,filing_type
0,0001193125-09-168782,Google,20090807,2009-08-07,8-K
1,0001193125-07-221254,Google,20071018,2007-10-18,8-K
2,0001288776-15-000004,Google,20150129,2015-01-29,8-K
3,0001288776-15-000039,GOOGLE,20150810,2015-08-10,8-K
4,0001193125-09-230807,Google,20091110,2009-11-10,8-K
5,0001288776-14-000050,Google,20140715,2014-07-15,8-K
6,0001288776-13-000037,Google,20130611,2013-06-11,8-K
7,0001288776-13-000023,Google,20130418,2013-04-18,8-K
8,0001288776-15-000014,Google,20150213,2015-02-13,8-K
9,0001193125-11-270520,Google,20111013,2011-10-13,8-K
10,0001288776-15-000016,Google,20150323,2015-03-23,8-K
11,0001193125-12-161458,Google,20120413,2012-04-13,8-K
12,0001193125-13-418880,Google,20131030,2013-10-30,8-K
13,0001193125-11-102443,Google,20110419,2011-04-19,8-K
14,0001193125-09-107396,Google,20090511,2009-05-11,8-K
15,0001193125-12-283173,Google,20120626,2012-06-26,8-K
16,0000903423-12-000297,Google,20120522,2012-05-22,8-K
17,0001193125-14-066560,Google,20140225,2014-02-25,8-K
18,0001193125-11-092625,Google,20110408,2011-04-08,8-K
19,0001288776-14-000008,Google,20140129,2014-01-29,8-K
20,0001288776-14-000034,Google,20140416,2014-04-16,8-K
21,0001193125-10-159465,Google,20100715,2010-07-15,8-K
22,0001193125-10-011019,Google,20100122,2010-01-22,8-K
23,0001193125-08-083665,Google,20080417,2008-04-17,8-K
24,0001193125-13-002492,Google,20130103,2013-01-03,8-K
25,0001193125-14-116456,Google,20140326,2014-03-26,8-K
26,0001193125-08-057423,Google,20080314,2008-03-14,8-K
27,0001193125-15-336550,GOOGLE,20151002,2015-10-02,8-K
28,0001288776-14-000026,Google,20140310,2014-03-10,8-K
29,0001193125-09-208479,Google,20091015,2009-10-15,8-K
30,0001193125-10-009730,Google,20100121,2010-01-21,8-K
31,0001288776-13-000040,Google,20130617,2013-06-17,8-K
32,0001193125-10-229504,Google,20101014,2010-10-14,8-K
33,0001193125-12-427116,Google,20121018,2012-10-18,8-K
34,0001193125-11-142205,Google,20110517,2011-05-17,8-K
35,0001193125-12-017008,Google,20120119,2012-01-19,8-K
36,0001193125-09-133284,Google,20090618,2009-06-18,8-K
37,0001193125-12-426975,Google,20121018,2012-10-18,8-K
38,0001193125-07-190912,Google,20070828,2007-08-28,8-K
39,0001193125-12-196663,Google,20120430,2012-04-30,8-K
40,0001288776-15-000048,GOOGLE,20151119,2015-11-19,8-K
