,document_ref,company_name,filing_date,date_str,filing_type
0,0001104659-18-024737,INTERNATIONAL,20180418,2018-04-18,8-K
1,0001104659-19-026830,INTERNATIONAL,20190503,2019-05-03,8-K
2,0001104659-18-021262,INTERNATIONAL,20180329,2018-03-29,8-K
3,0001104659-17-045578,INTERNATIONAL,20170718,2017-07-18,8-K
4,0001104659-17-027921,INTERNATIONAL,20170428,2017-04-28,8-K
5,0001104659-17-006669,INTERNATIONAL,20170206,2017-02-06,8-K
6,0001104659-18-002862,INTERNATIONAL,20180118,2018-01-18,8-K
7,0001104659-15-005667,INTERNATIONAL,20150130,2015-01-30,8-K
8,0001104659-16-161890,INTERNATIONAL,20161213,2016-12-13,8-K
9,0001104659-19-026947,INTERNATIONAL,20190506,2019-05-06,8-K
10,0001104659-16-116198,INTERNATIONAL,20160429,2016-04-29,8-K
11,0001104659-16-162609,INTERNATIONAL,20161216,2016-12-16,8-K
12,0001104659-17-014730,INTERNATIONAL,20170307,2017-03-07,8-K
13,0001104659-16-090528,INTERNATIONAL,20160120,2016-01-20,8-K
14,0001104659-19-002994,INTERNATIONAL,20190123,2019-01-23,8-K
15,0001104659-14-072479,INTERNATIONAL,20141020,2014-10-20,8-K
16,0001104659-16-126857,INTERNATIONAL,20160613,2016-06-13,8-K
17,0000950157-15-000867,INTERNATIONAL,20150804,2015-08-04,8-K
18,0001104659-16-090677,INTERNATIONAL,20160120,2016-01-20,8-K
19,0001104659-16-100072,INTERNATIONAL,20160225,2016-02-25,8-K
20,0001104659-19-000561,INTERNATIONAL,20190103,2019-01-03,8-K
21,0001104659-14-072335,INTERNATIONAL,20141020,2014-10-20,8-K
22,0001104659-16-112501,INTERNATIONAL,20160419,2016-04-19,8-K
23,0001104659-15-052063,INTERNATIONAL,20150721,2015-07-21,8-K
24,0001104659-17-073622,INTERNATIONAL,20171215,2017-12-15,8-K
25,0001104659-16-150652,INTERNATIONAL,20161018,2016-10-18,8-K
26,0001104659-17-049917,INTERNATIONAL,20170807,2017-08-07,8-K
27,0000950157-16-001681,INTERNATIONAL,20160304,2016-03-04,8-K
28,0001104659-19-010648,INTERNATIONAL,20190226,2019-02-26,8-K
29,0001104659-15-014119,INTERNATIONAL,20150226,2015-02-26,8-K
30,0001104659-16-087756,INTERNATIONAL,20160104,2016-01-04,8-K
31,0001104659-15-024742,INTERNATIONAL,20150331,2015-03-31,8-K
32,0001104659-16-090410,INTERNATIONAL,20160119,2016-01-19,8-K
33,0000950157-17-000137,INTERNATIONAL,20170126,2017-01-26,8-K
34,0001104659-17-037831,INTERNATIONAL,20170607,2017-06-07,8-K
35,0000950157-15-000168,INTERNATIONAL,20150205,2015-02-05,8-K
36,0001104659-15-000998,INTERNATIONAL,20150107,2015-01-07,8-K
37,0001104659-16-133151,INTERNATIONAL,20160719,2016-07-19,8-K
