,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
0,0001104659-18-024737,INTERNATIONAL,20180418,2018-04-18,8-K,break bridge challenge challenges closure collapse concern concerns conciliation conciliations critical cut decline declined disappoint disappointed easing fined force hurt ill imperative lapse late lie losing loss losses lying miss plea pleas poses question questions sever shortfall sue sues trouble weak weakness,almost anticipate anticipated approximate approximately could differ may nearly revise revised risk risks roughly,able achieve advantage benefit better collaborative easy effective efficiencies efficiency enable enabled encourages enhance enhanced gain good great improve improved improvement improvements innovation innovative leadership opportunity progress satisfy stabilize stabilized strength strong success successful successfully win
1,0001104659-19-026830,INTERNATIONAL,20190503,2019-05-03,8-K,break collapse cut fined lack lapse lie lying miss,depend dependent revise revised,able encourages gain gains satisfy win
2,0001104659-18-021262,INTERNATIONAL,20180329,2018-03-29,8-K,break closure collapse concern conciliation conciliations cut deter fined ill insolvency lack lapse late lie loss losses lying miss plea pleas poses restate restated restatement solvency sue sued,believe believes could differ may revise revised,able benefit effective encourages gain gains satisfy transparency win
3,0001104659-17-045578,INTERNATIONAL,20170718,2017-07-18,8-K,adverse against break closed closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut decline declines deter disclose disclosed discontinue discontinued downturn easing erred fail failure fined fines ill imperative inconsistent ineffective insolvency lack lapse late lie lose loss losses lying miss overage plea pleas poses quit restructuring sever solvency sue sues taint weak weaken weakens weakness,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may pending revise revised risk risks uncertain uncertainties,able alliance alliances benefit better effective efficiency enable enables enabling encourages gain gains improve improved improvement improves innovate innovation invent inventing leading opportunities satisfy stabilize stabilizes strength strengthen strengthened strengthens strong success successful successfully transparency win
4,0001104659-17-027921,INTERNATIONAL,20170428,2017-04-28,8-K,break closure collapse cut fined ill lapse lie lying miss,depend dependent revise revised,able encourages gain gains satisfy win
5,0001104659-17-006669,INTERNATIONAL,20170206,2017-02-06,8-K,break collapse cut deter ill lack lapse lie miss quit,,able encourages satisfy win
6,0001104659-18-002862,INTERNATIONAL,20180118,2018-01-18,8-K,adverse against break closed closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut decline declined declines defer deter difficult disclose disclosed discontinue discontinued downturn easing erred fail failure fined fines forcing ill imperative inconsistent ineffective insolvency lack lapse late lie lose loss losses lying miss overage plea pleas poses quit restructuring sever solvency sue sues taint weak weaken weakens weakness,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may nearly pending revise revised risk risks tending uncertain uncertainties varied,able alliance alliances benefit better effective efficiency efficient enable enables encourages gain gains highest improve improved improves improving innovation invent inventing leadership leading opportunities pleased satisfy stabilization strength strengthen strengthened strengthens strong stronger success successful successfully transparency win
7,0001104659-15-005667,INTERNATIONAL,20150130,2015-01-30,8-K,break closed collapse cut deter disclose disclosed ill lack lapse late lie lose miss,,able effective encourages satisfy win
8,0001104659-16-161890,INTERNATIONAL,20161213,2016-12-13,8-K,break collapse cut deter ill lapse late lie lose miss quit resign resignation resigned,may,able effective encourages satisfy win
9,0001104659-19-026947,INTERNATIONAL,20190506,2019-05-06,8-K,break collapse cut fined lapse lie lose lying miss termination,revise revised,able encourages satisfy win
