,ticker,date,neg_text,uncert_text,pos_text,date_1,date_3,date_7
0,ibm,2014-10-20,bad break challenging closed closing collapse critical cut decline discontinue discontinued divest divested divesting divestiture easing erred force ill impair impairment lack lacked lapse late lie lose losing loss losses miss plea pleas quit,approximate approximately differ nearly,able achieve achieved benefit best bolsters breakthrough breakthroughs collaboration enable enables encourages exclusive gain improve improving innovation innovations leadership leading opportunities progress progresses satisfaction satisfy strength strengthen strengthens unparalleled win,2014-10-21,2014-10-23,2014-10-27
1,ibm,2014-10-20,against break challenge challenges challenging closed closing collapse concern conciliation critical cut decline declined declines defer deter discontinue discontinued divest divested divestiture divestitures drag erred fined force ill imperative insufficient lapse late lie lose losing loss losses lost lying miss overage plea pleas question questions quit renegotiation renegotiations sever shortfall slow slowdown sue sues unfavorable weak weaker weakness,approximate approximately could differ may nearly pending roughly unusual variable,able alliance benefit better collaboration easier effective enable enables enabling encourages favorable gain gains good great greater improve improved improvement improves innovate innovation innovations leadership opportunities progress satisfy smooth stability strength strengthen strengths strong strongest success successful win,2014-10-21,2014-10-23,2014-10-27
2,ibm,2014-10-20,adverse against break closed collapse concern conciliation critical curtail curtailment curtailments cut deter disappoint disappointed disclose disclosed discontinue discontinued divest divested divestiture divestitures downturn easing erred fail failure fined fines force ill impair impairment imperative ineffective insolvency lack lapse late lie lose loss losses lying miss overage quit restructuring sever slow slowdown solvency taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could differ fluctuation fluctuations intangible may pending revise risk risks uncertain uncertainties,able achieve alliance alliances benefit better effective efficiency enable enables encourages gain gains good improve improves innovation invent inventor leadership opportunities progress satisfy strength strengthen strengthens strong success successful successfully transparency win,2014-10-21,2014-10-23,2014-10-27
3,ibm,2014-10-20,break closing collapse cut divest divested ill lapse late lie lose losing loss losses miss,approximate approximately,able alliance benefit effective encourages gain gains leading satisfy smooth win,2014-10-21,2014-10-23,2014-10-27
4,ibm,2014-11-05,absence adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cease claims closed closure conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred error fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed postponement question questions quit refusal reparation sever solvency sue sued suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable,appear appears approximate approximately assume assumed believe conditional depend dependent differ may pending possible preliminary sometime sometimes varied vary,able adequately benefit best charitable conclusive effective enable enabling gain gains good leading satisfactory satisfied satisfy succeed success win,2014-11-06,2014-11-08,2014-11-12
5,ibm,2014-11-12,break collapse cut ill lapse lie miss,approximate approximately could differ may,able encourages satisfy win,2014-11-13,2014-11-15,2014-11-19
6,ibm,2014-11-25,adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cease claims closed closure concern conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed question questions quit refusal reparation sever solvency sue sued sues suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable unpaid,assume assumed believe conditional could depend dependent differ may pending possible preliminary sometime sometimes varied vary,able adequately beneficial benefit best charitable conclusive effective enable enabling gain gains good great greater leading satisfaction satisfactory satisfied satisfy succeed success win,2014-11-26,2014-11-28,2014-12-02
7,ibm,2014-12-08,break collapse cut ill lapse late lie miss,,able effective encourages satisfy win,2014-12-09,2014-12-11,2014-12-15
8,ibm,2015-01-07,absence against allege alleged break catastrophe cease ceased ceases closed collapse concern confine confined contested contrary criminal cut destroy destroyed destruction deter disaster disclose disclosed dispose dissent erred fail failure fined fines force forego ill inability incapable incapacity incident inconsistent lapse late lie limitation limitations lose loss lost miss omission omissions pled poses question refuse reject rejecting resign resignation resigned restate restated restatement restatements sever sue sued terminate termination threat threaten threatened unable unavailable,appear appearing depend dependent indeterminate may might tending,able advances beneficial beneficially benefit best desired effective efficient empower empowered encourages gain gains good satisfy succeed succeeding success successful successfully valuable win,2015-01-08,2015-01-10,2015-01-14
9,ibm,2015-01-20,adverse against break closed collapse concern conciliation critical curtail curtailment curtailments cut decline declined deter disclose disclosed discontinue discontinued divest divested divestiture divestitures downturn easing erred fail failure fined fines force ill impair impairment imperative inconsistent ineffective insolvency lack lapse late lie lose loss losses lying miss overage pled quit restructuring sever solvency taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could differ fluctuation fluctuations intangible may nearly pending revise risk risks uncertain uncertainties,able achieve achieved alliance alliances attractive benefit better effective efficiency enable enables encourages gain gains good improve improves innovation invent inventor opportunities progress satisfy strength strengthen strengthens strong success successful successfully transparency win,2015-01-21,2015-01-23,2015-01-27
