,ticker,date,neg_text,uncert_text,pos_text,price_prior,price_0,price_1,price_3,price_7
0,ibm,2014-10-20,bad break challenging closed closing collapse critical cut decline discontinue discontinued divest divested divesting divestiture easing erred force ill impair impairment lack lacked lapse late lie lose losing loss losses miss plea pleas quit,approximate approximately differ nearly,able achieve achieved benefit best bolsters breakthrough breakthroughs collaboration enable enables encourages exclusive gain improve improving innovation innovations leadership leading opportunities progress progresses satisfaction satisfy strength strengthen strengthens unparalleled win,149.16009521484375,138.54972839355472,133.74020385742188,132.87989807128906,133.92866516113278
1,ibm,2014-10-20,against break challenge challenges challenging closed closing collapse concern conciliation critical cut decline declined declines defer deter discontinue discontinued divest divested divestiture divestitures drag erred fined force ill imperative insufficient lapse late lie lose losing loss losses lost lying miss overage plea pleas question questions quit renegotiation renegotiations sever shortfall slow slowdown sue sues unfavorable weak weaker weakness,approximate approximately could differ may nearly pending roughly unusual variable,able alliance benefit better collaboration easier effective enable enables enabling encourages favorable gain gains good great greater improve improved improvement improves innovate innovation innovations leadership opportunities progress satisfy smooth stability strength strengthen strengths strong strongest success successful win,149.16009521484375,138.54972839355472,133.74020385742188,132.87989807128906,133.92866516113278
2,ibm,2014-10-20,adverse against break closed collapse concern conciliation critical curtail curtailment curtailments cut deter disappoint disappointed disclose disclosed discontinue discontinued divest divested divestiture divestitures downturn easing erred fail failure fined fines force ill impair impairment imperative ineffective insolvency lack lapse late lie lose loss losses lying miss overage quit restructuring sever slow slowdown solvency taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could differ fluctuation fluctuations intangible may pending revise risk risks uncertain uncertainties,able achieve alliance alliances benefit better effective efficiency enable enables encourages gain gains good improve improves innovation invent inventor leadership opportunities progress satisfy strength strengthen strengthens strong success successful successfully transparency win,149.16009521484375,138.54972839355472,133.74020385742188,132.87989807128906,133.92866516113278
3,ibm,2014-10-20,break closing collapse cut divest divested ill lapse late lie lose losing loss losses miss,approximate approximately,able alliance benefit effective encourages gain gains leading satisfy smooth win,149.16009521484375,138.54972839355472,133.74020385742188,132.87989807128906,133.92866516113278
4,ibm,2014-11-05,absence adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cease claims closed closure conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred error fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed postponement question questions quit refusal reparation sever solvency sue sued suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable,appear appears approximate approximately assume assumed believe conditional depend dependent differ may pending possible preliminary sometime sometimes varied vary,able adequately benefit best charitable conclusive effective enable enabling gain gains good leading satisfactory satisfied satisfy succeed success win,133.2650146484375,132.58494567871094,133.19540405273438,134.87002563476562,135.42277526855472
5,ibm,2014-11-12,break collapse cut ill lapse lie miss,approximate approximately could differ may,able encourages satisfy win,134.71330261230472,133.57487487792972,134.29257202148438,135.42277526855472,132.74993896484378
6,ibm,2014-11-25,adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cease claims closed closure concern conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed question questions quit refusal reparation sever solvency sue sued sues suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable unpaid,assume assumed believe conditional could depend dependent differ may pending possible preliminary sometime sometimes varied vary,able adequately beneficial benefit best charitable conclusive effective enable enabling gain gains good great greater leading satisfaction satisfactory satisfied satisfy succeed success win,133.76460266113278,133.44290161132812,133.59963989257812,133.7811279296875,135.33201599121094
7,ibm,2014-12-08,break collapse cut ill lapse late lie miss,,able effective encourages satisfy win,134.68855285644528,133.52540588378906,134.45761108398438,132.87370300292972,125.33367919921876
8,ibm,2015-01-07,absence against allege alleged break catastrophe cease ceased ceases closed collapse concern confine confined contested contrary criminal cut destroy destroyed destruction deter disaster disclose disclosed dispose dissent erred fail failure fined fines force forego ill inability incapable incapacity incident inconsistent lapse late lie limitation limitations lose loss lost miss omission omissions pled poses question refuse reject rejecting resign resignation resigned restate restated restatement restatements sever sue sued terminate termination threat threaten threatened unable unavailable,appear appearing depend dependent indeterminate may might tending,able advances beneficial beneficially benefit best desired effective efficient empower empowered encourages gain gains good satisfy succeed succeeding success successful successfully valuable win,128.74896240234378,127.9075164794922,130.68760681152344,129.05422973632812,129.63166809082028
10,ibm,2015-01-21,break challenge challenges challenging closed collapse concern conciliation critical cut decline declined declines defer divest divested divesting divestiture divestitures exploit exploits force forced fraud ill imperative inconsistent lapse late lie lose losing loss lost miss plea pleas pled question questions quit recall restructuring sever slow slowdown sue sues threat threats unfavorable weak weaker weakness,almost anticipate anticipated assume assumed assuming assumption believe could depend differ may might nearly pending roughly sometime sometimes suggest suggested varied,able achieving attractive benefit best better collaboration despite effective enable enables enabling encourages enhance enhanced favorable gain gains good great greater improve improved improvement improvements improving innovate innovation innovations leadership leading opportunities opportunity pleased profitability profitable progress satisfy stability stabilization stabilize stabilized stable strength strengthen strengthening strong success successful tremendous win,129.47489929199222,125.46566772460938,128.18798828125,128.98818969726562,126.4721221923828
